sample_id,asset_version,source_role,exact_attack_label,semantic_attack_group,region_id,phase,segment_id,source_file,device_or_source_group,pcap_path,csv_path,csv_row_index,pcap_packet_index,csv_timestamp,pcap_timestamp,timestamp_alignment_status,selection_round,selection_reason,selection_rank_within_label,bank_partition,memory_status,provenance_hash,global_candidate_id,chunk_id,row_index_within_chunk,feature_row_index_global,state_strategy
support_000000,issue27cd_exact_label_targeted_attack_v1,attack_support_candidate_pool_targeted,File Download,tooling,region_70bad82822ac,tail_gt_10000,1043,processed/iotsim-combined-cycle-10.csv,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,16887,48920,1737236339.461976,1737236339.461976,within_2us_epoch_match,initial_predeployment_bank_v1,deterministic_label_stratified_kcenter,0,support_train,active,b9985734e0e332380a904b876574a0236a5cbbb315cfaba560514319f6885bb8,cand_00032917,7,274,32917,train_state_then_eval_online_past_only
support_000001,issue27cd_exact_label_targeted_attack_v1,attack_support_candidate_pool_targeted,File Download,tooling,region_70bad82822ac,tail_gt_10000,1043,processed/iotsim-combined-cycle-10.csv,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,16617,48650,1737236339.427354,1737236339.427354,within_2us_epoch_match,initial_predeployment_bank_v1,deterministic_label_stratified_kcenter,1,support_train,active,6108bab05ea4615e02f5bba4ee8d358ef7cf87dafad13cd30ecd8f97864a0cfe,cand_00032649,7,6,32649,train_state_then_eval_online_past_only
support_000002,issue27cd_exact_label_targeted_attack_v1,attack_support_candidate_pool_targeted,File Download,tooling,region_70bad82822ac,tail_gt_10000,1043,processed/iotsim-combined-cycle-10.csv,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,16613,48646,1737236339.421646,1737236339.421646,within_2us_epoch_match,initial_predeployment_bank_v1,deterministic_label_stratified_kcenter,2,support_train,active,5672a7234914a00eb932306a2a1b56d9b4db98d6654346d68ad56ba4ea21ee4e,cand_00032645,7,2,32645,train_state_then_eval_online_past_only
support_000004,issue27cd_exact_label_targeted_attack_v1,attack_support_candidate_pool_targeted,File Download,tooling,region_70bad82822ac,tail_gt_10000,1043,processed/iotsim-combined-cycle-10.csv,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,16612,48645,1737236339.421586,1737236339.421586,within_2us_epoch_match,initial_predeployment_bank_v1,deterministic_label_stratified_kcenter,4,support_train,active,b02006e25fe77f3cb80c75242df1220b409d0dd9c5cadb665bd130353acdf07e,cand_00032644,7,1,32644,train_state_then_eval_online_past_only
support_000005,issue27cd_exact_label_targeted_attack_v1,attack_support_candidate_pool_targeted,File Download,tooling,region_70bad82822ac,tail_gt_10000,1043,processed/iotsim-combined-cycle-10.csv,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,16630,48663,1737236339.428128,1737236339.428128,within_2us_epoch_match,initial_predeployment_bank_v1,deterministic_label_stratified_kcenter,5,support_train,active,696f8287997ca903c3e9593b837daf9a0f517845ca4428c5f3cd4ce023e29174,cand_00032662,7,19,32662,train_state_then_eval_online_past_only
support_000006,issue27cd_exact_label_targeted_attack_v1,attack_support_candidate_pool_targeted,File Download,tooling,region_70bad82822ac,tail_gt_10000,1043,processed/iotsim-combined-cycle-10.csv,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,16618,48651,1737236339.427361,1737236339.427361,within_2us_epoch_match,initial_predeployment_bank_v1,deterministic_label_stratified_kcenter,6,support_train,active,3cf8f754e2d81f19808585e421ead8e16be3819a5a7f03e5185080705512ac67,cand_00032650,7,7,32650,train_state_then_eval_online_past_only
support_000008,issue27cd_exact_label_targeted_attack_v1,attack_support_candidate_pool_targeted,File Download,tooling,region_70bad82822ac,tail_gt_10000,1043,processed/iotsim-combined-cycle-10.csv,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,16615,48648,1737236339.427315,1737236339.427315,within_2us_epoch_match,initial_predeployment_bank_v1,deterministic_label_stratified_kcenter,8,support_train,active,d822fa019e149b8763d21c69d68b26e71ddcc52664c77ef4873ebd65807a494b,cand_00032647,7,4,32647,train_state_then_eval_online_past_only
support_000009,issue27cd_exact_label_targeted_attack_v1,attack_support_candidate_pool_targeted,File Download,tooling,region_70bad82822ac,tail_gt_10000,1043,processed/iotsim-combined-cycle-10.csv,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,16639,48672,1737236339.432877,1737236339.432877,within_2us_epoch_match,initial_predeployment_bank_v1,deterministic_label_stratified_kcenter,9,support_train,active,7907307ea4a05eb6d35b52e15897d21b01f37fed1ddffd02e3c734934bae5ca4,cand_00032671,7,28,32671,train_state_then_eval_online_past_only
support_000010,issue27cd_exact_label_targeted_attack_v1,attack_support_candidate_pool_targeted,File Download,tooling,region_70bad82822ac,tail_gt_10000,1043,processed/iotsim-combined-cycle-10.csv,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,16620,48653,1737236339.427379,1737236339.427379,within_2us_epoch_match,initial_predeployment_bank_v1,deterministic_label_stratified_kcenter,10,support_train,active,bf2e0449620bfda1c7b0fcb1b45ff9400fc40f7638c0b9c7dcd0d9fc7fd38417,cand_00032652,7,9,32652,train_state_then_eval_online_past_only
support_000012,issue27cd_exact_label_targeted_attack_v1,attack_support_candidate_pool_targeted,File Download,tooling,region_70bad82822ac,tail_gt_10000,1043,processed/iotsim-combined-cycle-10.csv,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,17217,49251,1737236339.502050,1737236339.502050,within_2us_epoch_match,initial_predeployment_bank_v1,deterministic_label_stratified_kcenter,12,support_train,active,a1ca0d956fbe98b0d0cdd3fc0f0898ed6d96ae3ca51eb92735730d234ee80161,cand_00033246,7,603,33246,train_state_then_eval_online_past_only
