source_csv,source_pcap,role,attack_label,certified_chunks,certified_rows
processed/iotsim-air-quality-1.csv,raw/malicious/mirai-infection/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,dev_future_attack_query_exact,Ingress Tool Transfer,1,109
processed/iotsim-air-quality-1.csv,raw/malicious/network-scanning/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,dev_future_attack_query_exact,TCP Scan,1,12000
processed/iotsim-air-quality-1.csv,raw/malicious/network-scanning/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,dev_future_attack_query_exact,Telnet Brute Force,1,12000
processed/iotsim-building-monitor-1.csv,raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,dev_future_attack_query_exact,Merlin C&C Communication,1,9657
processed/iotsim-building-monitor-1.csv,raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,dev_future_attack_query_exact,Merlin ICMP Flooding,1,9150
processed/iotsim-building-monitor-1.csv,raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,dev_future_attack_query_exact,Merlin TCP Flooding,1,12000
processed/iotsim-building-monitor-1.csv,raw/malicious/merlin/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,dev_future_attack_query_exact,Merlin UDP Flooding,1,5000
processed/iotsim-building-monitor-1.csv,raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,dev_future_attack_query_exact,Mirai GRE Flooding,1,12000
processed/iotsim-building-monitor-1.csv,raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,dev_future_attack_query_exact,Mirai TCP Flooding,1,12000
processed/iotsim-building-monitor-1.csv,raw/malicious/mirai-dos/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,dev_future_attack_query_exact,Mirai UDP Flooding,1,12000
