role,true_attack_label,rows,primary_challenger_nearest_label_agreement,primary_challenger_shell_agreement
dev_future_attack_query_exact,C&C Communication,256,0.84765625,0.9609375
dev_future_attack_query_exact,CoAP Amplification,12000,1.0,1.0
dev_future_attack_query_exact,File Download,2378,1.0,1.0
dev_future_attack_query_exact,Ingress Tool Transfer,7754,0.9877482589631158,0.9949703378901212
dev_future_attack_query_exact,Merlin C&C Communication,19590,0.8884635017866258,0.9917815211842776
dev_future_attack_query_exact,Merlin ICMP Flooding,27985,0.9996426657137752,0.9998213328568876
dev_future_attack_query_exact,Merlin TCP Flooding,36000,0.5499722222222222,0.8106388888888889
dev_future_attack_query_exact,Merlin UDP Flooding,15000,0.6474666666666666,0.8458666666666667
dev_future_attack_query_exact,Mirai C&C Communication,716,0.9106145251396648,1.0
dev_future_attack_query_exact,Mirai GRE Flooding,36000,0.9763611111111111,0.9995833333333334
dev_future_attack_query_exact,Mirai TCP Flooding,36000,0.9466666666666667,0.9991666666666666
dev_future_attack_query_exact,Mirai UDP Flooding,36000,1.0,1.0
dev_future_attack_query_exact,Reporting,224,0.8705357142857143,0.48660714285714285
dev_future_attack_query_exact,TCP Scan,72000,0.96,0.9814861111111111
dev_future_attack_query_exact,Telnet Brute Force,72000,0.9882916666666667,0.99175
dev_future_attack_query_exact,UDP Scan,4242,0.9884488448844885,0.9941065535124941
same_file_time_forward_dev_query_exact,File Download,105,1.0,1.0
same_file_time_forward_dev_query_exact,Ingress Tool Transfer,2381,0.999580008399832,0.999580008399832
same_file_time_forward_dev_query_exact,Merlin C&C Communication,6827,0.8844294712172257,0.981690347151018
same_file_time_forward_dev_query_exact,Merlin ICMP Flooding,13718,0.9994897215337513,0.9997084123050007
same_file_time_forward_dev_query_exact,Merlin TCP Flooding,24000,0.7112916666666667,0.8525416666666666
same_file_time_forward_dev_query_exact,Merlin UDP Flooding,6542,0.9833384286151025,0.9839498624273922
same_file_time_forward_dev_query_exact,Mirai C&C Communication,106,0.8867924528301887,1.0
same_file_time_forward_dev_query_exact,Mirai GRE Flooding,24000,1.0,1.0
same_file_time_forward_dev_query_exact,Mirai TCP Flooding,24000,1.0,1.0
same_file_time_forward_dev_query_exact,Mirai UDP Flooding,24000,1.0,1.0
