evidence_space,exact_attack_label,median_top1_fraction,median_top5_fraction,dominant_feature,MI_dir_mean_share,H_mean_share,HH_mean_share,HH_jit_mean_share,HpHp_mean_share
S0_raw_robust_global,File Download,0.9999866866312749,0.9999999983968083,HH_5_covariance_0_1,3.12639363295137e-10,1.8923617443077846e-10,0.9333150580897265,1.0574430208766795e-10,1.827463598721136e-05
S0_raw_robust_global,Ingress Tool Transfer,0.9967009776393542,0.9999955943455645,HH_5_covariance_0_1,1.229345069821697e-06,1.179311872816445e-06,0.6239056200795373,0.011438911514492877,0.3090975041934716
S0_raw_robust_global,Merlin C&C Communication,0.9974940155708696,0.9999999773039686,HH_5_covariance_0_1,4.0338457130390906e-08,3.784477639499597e-08,0.9113686689894195,0.00016596642612323596,0.05513195306789035
S0_raw_robust_global,Merlin ICMP Flooding,0.1769594130690934,0.769188623709909,H_3_std,0.2514732522794568,0.24725108201395238,0.2603404285827606,0.21306857761722703,0.004610845553114899
S0_raw_robust_global,Merlin TCP Flooding,0.7636835481688315,0.9999999820901959,HH_jit_5_std,3.857903400574258e-05,3.770647974065456e-05,3.8599454908015894e-05,0.9832184481948676,1.6981126949213887e-10
S0_raw_robust_global,Merlin UDP Flooding,0.7633777542018796,0.9999999915933784,HH_jit_5_std,4.5750696741285476e-08,4.540457830234092e-08,4.739365149908168e-08,0.9666665281177401,0.0
S0_raw_robust_global,Mirai C&C Communication,0.8069111125379602,0.9999121375244484,HH_5_covariance_0_1,0.10867283140695755,0.089129311513337,0.6494522865157096,0.02558888328753245,0.01604557616535228
S0_raw_robust_global,Mirai GRE Flooding,0.76289137125893,0.9999644333244875,HH_jit_5_std,0.004807378060756321,0.004773949908806874,0.005019845960003955,0.968732159387718,1.6048197303686494e-11
S0_raw_robust_global,Mirai TCP Flooding,0.76217886828691,0.9999462740231235,HH_jit_5_std,2.8110680241757373e-05,2.7642604534505226e-05,2.923007612913877e-05,0.9832454309102311,2.9190621968146536e-06
S0_raw_robust_global,Mirai UDP Flooding,0.7285565214025788,0.9990741783781125,HH_jit_5_weight,0.07837024832398275,0.07600423348903294,0.0823561912054512,0.7466026157571327,4.4557733777549496e-08
