evidence_space,exact_attack_label,shell_scheme,core_radius,near_radius,uncertain_radius
S0_raw_robust_global,File Download,tight,969876789.897741,1285259572.2482166,1608074413.817662
S0_raw_robust_global,File Download,medium,1292529179.3876052,1608074413.817662,1670157149.382931
S0_raw_robust_global,File Download,wide,1635181949.7486184,1670157149.382931,1679775977.836318
S0_raw_robust_global,Ingress Tool Transfer,tight,7404899.0539884055,26575344.63932184,59101121.88434088
S0_raw_robust_global,Ingress Tool Transfer,medium,26118368.557115596,59101121.88434088,188712444.22902703
S0_raw_robust_global,Ingress Tool Transfer,wide,59002546.10947366,188712444.22902703,189346013.31697133
S0_raw_robust_global,Merlin C&C Communication,tight,142085967.49082857,806824797.6891934,4040504922.9910045
S0_raw_robust_global,Merlin C&C Communication,medium,855018411.3928715,4040504922.9910045,12443279259.776318
S0_raw_robust_global,Merlin C&C Communication,wide,8364847306.179932,12443279259.776318,17193587943.24438
S0_raw_robust_global,Merlin ICMP Flooding,tight,29405.233570516,29863.070695217117,31488.689401322146
S0_raw_robust_global,Merlin ICMP Flooding,medium,29892.587476653476,31488.689401322146,35439.18103736506
S0_raw_robust_global,Merlin ICMP Flooding,wide,30473.625868797335,35439.18103736506,35480.536327983114
S0_raw_robust_global,Merlin TCP Flooding,tight,161709230.93770242,434224282.9940934,742830343.4136357
S0_raw_robust_global,Merlin TCP Flooding,medium,435145108.3078568,742830343.4136357,1019871124.5545235
S0_raw_robust_global,Merlin TCP Flooding,wide,886212393.230253,1019871124.5545235,1026503530.1576906
S0_raw_robust_global,Merlin UDP Flooding,tight,171213396.24999446,455904089.3765376,794782652.7367268
S0_raw_robust_global,Merlin UDP Flooding,medium,389544338.8958877,794782652.7367268,993176850.8486254
S0_raw_robust_global,Merlin UDP Flooding,wide,868320540.4794259,993176850.8486254,1088059168.2632382
S0_raw_robust_global,Mirai C&C Communication,tight,143319.57893111784,10134484.63160047,15140409.874056332
S0_raw_robust_global,Mirai C&C Communication,medium,13671022.019065345,15140409.874056332,89945879.2369293
S0_raw_robust_global,Mirai C&C Communication,wide,35894628.03145737,89945879.2369293,112595927.36112714
S0_raw_robust_global,Mirai GRE Flooding,tight,630801.7393276314,2375529.111077513,5513314.586892098
S0_raw_robust_global,Mirai GRE Flooding,medium,2172920.125855517,5513314.586892098,9225994.103246478
S0_raw_robust_global,Mirai GRE Flooding,wide,5603621.75762224,9225994.103246478,10420548.282371819
S0_raw_robust_global,Mirai TCP Flooding,tight,844584.4947423761,4667855.656973416,7496317.990735764
S0_raw_robust_global,Mirai TCP Flooding,medium,4667855.656973416,7496317.990735764,9986267.82150267
S0_raw_robust_global,Mirai TCP Flooding,wide,7286738.192797725,9986267.82150267,10085325.75677938
S0_raw_robust_global,Mirai UDP Flooding,tight,23361.76711260723,122798.8816672652,278870.8600264718
S0_raw_robust_global,Mirai UDP Flooding,medium,122828.58589574814,278870.8600264718,457828.90814807004
S0_raw_robust_global,Mirai UDP Flooding,wide,265146.12966580194,457828.90814807004,512897.17113200383
S1_bounded_heavytail_global,File Download,tight,9466.849802066861,29192.80781665448,47543.73786496315
S1_bounded_heavytail_global,File Download,medium,35309.62951405873,47543.73786496315,67920.0069114332
S1_bounded_heavytail_global,File Download,wide,47543.738176959945,67920.0069114332,82668.54410048631
S1_bounded_heavytail_global,Ingress Tool Transfer,tight,39111.84505813312,47624.128889855034,47660.05286387987
S1_bounded_heavytail_global,Ingress Tool Transfer,medium,47544.457861381314,47660.05286387987,47715.982208386675
S1_bounded_heavytail_global,Ingress Tool Transfer,wide,47656.50402622416,47715.982208386675,47746.5509056446
S1_bounded_heavytail_global,Merlin C&C Communication,tight,42317.025837437744,55810.50950730401,95998.3268460356
S1_bounded_heavytail_global,Merlin C&C Communication,medium,63736.77156387976,95998.3268460356,96360.22920397804
S1_bounded_heavytail_global,Merlin C&C Communication,wide,96000.07135046172,96360.22920397804,96373.84754771618
S1_bounded_heavytail_global,Merlin ICMP Flooding,tight,7741.686360401484,11221.212703985364,14365.179922780928
S1_bounded_heavytail_global,Merlin ICMP Flooding,medium,10535.60013194981,14365.179922780928,14784.354566870994
S1_bounded_heavytail_global,Merlin ICMP Flooding,wide,12802.48549103961,14784.354566870994,14784.362170769356
S1_bounded_heavytail_global,Merlin TCP Flooding,tight,25681.733867438765,49541.52675486379,135540.55190267132
S1_bounded_heavytail_global,Merlin TCP Flooding,medium,57618.06850425564,135540.55190267132,139850.62351575628
S1_bounded_heavytail_global,Merlin TCP Flooding,wide,135595.13867483416,139850.62351575628,139880.25186989206
S1_bounded_heavytail_global,Merlin UDP Flooding,tight,27772.228679216147,33290.610842868315,79559.79726748318
S1_bounded_heavytail_global,Merlin UDP Flooding,medium,47292.270348794045,79559.79726748318,139496.61263766288
S1_bounded_heavytail_global,Merlin UDP Flooding,wide,97156.79604801585,139496.61263766288,139496.64711940885
S1_bounded_heavytail_global,Mirai C&C Communication,tight,692.6635917732604,38634.26092547908,38727.48990969046
S1_bounded_heavytail_global,Mirai C&C Communication,medium,38671.77429601079,38727.48990969046,54331.14246219556
S1_bounded_heavytail_global,Mirai C&C Communication,wide,43036.42865171208,54331.14246219556,59064.165392302944
S1_bounded_heavytail_global,Mirai GRE Flooding,tight,24885.64972234879,40660.09497435879,116257.86464691888
S1_bounded_heavytail_global,Mirai GRE Flooding,medium,40660.09497435879,116257.86464691888,320181.81912532955
S1_bounded_heavytail_global,Mirai GRE Flooding,wide,175104.59210980474,320181.81912532955,455302.1774820277
S1_bounded_heavytail_global,Mirai TCP Flooding,tight,29030.270729035947,66308.07388962674,141098.97973829144
S1_bounded_heavytail_global,Mirai TCP Flooding,medium,66293.56368171363,141098.97973829144,298222.73310399574
S1_bounded_heavytail_global,Mirai TCP Flooding,wide,135674.47665200828,298222.73310399574,421672.02024941106
S1_bounded_heavytail_global,Mirai UDP Flooding,tight,3303.459605664377,123077.62001666249,279209.8091370666
S1_bounded_heavytail_global,Mirai UDP Flooding,medium,123090.04220818813,279209.8091370666,458179.07936512993
S1_bounded_heavytail_global,Mirai UDP Flooding,wide,265498.1009217832,458179.07936512993,509339.7814076213
S2_raw_family_balanced,File Download,tight,3.0656343817120604,3.6845958407683144,3.959897827927442
S2_raw_family_balanced,File Download,medium,3.8613773295196525,3.959897827927442,3.970190563245994
S2_raw_family_balanced,File Download,wide,3.961473401185182,3.970190563245994,3.975587796222671
S2_raw_family_balanced,Ingress Tool Transfer,tight,3.2616272664358914,3.566609361766118,3.8208513745974306
S2_raw_family_balanced,Ingress Tool Transfer,medium,3.5251231011263195,3.8208513745974306,3.9111140925559327
S2_raw_family_balanced,Ingress Tool Transfer,wide,3.7667372718939642,3.9111140925559327,3.9717813698908344
S2_raw_family_balanced,Merlin C&C Communication,tight,3.8230536347111093,4.167702761738415,4.274404872404516
S2_raw_family_balanced,Merlin C&C Communication,medium,4.157146226773474,4.274404872404516,4.367096924520508
S2_raw_family_balanced,Merlin C&C Communication,wide,4.274404872404516,4.367096924520508,4.385377241118803
S2_raw_family_balanced,Merlin ICMP Flooding,tight,3.12891181125411,3.339231042936234,3.3733408014109356
S2_raw_family_balanced,Merlin ICMP Flooding,medium,3.2981621840588886,3.3733408014109356,3.374661643159966
S2_raw_family_balanced,Merlin ICMP Flooding,wide,3.3719789234410618,3.374661643159966,3.6215208513261694
S2_raw_family_balanced,Merlin TCP Flooding,tight,2.656665424738538,3.7438190260763102,3.8793448375121216
S2_raw_family_balanced,Merlin TCP Flooding,medium,3.7913401466861116,3.8793448375121216,3.887011878845634
S2_raw_family_balanced,Merlin TCP Flooding,wide,3.880424857380104,3.887011878845634,4.092962921541799
S2_raw_family_balanced,Merlin UDP Flooding,tight,3.6224670436497153,3.7952056737476885,3.816295200864252
S2_raw_family_balanced,Merlin UDP Flooding,medium,3.793010753060315,3.816295200864252,3.837073119931114
S2_raw_family_balanced,Merlin UDP Flooding,wide,3.8199339269605836,3.837073119931114,3.8456159399915992
