candidate,role,role_kind,group_col,group_value,rows,hard_alarm_rate,desired_hard_direction,error_rate_for_role,attack_score_mean,conflict_score_mean
C1_cicflow_style_only_histgb,future_query,attack,device,combined-cycle,3000,0.9816666666666667,high,0.018333333333333313,0.36107201978548253,0.526311969227693
C1_cicflow_style_only_histgb,future_query,attack,device,domotic-monitor,3000,0.9943333333333333,high,0.005666666666666709,0.9296038823513396,0.04470138625943657
C1_cicflow_style_only_histgb,ood_stress,hard_ood,device,iotsim-stream-consumer-2,3000,1.0,low,1.0,0.9902228976825218,0.0051762454480771426
C1_cicflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-15,601,1.0,low,1.0,0.024754541339777614,0.9632006753528048
C1_cicflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-13,597,1.0,low,1.0,0.024615368091716813,0.9634179578704464
C1_cicflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-12,601,0.9983361064891847,low,0.9983361064891847,0.023753112830719764,0.9640134664409412
C1_cicflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-14,598,0.9949832775919732,low,0.9949832775919732,0.02478793972385725,0.9631325218133338
C1_cicflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-2,603,0.9601990049751243,low,0.9601990049751243,0.022002065805551693,0.9668641356650338
C1_cicflow_style_only_histgb,same_file_query,attack,device,combined-cycle,2486,0.831456154465004,high,0.16854384553499602,0.13642178748168443,0.5221586250952153
C1_cicflow_style_only_histgb,sealed_final_ood,benign_ood_report,device,iotsim-ip-camera-street-2,3000,0.005,low,0.005,0.0002303529469126131,0.9994483608691365
G1_graph_interaction_only_histgb,future_query,attack,device,combined-cycle,3000,0.43266666666666664,high,0.5673333333333334,0.33769821742417827,0.6449463139817376
G1_graph_interaction_only_histgb,future_query,attack,device,domotic-monitor,3000,0.9203333333333333,high,0.07966666666666666,0.342043341970788,0.5447852369837234
G1_graph_interaction_only_histgb,ood_stress,hard_ood,device,iotsim-stream-consumer-2,3000,1.0,low,1.0,0.9681677278505101,0.026414619679476208
G1_graph_interaction_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-2,603,0.6417910447761194,low,0.6417910447761194,0.21821433962245726,0.5963167274617853
G1_graph_interaction_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-15,601,0.6139767054908486,low,0.6139767054908486,0.20395432163928132,0.6118809326982386
G1_graph_interaction_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-12,601,0.6123128119800333,low,0.6123128119800333,0.20765075226498458,0.6110214530461371
G1_graph_interaction_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-13,597,0.6113902847571189,low,0.6113902847571189,0.19655992293981447,0.6229018754967899
G1_graph_interaction_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-14,598,0.5769230769230769,low,0.5769230769230769,0.18795954492358113,0.636895547408563
G1_graph_interaction_only_histgb,same_file_query,attack,device,combined-cycle,2486,0.3696701528559936,high,0.6303298471440064,0.03210468662037488,0.8768440948478184
G1_graph_interaction_only_histgb,sealed_final_ood,benign_ood_report,device,iotsim-ip-camera-street-2,3000,0.028,low,0.028,0.009554693268799333,0.9853697950875283
M1_all_external_blocks_histgb,future_query,attack,device,combined-cycle,3000,0.9816666666666667,high,0.018333333333333313,0.33880373209347886,0.6268250525612908
M1_all_external_blocks_histgb,future_query,attack,device,domotic-monitor,3000,0.9943333333333333,high,0.005666666666666709,0.9339137432535275,0.04324613314968169
M1_all_external_blocks_histgb,ood_stress,hard_ood,device,iotsim-stream-consumer-2,3000,1.0,low,1.0,0.9995925520912636,0.0002213856017333929
M1_all_external_blocks_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-2,603,1.0,low,1.0,0.5301911435047247,0.15707340309392784
M1_all_external_blocks_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-12,601,1.0,low,1.0,0.5277945254967652,0.1578746756566348
M1_all_external_blocks_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-15,601,1.0,low,1.0,0.5277558896991817,0.15788759294442917
M1_all_external_blocks_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-14,598,1.0,low,1.0,0.5275651680768624,0.1579513578008109
M1_all_external_blocks_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-13,597,1.0,low,1.0,0.527167415512654,0.15808434028503993
M1_all_external_blocks_histgb,same_file_query,attack,device,combined-cycle,2486,0.831456154465004,high,0.16854384553499602,0.04523438869473989,0.8594674713716427
M1_all_external_blocks_histgb,sealed_final_ood,benign_ood_report,device,iotsim-ip-camera-street-2,3000,0.005,low,0.005,0.0002802499383678355,0.9992985781789205
M2_raw115_plus_all_external_blocks_histgb,future_query,attack,device,combined-cycle,3000,0.9816666666666667,high,0.018333333333333313,0.3358279776210488,0.629784062289824
M2_raw115_plus_all_external_blocks_histgb,future_query,attack,device,domotic-monitor,3000,0.9986666666666667,high,0.0013333333333332975,0.872586488991324,0.08738878603563319
M2_raw115_plus_all_external_blocks_histgb,ood_stress,hard_ood,device,iotsim-stream-consumer-2,3000,1.0,low,1.0,0.9932356260206527,0.004906407019022025
M2_raw115_plus_all_external_blocks_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-2,603,1.0,low,1.0,0.2943317750420579,0.23574436268825874
M2_raw115_plus_all_external_blocks_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-12,601,1.0,low,1.0,0.33568374904801185,0.22192980449624705
M2_raw115_plus_all_external_blocks_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-15,601,1.0,low,1.0,0.33666295930629325,0.2216026772569696
M2_raw115_plus_all_external_blocks_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-14,598,1.0,low,1.0,0.33084124655212455,0.22354755151153505
M2_raw115_plus_all_external_blocks_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-13,597,1.0,low,1.0,0.3330713296882609,0.2228025420168796
M2_raw115_plus_all_external_blocks_histgb,same_file_query,attack,device,combined-cycle,2486,0.831456154465004,high,0.16854384553499602,0.015355268963293412,0.9261526542864484
M2_raw115_plus_all_external_blocks_histgb,sealed_final_ood,benign_ood_report,device,iotsim-ip-camera-street-2,3000,0.4236666666666667,low,0.4236666666666667,0.004204657516007887,0.9954645396391033
N1_netflow_style_only_histgb,future_query,attack,device,combined-cycle,3000,0.518,high,0.482,0.3373667142132593,0.6111715751450123
N1_netflow_style_only_histgb,future_query,attack,device,domotic-monitor,3000,1.0,high,0.0,0.7538807432112605,0.20031948171290567
N1_netflow_style_only_histgb,ood_stress,hard_ood,device,iotsim-stream-consumer-2,3000,1.0,low,1.0,0.9772002285069253,0.014210891242074183
N1_netflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-15,601,0.27121464226289516,low,0.27121464226289516,0.02650821484573694,0.9591749277432401
N1_netflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-2,603,0.263681592039801,low,0.263681592039801,0.02807026014519021,0.9596780736912118
N1_netflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-14,598,0.2608695652173913,low,0.2608695652173913,0.026170780617537876,0.9610919151033572
N1_netflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-12,601,0.2545757071547421,low,0.2545757071547421,0.02438981571700968,0.9603931599340333
