source_group,requested_rows,max_recorded_index,processed_prefix_rows,feature_dim,timestamp_monotonic_violations,timestamp_monotonic_ok,alignment_ok
processed/iotsim-city-power-1.csv,25,55932,55933,350,15,False,True
processed/iotsim-combined-cycle-10.csv,33,31678,31679,350,8,False,True
processed/iotsim-combined-cycle-tls-3.csv,270,1940,1941,350,0,True,True
processed/iotsim-combined-cycle-tls-4.csv,270,1943,1944,350,0,True,True
processed/iotsim-combined-cycle-tls-5.csv,269,1940,1941,350,0,True,True
processed/iotsim-cooler-motor-5.csv,3191,22470,22471,350,0,True,True
processed/iotsim-building-monitor-2.csv,598,1737,1738,350,0,True,True
processed/iotsim-building-monitor-3.csv,324,963,964,350,0,True,True
processed/iotsim-hydraulic-system-1.csv,1353,3868,3869,350,1,False,True
processed/iotsim-hydraulic-system-10.csv,869,2503,2504,350,0,True,True
processed/iotsim-hydraulic-system-11.csv,856,2465,2466,350,0,True,True
processed/iotsim-cooler-motor-6.csv,1306,22464,22465,350,0,True,True
processed/iotsim-cooler-motor-7.csv,1306,22458,22459,350,0,True,True
processed/iotsim-cooler-motor-8.csv,292,5060,5061,350,0,True,True
processed/iotsim-cooler-motor-9.csv,96,1681,1682,350,0,True,True
processed/iotsim-hydraulic-system-12.csv,601,2494,2495,350,0,True,True
processed/iotsim-hydraulic-system-13.csv,597,2477,2478,350,0,True,True
processed/iotsim-hydraulic-system-14.csv,598,2480,2481,350,0,True,True
processed/iotsim-hydraulic-system-15.csv,601,2494,2495,350,0,True,True
processed/iotsim-hydraulic-system-2.csv,603,2499,2500,350,0,True,True
processed/iotsim-stream-consumer-2.csv,3000,79999,80000,350,0,True,True
processed/iotsim-building-monitor-2.csv,1690,1739,1740,350,0,True,True
processed/iotsim-building-monitor-3.csv,914,963,964,350,0,True,True
processed/iotsim-stream-consumer-1.csv,4000,149999,150000,350,10,False,True
processed/iotsim-domotic-monitor-1.csv,3000,161298,161299,350,58,False,True
processed/iotsim-combined-cycle-10.csv,6,19337,19338,350,7,False,True
processed/iotsim-combined-cycle-10.csv,2486,126688,126689,350,26,False,True
processed/iotsim-combined-cycle-1.csv,1004,297781,297782,350,89,False,True
processed/iotsim-combined-cycle-10.csv,1996,136941,136942,350,29,False,True
processed/iotsim-ip-camera-street-2.csv,3000,99999,100000,350,1,False,True
