route,held_value,role,phase,role_kind,rows,hard_alarm_rate,raw_alarm_rate,review_rate,desired_hard_direction,error_rate_for_role,attack_threshold,proto_margin_threshold,review_score_threshold,attack_score_mean,proto_margin_mean
H1_c1_mlp_ce,iotsim-stream-consumer,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,iotsim-stream-consumer,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,iotsim-stream-consumer,ood_stress,select,hard_ood,4000,1.0,1.0,0.0,low,1.0,0.08621519617736338,-2.6617365578189496,3.0079251935798674,0.7797173635847866,2.4814681185700467
H1_c1_mlp_ce,iotsim-stream-consumer,support_val,select,attack,0,nan,nan,nan,high,nan,,,,,
H1_c1_mlp_ce,iotsim-stream-consumer,same_file_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H1_c1_mlp_ce,iotsim-stream-consumer,future_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H1_c1_mlp_ce,iotsim-stream-consumer,sealed_final_ood,all,benign_ood_report,0,nan,nan,nan,low,nan,,,,,
H1_c1_mlp_ce,iotsim-stream-consumer,sealed_final_attack,all,attack_report,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,iotsim-stream-consumer,id_calib,select,benign_id,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,iotsim-stream-consumer,ood_val,select,benign_ood,0,nan,nan,nan,low,nan,,,,,
H2_c1_supcon_proto,iotsim-stream-consumer,ood_stress,select,hard_ood,4000,1.0,1.0,0.0,low,1.0,0.1265813510119915,-2.72528204806149,3.166640422642231,0.6989510171785951,2.134829725712072
H2_c1_supcon_proto,iotsim-stream-consumer,support_val,select,attack,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,iotsim-stream-consumer,same_file_query,select,attack,0,nan,nan,nan,high,nan,,,,,
H2_c1_supcon_proto,iotsim-stream-consumer,future_query,select,attack,0,nan,nan,nan,high,nan,,,,,
