held_value,role,phase,label,rows,episodes,held_excluded
iotsim-stream-consumer,support_train,fit,1,58,6,True
iotsim-stream-consumer,id_calib,fit,0,4000,410,True
iotsim-stream-consumer,ood_val,fit,0,4000,1696,True
iotsim-stream-consumer,ood_stress,fit,0,0,0,True
iotsim-stream-consumer,ood_stress,select,0,0,0,True
iotsim-hydraulic-system,support_train,fit,1,58,6,True
iotsim-hydraulic-system,id_calib,fit,0,4000,410,True
iotsim-hydraulic-system,ood_val,fit,0,2604,760,True
iotsim-hydraulic-system,ood_stress,fit,0,4000,48,True
iotsim-hydraulic-system,ood_val,select,0,0,0,True
domotic-monitor,support_train,fit,1,58,6,True
domotic-monitor,id_calib,fit,0,4000,410,True
domotic-monitor,ood_val,fit,0,4000,1696,True
domotic-monitor,ood_stress,fit,0,4000,48,True
combined-cycle,support_train,fit,1,25,2,True
combined-cycle,id_calib,fit,0,4000,410,True
combined-cycle,ood_val,fit,0,4000,1696,True
combined-cycle,ood_stress,fit,0,4000,48,True
iotsim-ip-camera-street,support_train,fit,1,58,6,True
iotsim-ip-camera-street,id_calib,fit,0,4000,410,True
iotsim-ip-camera-street,ood_val,fit,0,4000,1696,True
iotsim-ip-camera-street,ood_stress,fit,0,4000,48,True
