candidate,protocol,held_value,role,rows,sources,label,metric,hard_rate,ci_low,ci_high,ci_cluster_unit,ci_clusters,review_rate,seed
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.9996194564315668,0.999514881809038,1.0,source,5,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,1.0,1.0,1.0,episode,14,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,1.0,1.0,1.0,episode,208,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_ood,57950,2,0,benign_ood_hard_rate,0.02886971527178602,0.018666666666666668,0.02942675159235669,source,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,1.0,1.0,1.0,source,3,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.9975721320333965,0.9672222222222222,0.9986399707280562,source,5,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,0.998390989541432,0.9958632517245506,1.0,episode,14,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,0.9985377461309307,0.9971197039910583,0.9992083687080949,episode,208,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_ood,57950,2,0,benign_ood_hard_rate,0.025901639344262296,0.017666666666666667,0.02635122838944495,source,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,0.927536231884058,0.9130434782608695,1.0,source,3,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.9776544816616054,0.9468844359044744,0.9852636337839853,source,5,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,0.9444891391794047,0.931528669695475,0.9570944158487559,episode,14,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,0.9854592022088208,0.9722318149265179,0.9916520203657471,episode,208,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_ood,57950,2,0,benign_ood_hard_rate,0.027610008628127698,0.017333333333333333,0.028171064604185624,source,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,0.8405797101449275,0.782608695652174,0.875,source,3,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.979085325478914,0.9505901729343947,0.9862207280649862,source,5,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,0.9444891391794047,0.9275903143093466,0.9608639046960942,episode,14,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,0.986512751580324,0.9739975858673137,0.9923140810136085,episode,208,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_ood,57950,2,0,benign_ood_hard_rate,0.9512338222605694,0.8396666666666667,0.9573248407643312,source,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,0.8405797101449275,0.782608695652174,0.875,source,3,0.0,27
