source_group,events,declared_source_local_nodes,observed_source_local_nodes,singleton_endpoint_nodes,singleton_endpoint_ratio,anonymous_id_source_local,raw_ip_mac_fallback_identity_not_recoverable_from_frozen_cache,interpretation
processed/iotsim-air-quality-1.csv,55052,12,12,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-building-monitor-1.csv,5550987,3860,3860,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-building-monitor-2.csv,1740,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-building-monitor-3.csv,1740,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-city-power-1.csv,1516431,10,10,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-combined-cycle-1.csv,5974887,3882,3882,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-combined-cycle-10.csv,138509,3879,3879,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-combined-cycle-tls-3.csv,1944,2,2,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-combined-cycle-tls-4.csv,1944,2,2,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-combined-cycle-tls-5.csv,1944,2,2,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-cooler-motor-5.csv,22471,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-cooler-motor-6.csv,22468,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-cooler-motor-7.csv,22475,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-cooler-motor-8.csv,22466,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-cooler-motor-9.csv,22472,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-domotic-monitor-1.csv,2114866,3859,3859,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-hydraulic-system-1.csv,17432,11,11,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-hydraulic-system-10.csv,2506,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-hydraulic-system-11.csv,2466,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-hydraulic-system-12.csv,2496,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-hydraulic-system-13.csv,2481,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-hydraulic-system-14.csv,2481,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-hydraulic-system-15.csv,2496,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-hydraulic-system-2.csv,2501,4,4,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-ip-camera-museum-1.csv,10447197,13,13,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-ip-camera-museum-2.csv,1232612,2,2,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-ip-camera-street-1.csv,5469337,3858,3858,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-ip-camera-street-2.csv,783243,2,2,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-stream-consumer-1.csv,465094,3,3,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
processed/iotsim-stream-consumer-2.csv,465335,3,3,0,0.0,True,True,"singleton ratio is a proxy, not proof of endpoint fallback"
