uid,attack_family,source_group,uses,minimum_required_uses,used_at_least_once_each_epoch,candidate,seed
support_train:fit:0,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:1,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:2,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:3,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:4,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:5,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:6,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:7,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:8,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:9,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:10,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:11,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:12,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:13,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:14,File Download,processed/iotsim-combined-cycle-10.csv,120,30,True,M1-SSL,27
support_train:fit:15,Ingress Tool Transfer,processed/iotsim-combined-cycle-10.csv,98,30,True,M1-SSL,27
support_train:fit:16,Ingress Tool Transfer,processed/iotsim-combined-cycle-10.csv,102,30,True,M1-SSL,27
support_train:fit:17,Ingress Tool Transfer,processed/iotsim-combined-cycle-10.csv,99,30,True,M1-SSL,27
support_train:fit:18,Ingress Tool Transfer,processed/iotsim-combined-cycle-10.csv,98,30,True,M1-SSL,27
support_train:fit:19,Ingress Tool Transfer,processed/iotsim-combined-cycle-10.csv,99,30,True,M1-SSL,27
support_train:fit:20,Ingress Tool Transfer,processed/iotsim-combined-cycle-10.csv,99,30,True,M1-SSL,27
support_train:fit:21,Ingress Tool Transfer,processed/iotsim-combined-cycle-10.csv,103,30,True,M1-SSL,27
support_train:fit:22,Ingress Tool Transfer,processed/iotsim-combined-cycle-10.csv,103,30,True,M1-SSL,27
support_train:fit:23,Ingress Tool Transfer,processed/iotsim-combined-cycle-10.csv,99,30,True,M1-SSL,27
support_train:fit:24,Ingress Tool Transfer,processed/iotsim-combined-cycle-10.csv,102,30,True,M1-SSL,27
support_train:fit:25,Ingress Tool Transfer,processed/iotsim-combined-cycle-10.csv,97,30,True,M1-SSL,27
support_train:fit:26,Ingress Tool Transfer,processed/iotsim-combined-cycle-10.csv,97,30,True,M1-SSL,27
