candidate,protocol,held_value,role,attack_family,rows,sources,hard_recall,ci_low,ci_high,ci_cluster_unit,ci_clusters,review_rate,seed
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,C&C Communication,89,3,1.0,1.0,1.0,source,3,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,CoAP Amplification,320,1,1.0,1.0,1.0,episode,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,File Download,1230,2,1.0,1.0,1.0,source,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Ingress Tool Transfer,3983,3,1.0,1.0,1.0,source,3,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin C&C Communication,9921,2,1.0,1.0,1.0,source,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin ICMP Flooding,9711,3,1.0,1.0,1.0,source,3,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin TCP Flooding,12711,3,1.0,1.0,1.0,source,3,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin UDP Flooding,5296,3,1.0,1.0,1.0,source,3,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai C&C Communication,367,2,0.8637602179836512,0.8603351955307262,1.0,source,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai GRE Flooding,12712,3,1.0,1.0,1.0,source,3,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai TCP Flooding,12711,3,1.0,1.0,1.0,source,3,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai UDP Flooding,12711,3,1.0,1.0,1.0,source,3,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Reporting,93,3,1.0,1.0,1.0,source,3,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,TCP Scan,24711,4,1.0,1.0,1.0,source,4,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Telnet Brute Force,24712,4,1.0,1.0,1.0,source,4,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,UDP Scan,113,1,1.0,1.0,1.0,episode,60,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,File Download,105,1,1.0,1.0,1.0,episode,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,Ingress Tool Transfer,2381,1,1.0,1.0,1.0,episode,12,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,C&C Communication,90,1,1.0,1.0,1.0,episode,20,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,File Download,1231,1,1.0,1.0,1.0,episode,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Ingress Tool Transfer,3702,1,1.0,1.0,1.0,episode,16,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Merlin ICMP Flooding,10011,1,1.0,1.0,1.0,episode,5,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Merlin TCP Flooding,15000,1,1.0,1.0,1.0,episode,4,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Merlin UDP Flooding,4996,1,1.0,,,unavailable,1,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Mirai GRE Flooding,15000,1,1.0,,,unavailable,1,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Mirai TCP Flooding,15000,1,1.0,1.0,1.0,episode,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Mirai UDP Flooding,15000,1,1.0,1.0,1.0,episode,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Reporting,74,1,1.0,1.0,1.0,episode,8,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,TCP Scan,15000,1,1.0,1.0,1.0,episode,140,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Telnet Brute Force,15000,1,1.0,1.0,1.0,episode,30,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,File Download,3,1,1.0,1.0,1.0,episode,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Ingress Tool Transfer,3,1,1.0,1.0,1.0,episode,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin C&C Communication,5,1,1.0,1.0,1.0,episode,5,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin ICMP Flooding,8,2,1.0,1.0,1.0,source,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin TCP Flooding,11,2,1.0,1.0,1.0,source,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin UDP Flooding,6,2,1.0,1.0,1.0,source,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai C&C Communication,2,1,1.0,1.0,1.0,episode,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai GRE Flooding,10,2,1.0,1.0,1.0,source,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai TCP Flooding,10,2,1.0,1.0,1.0,source,2,0.0,27
M0,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai UDP Flooding,11,2,1.0,1.0,1.0,source,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,C&C Communication,89,3,1.0,1.0,1.0,source,3,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,CoAP Amplification,320,1,0.996875,0.9937106918238994,1.0,episode,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,File Download,1230,2,1.0,1.0,1.0,source,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Ingress Tool Transfer,3983,3,0.9987446648255084,0.9833333333333333,1.0,source,3,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin C&C Communication,9921,2,0.9939522225582098,0.9166666666666666,0.9960650305477892,source,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin ICMP Flooding,9711,3,1.0,1.0,1.0,source,3,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin TCP Flooding,12711,3,0.9999213279836362,0.9974489795918368,1.0,source,3,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin UDP Flooding,5296,3,0.9992447129909365,0.9754601226993865,1.0,source,3,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai C&C Communication,367,2,0.8392370572207084,0.835195530726257,1.0,source,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai GRE Flooding,12712,3,1.0,1.0,1.0,source,3,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai TCP Flooding,12711,3,0.9998426559672724,0.9974489795918368,1.0,source,3,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai UDP Flooding,12711,3,0.9999213279836362,0.9974489795918368,1.0,source,3,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Reporting,93,3,1.0,1.0,1.0,source,3,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,TCP Scan,24711,4,0.9996357897292704,0.994069681245367,0.9999449324045265,source,4,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Telnet Brute Force,24712,4,0.9960343153123988,0.9230769230769231,0.9979166666666667,source,4,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,UDP Scan,113,1,0.3008849557522124,0.2109860457944646,0.38984084332368746,episode,60,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,File Download,105,1,1.0,1.0,1.0,episode,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,Ingress Tool Transfer,2381,1,0.998320033599328,0.9957077951413845,1.0,episode,12,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,C&C Communication,90,1,0.9777777777777777,0.945054945054945,1.0,episode,20,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,File Download,1231,1,1.0,1.0,1.0,episode,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Ingress Tool Transfer,3702,1,0.9975688816855753,0.9956976929122072,0.9991111571062488,episode,16,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Merlin ICMP Flooding,10011,1,0.9998002197582659,0.9986604152712659,1.0,episode,5,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Merlin TCP Flooding,15000,1,0.9999333333333333,0.99982858122393,1.0,episode,4,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Merlin UDP Flooding,4996,1,0.9997998398718975,,,unavailable,1,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Mirai GRE Flooding,15000,1,0.9999333333333333,,,unavailable,1,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Mirai TCP Flooding,15000,1,0.9998666666666667,0.9997333688841488,1.0,episode,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Mirai UDP Flooding,15000,1,0.9996666666666667,0.9996665332799787,1.0,episode,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Reporting,74,1,1.0,1.0,1.0,episode,8,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,TCP Scan,15000,1,0.999,0.9899990439770554,0.9997889807831328,episode,140,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Telnet Brute Force,15000,1,0.9918,0.987795479050605,0.9952938745238176,episode,30,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,File Download,3,1,1.0,1.0,1.0,episode,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Ingress Tool Transfer,3,1,1.0,1.0,1.0,episode,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin C&C Communication,5,1,0.4,0.0,0.8,episode,5,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin ICMP Flooding,8,2,1.0,1.0,1.0,source,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin TCP Flooding,11,2,1.0,1.0,1.0,source,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin UDP Flooding,6,2,1.0,1.0,1.0,source,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai C&C Communication,2,1,1.0,1.0,1.0,episode,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai GRE Flooding,10,2,1.0,1.0,1.0,source,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai TCP Flooding,10,2,1.0,1.0,1.0,source,2,0.0,27
M1-Random,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai UDP Flooding,11,2,0.8181818181818182,0.6,1.0,source,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,C&C Communication,89,3,0.9662921348314607,0.9642857142857143,1.0,source,3,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,CoAP Amplification,320,1,0.984375,0.9811320754716981,0.9875776397515528,episode,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,File Download,1230,2,0.9975609756097561,0.9230769230769231,1.0,source,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Ingress Tool Transfer,3983,3,0.9445141852874718,0.8166666666666667,0.9485881726158764,source,3,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin C&C Communication,9921,2,0.9583711319423445,0.8863636363636364,0.9603396499948225,source,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin ICMP Flooding,9711,3,1.0,1.0,1.0,source,3,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin TCP Flooding,12711,3,0.9999213279836362,0.9974489795918368,1.0,source,3,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin UDP Flooding,5296,3,0.9922583081570997,0.754601226993865,1.0,source,3,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai C&C Communication,367,2,0.6975476839237057,0.5555555555555556,0.7011173184357542,source,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai GRE Flooding,12712,3,0.9999213341724354,0.9974489795918368,1.0,source,3,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai TCP Flooding,12711,3,0.9999213279836362,0.9974489795918368,1.0,source,3,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Mirai UDP Flooding,12711,3,0.9999213279836362,0.9968652037617555,1.0,source,3,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Reporting,93,3,0.989247311827957,0.6666666666666666,1.0,source,3,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,TCP Scan,24711,4,0.9801707741491643,0.9156118143459916,0.9949989008573313,source,4,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Telnet Brute Force,24712,4,0.9337164130786663,0.8778089887640449,0.9393548032534623,source,4,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,UDP Scan,113,1,0.9469026548672567,0.8968253968253969,0.9898106357927786,episode,60,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,File Download,105,1,1.0,1.0,1.0,episode,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,Ingress Tool Transfer,2381,1,0.9420411591768164,0.9278340118854045,0.9544158414335373,episode,12,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,C&C Communication,90,1,0.9222222222222223,0.852230276907001,0.9787290033594624,episode,20,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,File Download,1231,1,0.9983753046303818,0.9973684210526316,1.0,episode,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Ingress Tool Transfer,3702,1,0.95569962182604,0.9463885728109932,0.9661039970941386,episode,16,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Merlin ICMP Flooding,10011,1,1.0,1.0,1.0,episode,5,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Merlin TCP Flooding,15000,1,0.9998,0.9994857436717902,1.0,episode,4,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Merlin UDP Flooding,4996,1,0.9993995196156925,,,unavailable,1,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Mirai GRE Flooding,15000,1,0.9998666666666667,,,unavailable,1,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Mirai TCP Flooding,15000,1,0.9998666666666667,0.9997333688841488,1.0,episode,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Mirai UDP Flooding,15000,1,1.0,1.0,1.0,episode,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Reporting,74,1,1.0,1.0,1.0,episode,8,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,TCP Scan,15000,1,0.9942666666666666,0.9613555194805194,0.9971060348388865,episode,140,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,Telnet Brute Force,15000,1,0.9112,0.8978953018037812,0.925262744717123,episode,30,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,File Download,3,1,1.0,1.0,1.0,episode,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Ingress Tool Transfer,3,1,0.6666666666666666,0.5,1.0,episode,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin C&C Communication,5,1,0.8,0.4,1.0,episode,5,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin ICMP Flooding,8,2,1.0,1.0,1.0,source,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin TCP Flooding,11,2,1.0,1.0,1.0,source,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Merlin UDP Flooding,6,2,0.8333333333333334,0.6666666666666666,1.0,source,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai C&C Communication,2,1,0.5,0.0,1.0,episode,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai GRE Flooding,10,2,0.6,0.25,0.8333333333333334,source,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai TCP Flooding,10,2,1.0,1.0,1.0,source,2,0.0,27
M1-SSL,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,Mirai UDP Flooding,11,2,0.7272727272727273,0.6,0.8333333333333334,source,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,C&C Communication,89,3,0.9662921348314607,0.9642857142857143,1.0,source,3,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,CoAP Amplification,320,1,0.984375,0.9811320754716981,0.9875776397515528,episode,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,File Download,1230,2,0.9975609756097561,0.9230769230769231,1.0,source,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Ingress Tool Transfer,3983,3,0.9430077830780819,0.8166666666666667,0.9469898774640384,source,3,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin C&C Communication,9921,2,0.9606894466283641,0.8939393939393939,0.9625142383763073,source,2,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin ICMP Flooding,9711,3,1.0,1.0,1.0,source,3,0.0,27
TGN-only,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,Merlin TCP Flooding,12711,3,1.0,1.0,1.0,source,3,0.0,27
