candidate,held_value,rows,sources,metric,hard_rate,c1_hard_rate,delta_vs_c1_pp,delta_ci_low_pp,delta_ci_high_pp,ci_cluster_unit,ci_clusters,review_rate,seed
M0,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,1.0,1.0,0.0,0.0,0.0,episode,28,0.0,27
M1-Random,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,0.9933333333333333,1.0,-0.666666666666671,-0.9511467496636701,-0.37850206648316437,episode,28,0.0,27
M1-SSL,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,1.0,1.0,0.0,0.0,0.0,episode,28,0.0,27
TGN-only,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,1.0,1.0,0.0,0.0,0.0,episode,28,0.0,27
M0,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,1.0,1.0,0.0,0.0,0.0,source,5,0.0,27
M1-Random,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,0.762,1.0,-23.799999999999997,-25.050167224080266,-22.749916971105947,source,5,0.0,27
M1-SSL,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,0.821,1.0,-17.900000000000006,-18.695652173913043,-17.270009963467288,source,5,0.0,27
TGN-only,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,0.795,1.0,-20.499999999999996,-20.93645484949833,-19.993357688475587,source,5,0.0,27
M0,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,0.018666666666666668,0.018666666666666668,0.0,0.0,0.0,episode,22,0.0,27
M1-Random,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,0.017666666666666667,0.018666666666666668,-0.10000000000000009,-0.3470576524377686,0.0,episode,22,0.0,27
M1-SSL,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,0.017333333333333333,0.018666666666666668,-0.13333333333333358,-0.3176818912347544,0.0,episode,22,0.0,27
TGN-only,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,0.8396666666666667,0.018666666666666668,82.1,79.6553756827753,83.71688667504746,episode,22,0.0,27
