protocol,fold,train_rows,test_rows,train_sources,test_sources,source_overlap,test_labels_used_for_fit_or_threshold
unseen_source_pair,benign=processed/iotsim-building-monitor-2.csv|attack=processed/iotsim-city-power-1.csv,6629,1715,processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-building-monitor-2.csv;processed/iotsim-city-power-1.csv,0,0
unseen_source_pair,benign=processed/iotsim-building-monitor-2.csv|attack=processed/iotsim-combined-cycle-10.csv,6621,1723,processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-building-monitor-2.csv;processed/iotsim-combined-cycle-10.csv,0,0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-city-power-1.csv,7405,939,processed/iotsim-building-monitor-2.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv,0,0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-combined-cycle-10.csv,7397,947,processed/iotsim-building-monitor-2.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-city-power-1.csv,6425,1919,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-3.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-3.csv|attack=processed/iotsim-combined-cycle-10.csv,6417,1927,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-4.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-4.csv|attack=processed/iotsim-city-power-1.csv,6425,1919,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-4.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-4.csv|attack=processed/iotsim-combined-cycle-10.csv,6417,1927,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-5.csv,processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-4.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-5.csv|attack=processed/iotsim-city-power-1.csv,6425,1919,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv,processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-5.csv,0,0
unseen_source_pair,benign=processed/iotsim-combined-cycle-tls-5.csv|attack=processed/iotsim-combined-cycle-10.csv,6417,1927,processed/iotsim-building-monitor-2.csv;processed/iotsim-building-monitor-3.csv;processed/iotsim-city-power-1.csv;processed/iotsim-combined-cycle-tls-3.csv;processed/iotsim-combined-cycle-tls-4.csv,processed/iotsim-combined-cycle-10.csv;processed/iotsim-combined-cycle-tls-5.csv,0,0
