record_set,m1_scope,events,sources,attack_events,benign_events,report_only_sources,held_value,protocol_run,target_events,memory_only_events,seed
fit_attack,training,385,3,385,0,0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,385,0,27
fit_benign,training,12000,10,0,12000,0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,12000,0,27
select_attack,select,69,3,69,0,0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,69,0,27
select_benign,select,9000,10,0,9000,0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,9000,0,27
report,report,301931,8,243981,57950,4,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,301931,0,27
fit_attack,training,385,3,385,0,0,iotsim-stream-consumer,iotsim-stream-consumer,385,0,27
fit_benign,training,8000,9,0,8000,0,iotsim-stream-consumer,iotsim-stream-consumer,8000,0,27
select_attack,select,69,3,69,0,0,iotsim-stream-consumer,iotsim-stream-consumer,69,0,27
select_benign,select,6000,9,0,6000,0,iotsim-stream-consumer,iotsim-stream-consumer,6000,0,27
report,report,3000,1,0,3000,0,iotsim-stream-consumer,iotsim-stream-consumer,3000,0,27
fit_attack,training,385,3,385,0,0,iotsim-hydraulic-system,iotsim-hydraulic-system,385,0,27
fit_benign,training,10604,7,0,10604,0,iotsim-hydraulic-system,iotsim-hydraulic-system,10604,0,27
select_attack,select,69,3,69,0,0,iotsim-hydraulic-system,iotsim-hydraulic-system,69,0,27
select_benign,select,6000,5,0,6000,0,iotsim-hydraulic-system,iotsim-hydraulic-system,6000,0,27
report,report,3000,5,0,3000,0,iotsim-hydraulic-system,iotsim-hydraulic-system,3000,0,27
fit_attack,training,385,3,385,0,0,domotic-monitor,domotic-monitor,385,0,27
fit_benign,training,12000,10,0,12000,0,domotic-monitor,domotic-monitor,12000,0,27
select_attack,select,69,3,69,0,0,domotic-monitor,domotic-monitor,69,0,27
select_benign,select,9000,10,0,9000,0,domotic-monitor,domotic-monitor,9000,0,27
report,report,3000,1,3000,0,0,domotic-monitor,domotic-monitor,3000,0,27
fit_attack,training,352,2,352,0,0,combined-cycle,combined-cycle,352,0,27
fit_benign,training,12000,10,0,12000,0,combined-cycle,combined-cycle,12000,0,27
select_attack,select,63,2,63,0,0,combined-cycle,combined-cycle,63,0,27
select_benign,select,9000,10,0,9000,0,combined-cycle,combined-cycle,9000,0,27
report,report,5486,2,5486,0,0,combined-cycle,combined-cycle,5486,0,27
fit_attack,training,385,3,385,0,0,iotsim-ip-camera-street,iotsim-ip-camera-street,385,0,27
fit_benign,training,12000,10,0,12000,0,iotsim-ip-camera-street,iotsim-ip-camera-street,12000,0,27
select_attack,select,69,3,69,0,0,iotsim-ip-camera-street,iotsim-ip-camera-street,69,0,27
select_benign,select,9000,10,0,9000,0,iotsim-ip-camera-street,iotsim-ip-camera-street,9000,0,27
report,report,3000,1,0,3000,0,iotsim-ip-camera-street,iotsim-ip-camera-street,3000,0,27
