role,rows,sources,feature_dim,identity_feature_count,raw_label_column_read,labels_used_to_build_features,held_value,protocol_run,seed
future_query,131391,5,207,0,False,False,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
id_calib,7000,8,207,0,False,False,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
ood_stress,7000,2,207,0,False,False,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
ood_val,7000,10,207,0,False,False,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
same_file_query,2486,1,207,0,False,False,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
sealed_final_attack,110104,1,207,0,False,False,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
sealed_final_ood,57950,2,207,0,False,False,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
support_train,385,3,207,0,False,False,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
support_val,69,3,207,0,False,False,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
id_calib,7000,8,207,0,False,False,iotsim-stream-consumer,iotsim-stream-consumer,27
ood_stress,3000,1,207,0,False,False,iotsim-stream-consumer,iotsim-stream-consumer,27
ood_val,7000,10,207,0,False,False,iotsim-stream-consumer,iotsim-stream-consumer,27
support_train,385,3,207,0,False,False,iotsim-stream-consumer,iotsim-stream-consumer,27
support_val,69,3,207,0,False,False,iotsim-stream-consumer,iotsim-stream-consumer,27
id_calib,7000,8,207,0,False,False,iotsim-hydraulic-system,iotsim-hydraulic-system,27
ood_stress,7000,2,207,0,False,False,iotsim-hydraulic-system,iotsim-hydraulic-system,27
ood_val,5604,7,207,0,False,False,iotsim-hydraulic-system,iotsim-hydraulic-system,27
support_train,385,3,207,0,False,False,iotsim-hydraulic-system,iotsim-hydraulic-system,27
support_val,69,3,207,0,False,False,iotsim-hydraulic-system,iotsim-hydraulic-system,27
future_query,3000,1,207,0,False,False,domotic-monitor,domotic-monitor,27
id_calib,7000,8,207,0,False,False,domotic-monitor,domotic-monitor,27
ood_stress,7000,2,207,0,False,False,domotic-monitor,domotic-monitor,27
ood_val,7000,10,207,0,False,False,domotic-monitor,domotic-monitor,27
support_train,385,3,207,0,False,False,domotic-monitor,domotic-monitor,27
support_val,69,3,207,0,False,False,domotic-monitor,domotic-monitor,27
future_query,3000,2,207,0,False,False,combined-cycle,combined-cycle,27
id_calib,7000,8,207,0,False,False,combined-cycle,combined-cycle,27
ood_stress,7000,2,207,0,False,False,combined-cycle,combined-cycle,27
ood_val,7000,10,207,0,False,False,combined-cycle,combined-cycle,27
same_file_query,2486,1,207,0,False,False,combined-cycle,combined-cycle,27
support_train,352,2,207,0,False,False,combined-cycle,combined-cycle,27
support_val,63,2,207,0,False,False,combined-cycle,combined-cycle,27
id_calib,7000,8,207,0,False,False,iotsim-ip-camera-street,iotsim-ip-camera-street,27
ood_stress,7000,2,207,0,False,False,iotsim-ip-camera-street,iotsim-ip-camera-street,27
ood_val,7000,10,207,0,False,False,iotsim-ip-camera-street,iotsim-ip-camera-street,27
sealed_final_ood,3000,1,207,0,False,False,iotsim-ip-camera-street,iotsim-ip-camera-street,27
support_train,385,3,207,0,False,False,iotsim-ip-camera-street,iotsim-ip-camera-street,27
support_val,69,3,207,0,False,False,iotsim-ip-camera-street,iotsim-ip-camera-street,27
