candidate,held_value,attack_family,support_rows,sampled_occurrences_per_epoch,epochs,total_row_visits,seed
M1-ExtraTrees-Global,GLOBAL_ATTACK_PRESERVATION,File Download,15,60,1,60,27
M1-ExtraTrees-Global,GLOBAL_ATTACK_PRESERVATION,Ingress Tool Transfer,18,60,1,60,27
M1-ExtraTrees-Global,GLOBAL_ATTACK_PRESERVATION,Merlin C&C Communication,30,60,1,60,27
M1-ExtraTrees-Global,GLOBAL_ATTACK_PRESERVATION,Merlin ICMP Flooding,43,60,1,60,27
M1-ExtraTrees-Global,GLOBAL_ATTACK_PRESERVATION,Merlin TCP Flooding,60,60,1,60,27
M1-ExtraTrees-Global,GLOBAL_ATTACK_PRESERVATION,Merlin UDP Flooding,30,60,1,60,27
M1-ExtraTrees-Global,GLOBAL_ATTACK_PRESERVATION,Mirai C&C Communication,9,60,1,60,27
M1-ExtraTrees-Global,GLOBAL_ATTACK_PRESERVATION,Mirai GRE Flooding,60,60,1,60,27
M1-ExtraTrees-Global,GLOBAL_ATTACK_PRESERVATION,Mirai TCP Flooding,60,60,1,60,27
M1-ExtraTrees-Global,GLOBAL_ATTACK_PRESERVATION,Mirai UDP Flooding,60,60,1,60,27
M2-TabM-Global,GLOBAL_ATTACK_PRESERVATION,File Download,15,60,48,2880,27
M2-TabM-Global,GLOBAL_ATTACK_PRESERVATION,Ingress Tool Transfer,18,60,48,2880,27
M2-TabM-Global,GLOBAL_ATTACK_PRESERVATION,Merlin C&C Communication,30,60,48,2880,27
M2-TabM-Global,GLOBAL_ATTACK_PRESERVATION,Merlin ICMP Flooding,43,60,48,2880,27
M2-TabM-Global,GLOBAL_ATTACK_PRESERVATION,Merlin TCP Flooding,60,60,48,2880,27
M2-TabM-Global,GLOBAL_ATTACK_PRESERVATION,Merlin UDP Flooding,30,60,48,2880,27
M2-TabM-Global,GLOBAL_ATTACK_PRESERVATION,Mirai C&C Communication,9,60,48,2880,27
M2-TabM-Global,GLOBAL_ATTACK_PRESERVATION,Mirai GRE Flooding,60,60,48,2880,27
M2-TabM-Global,GLOBAL_ATTACK_PRESERVATION,Mirai TCP Flooding,60,60,48,2880,27
M2-TabM-Global,GLOBAL_ATTACK_PRESERVATION,Mirai UDP Flooding,60,60,48,2880,27
M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,File Download,15,60,48,2880,27
M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,Ingress Tool Transfer,18,60,48,2880,27
M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,Merlin C&C Communication,30,60,48,2880,27
M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,Merlin ICMP Flooding,43,60,48,2880,27
M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,Merlin TCP Flooding,60,60,48,2880,27
M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,Merlin UDP Flooding,30,60,48,2880,27
M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,Mirai C&C Communication,9,60,48,2880,27
M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,Mirai GRE Flooding,60,60,48,2880,27
M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,Mirai TCP Flooding,60,60,48,2880,27
M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,Mirai UDP Flooding,60,60,48,2880,27
A1-ExtraTrees-CSR,GLOBAL_ATTACK_PRESERVATION,File Download,15,60,1,60,27
A1-ExtraTrees-CSR,GLOBAL_ATTACK_PRESERVATION,Ingress Tool Transfer,18,60,1,60,27
A1-ExtraTrees-CSR,GLOBAL_ATTACK_PRESERVATION,Merlin C&C Communication,30,60,1,60,27
A1-ExtraTrees-CSR,GLOBAL_ATTACK_PRESERVATION,Merlin ICMP Flooding,43,60,1,60,27
A1-ExtraTrees-CSR,GLOBAL_ATTACK_PRESERVATION,Merlin TCP Flooding,60,60,1,60,27
A1-ExtraTrees-CSR,GLOBAL_ATTACK_PRESERVATION,Merlin UDP Flooding,30,60,1,60,27
A1-ExtraTrees-CSR,GLOBAL_ATTACK_PRESERVATION,Mirai C&C Communication,9,60,1,60,27
A1-ExtraTrees-CSR,GLOBAL_ATTACK_PRESERVATION,Mirai GRE Flooding,60,60,1,60,27
A1-ExtraTrees-CSR,GLOBAL_ATTACK_PRESERVATION,Mirai TCP Flooding,60,60,1,60,27
A1-ExtraTrees-CSR,GLOBAL_ATTACK_PRESERVATION,Mirai UDP Flooding,60,60,1,60,27
M1-ExtraTrees-Global,iotsim-stream-consumer,File Download,15,60,1,60,27
M1-ExtraTrees-Global,iotsim-stream-consumer,Ingress Tool Transfer,18,60,1,60,27
M1-ExtraTrees-Global,iotsim-stream-consumer,Merlin C&C Communication,30,60,1,60,27
M1-ExtraTrees-Global,iotsim-stream-consumer,Merlin ICMP Flooding,43,60,1,60,27
M1-ExtraTrees-Global,iotsim-stream-consumer,Merlin TCP Flooding,60,60,1,60,27
M1-ExtraTrees-Global,iotsim-stream-consumer,Merlin UDP Flooding,30,60,1,60,27
M1-ExtraTrees-Global,iotsim-stream-consumer,Mirai C&C Communication,9,60,1,60,27
M1-ExtraTrees-Global,iotsim-stream-consumer,Mirai GRE Flooding,60,60,1,60,27
M1-ExtraTrees-Global,iotsim-stream-consumer,Mirai TCP Flooding,60,60,1,60,27
M1-ExtraTrees-Global,iotsim-stream-consumer,Mirai UDP Flooding,60,60,1,60,27
M2-TabM-Global,iotsim-stream-consumer,File Download,15,60,48,2880,27
M2-TabM-Global,iotsim-stream-consumer,Ingress Tool Transfer,18,60,48,2880,27
M2-TabM-Global,iotsim-stream-consumer,Merlin C&C Communication,30,60,48,2880,27
M2-TabM-Global,iotsim-stream-consumer,Merlin ICMP Flooding,43,60,48,2880,27
M2-TabM-Global,iotsim-stream-consumer,Merlin TCP Flooding,60,60,48,2880,27
M2-TabM-Global,iotsim-stream-consumer,Merlin UDP Flooding,30,60,48,2880,27
M2-TabM-Global,iotsim-stream-consumer,Mirai C&C Communication,9,60,48,2880,27
M2-TabM-Global,iotsim-stream-consumer,Mirai GRE Flooding,60,60,48,2880,27
M2-TabM-Global,iotsim-stream-consumer,Mirai TCP Flooding,60,60,48,2880,27
M2-TabM-Global,iotsim-stream-consumer,Mirai UDP Flooding,60,60,48,2880,27
M3-TabM-CSR,iotsim-stream-consumer,File Download,15,60,48,2880,27
M3-TabM-CSR,iotsim-stream-consumer,Ingress Tool Transfer,18,60,48,2880,27
M3-TabM-CSR,iotsim-stream-consumer,Merlin C&C Communication,30,60,48,2880,27
M3-TabM-CSR,iotsim-stream-consumer,Merlin ICMP Flooding,43,60,48,2880,27
M3-TabM-CSR,iotsim-stream-consumer,Merlin TCP Flooding,60,60,48,2880,27
M3-TabM-CSR,iotsim-stream-consumer,Merlin UDP Flooding,30,60,48,2880,27
M3-TabM-CSR,iotsim-stream-consumer,Mirai C&C Communication,9,60,48,2880,27
M3-TabM-CSR,iotsim-stream-consumer,Mirai GRE Flooding,60,60,48,2880,27
M3-TabM-CSR,iotsim-stream-consumer,Mirai TCP Flooding,60,60,48,2880,27
M3-TabM-CSR,iotsim-stream-consumer,Mirai UDP Flooding,60,60,48,2880,27
A1-ExtraTrees-CSR,iotsim-stream-consumer,File Download,15,60,1,60,27
A1-ExtraTrees-CSR,iotsim-stream-consumer,Ingress Tool Transfer,18,60,1,60,27
A1-ExtraTrees-CSR,iotsim-stream-consumer,Merlin C&C Communication,30,60,1,60,27
A1-ExtraTrees-CSR,iotsim-stream-consumer,Merlin ICMP Flooding,43,60,1,60,27
A1-ExtraTrees-CSR,iotsim-stream-consumer,Merlin TCP Flooding,60,60,1,60,27
A1-ExtraTrees-CSR,iotsim-stream-consumer,Merlin UDP Flooding,30,60,1,60,27
A1-ExtraTrees-CSR,iotsim-stream-consumer,Mirai C&C Communication,9,60,1,60,27
A1-ExtraTrees-CSR,iotsim-stream-consumer,Mirai GRE Flooding,60,60,1,60,27
A1-ExtraTrees-CSR,iotsim-stream-consumer,Mirai TCP Flooding,60,60,1,60,27
A1-ExtraTrees-CSR,iotsim-stream-consumer,Mirai UDP Flooding,60,60,1,60,27
M1-ExtraTrees-Global,iotsim-hydraulic-system,File Download,15,60,1,60,27
M1-ExtraTrees-Global,iotsim-hydraulic-system,Ingress Tool Transfer,18,60,1,60,27
M1-ExtraTrees-Global,iotsim-hydraulic-system,Merlin C&C Communication,30,60,1,60,27
M1-ExtraTrees-Global,iotsim-hydraulic-system,Merlin ICMP Flooding,43,60,1,60,27
M1-ExtraTrees-Global,iotsim-hydraulic-system,Merlin TCP Flooding,60,60,1,60,27
M1-ExtraTrees-Global,iotsim-hydraulic-system,Merlin UDP Flooding,30,60,1,60,27
