candidate,metric,rows,hard_recall,c1_hard_recall,delta_vs_c1_pp,delta_ci_low_pp,delta_ci_high_pp,ci_cluster_unit,ci_clusters,review_rate,seed,attack_family
M0-C1,overall_attack_hard_recall,244050,0.9129973366113502,0.9129973366113502,0.0,0.0,0.0,source,8.0,0.0,27,
M0-C1,support_val_recall,69,1.0,1.0,0.0,0.0,0.0,source,3.0,0.0,27,
M0-C1,same_file_attack_recall,2486,0.6351568785197104,0.6351568785197104,0.0,0.0,0.0,episode,14.0,0.0,27,
M0-C1,future_attack_recall,131391,0.8683395361934988,0.8683395361934988,0.0,0.0,0.0,source,5.0,0.0,27,
M0-C1,sealed_attack_recall,110104,0.9725078107970646,0.9725078107970646,0.0,0.0,0.0,episode,208.0,0.0,27,
M0-C1,domotic_attack_recall,3000,0.8886666666666667,0.8886666666666667,0.0,0.0,0.0,episode,77.0,0.0,27,
M0-C1,combined_attack_recall,5492,0.7112163146394757,0.7112163146394757,0.0,0.0,0.0,source,2.0,0.0,27,
M0-C1,attack_family_recall,179,0.5586592178770949,0.5586592178770949,0.0,0.0,0.0,source,4.0,0.0,27,C&C Communication
M0-C1,attack_family_recall,320,0.0,0.0,0.0,0.0,0.0,episode,2.0,0.0,27,CoAP Amplification
M0-C1,attack_family_recall,2569,1.0,1.0,0.0,0.0,0.0,source,4.0,0.0,27,File Download
M0-C1,attack_family_recall,10069,0.7566789154831661,0.7566789154831661,0.0,0.0,0.0,source,5.0,0.0,27,Ingress Tool Transfer
M0-C1,attack_family_recall,9926,0.9981865806971589,0.9981865806971589,0.0,0.0,0.0,source,3.0,0.0,27,Merlin C&C Communication
M0-C1,attack_family_recall,19730,0.9916877850988343,0.9916877850988343,0.0,0.0,0.0,source,6.0,0.0,27,Merlin ICMP Flooding
M0-C1,attack_family_recall,27722,0.9993867686314118,0.9993867686314118,0.0,0.0,0.0,source,6.0,0.0,27,Merlin TCP Flooding
M0-C1,attack_family_recall,10298,1.0,1.0,0.0,0.0,0.0,source,6.0,0.0,27,Merlin UDP Flooding
M0-C1,attack_family_recall,369,0.05962059620596206,0.05962059620596206,0.0,0.0,0.0,source,3.0,0.0,27,Mirai C&C Communication
M0-C1,attack_family_recall,27722,0.9999639275665536,0.9999639275665536,0.0,0.0,0.0,source,6.0,0.0,27,Mirai GRE Flooding
M0-C1,attack_family_recall,27721,0.9963926265286245,0.9963926265286245,0.0,0.0,0.0,source,6.0,0.0,27,Mirai TCP Flooding
M0-C1,attack_family_recall,27722,0.9999278551331072,0.9999278551331072,0.0,0.0,0.0,source,6.0,0.0,27,Mirai UDP Flooding
M0-C1,attack_family_recall,167,0.7305389221556886,0.7305389221556886,0.0,0.0,0.0,source,4.0,0.0,27,Reporting
M0-C1,attack_family_recall,39711,0.7656316889526832,0.7656316889526832,0.0,0.0,0.0,source,5.0,0.0,27,TCP Scan
M0-C1,attack_family_recall,39712,0.7917506043513296,0.7917506043513296,0.0,0.0,0.0,source,5.0,0.0,27,Telnet Brute Force
M0-C1,attack_family_recall,113,0.0,0.0,0.0,0.0,0.0,episode,60.0,0.0,27,UDP Scan
M0-C1,worst_family_recall,320,0.0,0.0,0.0,,,,,0.0,27,CoAP Amplification
M1-GlobalNormalConformal,overall_attack_hard_recall,244050,0.822499487809875,0.9129973366113502,-9.049784880147516,-31.987686748197348,-0.6700925086680181,source,8.0,0.0,27,
M1-GlobalNormalConformal,support_val_recall,69,1.0,1.0,0.0,0.0,0.0,source,3.0,0.0,27,
