source_group,device_key,device_family,role,raw_source_path,raw_zip_size,raw_zip_crc32,stable_split_rank,family_stable_split_rank,family_source_count,split_rule,warmup_packets,model_ready_rows,training_rows,selection_rows,report_rows,source_fresh_reset,current_packet_inclusive,future_events_used,raw_label_column_read,labels_used_to_build_features,source_identity_as_feature,event_schema,feature_schema_sha256,cache_npz,cache_sha256,issue27ab_sha256_lf,afterimage_py_sha256_lf,source_md_sha256_lf
iotsim-predictive-maintenance-6_0-0_to_OpenvSwitch-19_6-0,iotsim-predictive-maintenance-6,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-6_0-0_to_OpenvSwitch-19_6-0.pcap,1817205,daa15e67,0,7,15,sha256_rank_within_family_frozen_select_counts; predictive_all_report,500,600,0,0,600,True,True,False,False,False,False,Kitsune/AfterImage RestoredNetStat115,d35534302420aef2581e51135a460c6ebffcacc000c7aa3cb7c67eb5f3c4aa0f,29a74ad76bd1f974ca6f.npz,3e1522d0a5e9ab71f93103a5cd2d71bd602166035d3ea7467c00f06059f51609,f3c3dc953388e1e7c3769fe15062e113d353675e376057169a0c69374923dbbe,c4a73e4b6bfc8e9f618d439f8fd17369d765a19827c858851c4455da225c87c9,459006c4ced6139a24ab3341e096cbb0a73773ae54ffadf0c287211e636a5d83
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,iotsim-combined-cycle-3,iotsim-combined-cycle,aux_fit,raw/benign/iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0.pcap,88840,aea54a45,1,0,8,sha256_rank_within_family_frozen_select_counts; predictive_all_report,500,600,600,0,0,True,True,False,False,False,False,Kitsune/AfterImage RestoredNetStat115,d35534302420aef2581e51135a460c6ebffcacc000c7aa3cb7c67eb5f3c4aa0f,12beef37830357a30a7a.npz,7af492cb4e8b3f181fa851789d69d64cf92bb9d4d56731413110bba4572ba856,f3c3dc953388e1e7c3769fe15062e113d353675e376057169a0c69374923dbbe,c4a73e4b6bfc8e9f618d439f8fd17369d765a19827c858851c4455da225c87c9,459006c4ced6139a24ab3341e096cbb0a73773ae54ffadf0c287211e636a5d83
iotsim-predictive-maintenance-7_0-0_to_OpenvSwitch-19_7-0,iotsim-predictive-maintenance-7,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-7_0-0_to_OpenvSwitch-19_7-0.pcap,1816997,98fbc68e,2,0,15,sha256_rank_within_family_frozen_select_counts; predictive_all_report,500,600,0,0,600,True,True,False,False,False,False,Kitsune/AfterImage RestoredNetStat115,d35534302420aef2581e51135a460c6ebffcacc000c7aa3cb7c67eb5f3c4aa0f,4fa5c2f39f1fbb52011f.npz,97c9fe0afbc0fdeaef8b9d1be89d7f5bc4dad9a6ad7caedcbd5dcb8c496f582d,f3c3dc953388e1e7c3769fe15062e113d353675e376057169a0c69374923dbbe,c4a73e4b6bfc8e9f618d439f8fd17369d765a19827c858851c4455da225c87c9,459006c4ced6139a24ab3341e096cbb0a73773ae54ffadf0c287211e636a5d83
iotsim-predictive-maintenance-14_0-0_to_OpenvSwitch-21_4-0,iotsim-predictive-maintenance-14,iotsim-predictive-maintenance,aux_report,raw/benign/iotsim-predictive-maintenance-14_0-0_to_OpenvSwitch-21_4-0.pcap,5202643,0b829a71,3,6,15,sha256_rank_within_family_frozen_select_counts; predictive_all_report,500,600,0,0,600,True,True,False,False,False,False,Kitsune/AfterImage RestoredNetStat115,d35534302420aef2581e51135a460c6ebffcacc000c7aa3cb7c67eb5f3c4aa0f,061612188bf9c682b29a.npz,84dc87ccdb976b6b6fb7a129631d8af0bb42211f51984cd27088f87a68334e21,f3c3dc953388e1e7c3769fe15062e113d353675e376057169a0c69374923dbbe,c4a73e4b6bfc8e9f618d439f8fd17369d765a19827c858851c4455da225c87c9,459006c4ced6139a24ab3341e096cbb0a73773ae54ffadf0c287211e636a5d83
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,iotsim-domotic-monitor-5,iotsim-domotic-monitor,aux_fit,raw/benign/iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0.pcap,226499,33246150,4,3,4,sha256_rank_within_family_frozen_select_counts; predictive_all_report,500,600,600,0,0,True,True,False,False,False,False,Kitsune/AfterImage RestoredNetStat115,d35534302420aef2581e51135a460c6ebffcacc000c7aa3cb7c67eb5f3c4aa0f,e14080670c5e82f3d4d1.npz,f37b558f6bbaa1cefaa9f9c4769b2c6a02db5cef4da63d1f2bad40507f7050bb,f3c3dc953388e1e7c3769fe15062e113d353675e376057169a0c69374923dbbe,c4a73e4b6bfc8e9f618d439f8fd17369d765a19827c858851c4455da225c87c9,459006c4ced6139a24ab3341e096cbb0a73773ae54ffadf0c287211e636a5d83
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,iotsim-domotic-monitor-3,iotsim-domotic-monitor,aux_fit,raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,226151,997ac621,5,1,4,sha256_rank_within_family_frozen_select_counts; predictive_all_report,500,600,600,0,0,True,True,False,False,False,False,Kitsune/AfterImage RestoredNetStat115,d35534302420aef2581e51135a460c6ebffcacc000c7aa3cb7c67eb5f3c4aa0f,7e90174d571e0b239a69.npz,94a80b9e4c357da471555289b491ae62eaf8cd4d4dfe5594a2bb801869a68b02,f3c3dc953388e1e7c3769fe15062e113d353675e376057169a0c69374923dbbe,c4a73e4b6bfc8e9f618d439f8fd17369d765a19827c858851c4455da225c87c9,459006c4ced6139a24ab3341e096cbb0a73773ae54ffadf0c287211e636a5d83
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,iotsim-combined-cycle-tls-1,iotsim-combined-cycle-tls,aux_fit,raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,270551,8864099a,6,1,2,sha256_rank_within_family_frozen_select_counts; predictive_all_report,500,600,600,0,0,True,True,False,False,False,False,Kitsune/AfterImage RestoredNetStat115,d35534302420aef2581e51135a460c6ebffcacc000c7aa3cb7c67eb5f3c4aa0f,b1fe2cbba0c415408bb1.npz,3e79ec1fcde1b1926d5caeac2704004abb3445e96d050e4f0eaf75fe023ba976,f3c3dc953388e1e7c3769fe15062e113d353675e376057169a0c69374923dbbe,c4a73e4b6bfc8e9f618d439f8fd17369d765a19827c858851c4455da225c87c9,459006c4ced6139a24ab3341e096cbb0a73773ae54ffadf0c287211e636a5d83
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,iotsim-domotic-monitor-2,iotsim-domotic-monitor,aux_fit,raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,225803,c04c6023,7,0,4,sha256_rank_within_family_frozen_select_counts; predictive_all_report,500,600,600,0,0,True,True,False,False,False,False,Kitsune/AfterImage RestoredNetStat115,d35534302420aef2581e51135a460c6ebffcacc000c7aa3cb7c67eb5f3c4aa0f,677242db06cebbffff89.npz,6e398420c55c72d50ccf7a8e5f5781c147c98048c1684421e70c1788468bb50a,f3c3dc953388e1e7c3769fe15062e113d353675e376057169a0c69374923dbbe,c4a73e4b6bfc8e9f618d439f8fd17369d765a19827c858851c4455da225c87c9,459006c4ced6139a24ab3341e096cbb0a73773ae54ffadf0c287211e636a5d83
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,iotsim-combined-cycle-tls-2,iotsim-combined-cycle-tls,aux_select,raw/benign/iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0.pcap,270738,30933f63,8,0,2,sha256_rank_within_family_frozen_select_counts; predictive_all_report,500,600,0,600,0,True,True,False,False,False,False,Kitsune/AfterImage RestoredNetStat115,d35534302420aef2581e51135a460c6ebffcacc000c7aa3cb7c67eb5f3c4aa0f,0944784b5a1c5894eb6e.npz,40d84b0985c2635d7a36b3318b3852e856fd1ebc4c7d22841152e72544fc82e2,f3c3dc953388e1e7c3769fe15062e113d353675e376057169a0c69374923dbbe,c4a73e4b6bfc8e9f618d439f8fd17369d765a19827c858851c4455da225c87c9,459006c4ced6139a24ab3341e096cbb0a73773ae54ffadf0c287211e636a5d83
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,iotsim-combined-cycle-8,iotsim-combined-cycle,aux_fit,raw/benign/iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0.pcap,89472,ba574abd,9,2,8,sha256_rank_within_family_frozen_select_counts; predictive_all_report,500,600,600,0,0,True,True,False,False,False,False,Kitsune/AfterImage RestoredNetStat115,d35534302420aef2581e51135a460c6ebffcacc000c7aa3cb7c67eb5f3c4aa0f,be9ce24b029dbb6b0918.npz,aed8e2278e829483d97c5fad66e951013920917d27f375a3c49000e9e51cd334,f3c3dc953388e1e7c3769fe15062e113d353675e376057169a0c69374923dbbe,c4a73e4b6bfc8e9f618d439f8fd17369d765a19827c858851c4455da225c87c9,459006c4ced6139a24ab3341e096cbb0a73773ae54ffadf0c287211e636a5d83
