candidate,protocol,held_value,role,rows,sources,label,metric,hard_rate,ci_low,ci_high,ci_cluster_unit,ci_clusters,review_rate,seed
M0-C1,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.8683395361934988,0.713809354950101,0.9065232042904874,source,5,0.0,27
M0-C1,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,0.6351568785197104,0.6019568957888531,0.6715121666684638,episode,14,0.0,27
M0-C1,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,0.9725078107970646,0.9223006135849778,0.9961961028086475,episode,208,0.0,27
M0-C1,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,1.0,1.0,1.0,source,3,0.0,27
M1-GlobalNormalConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.7042643712278619,0.35241507870753935,0.7894691788965085,source,5,0.0,27
M1-GlobalNormalConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,0.5502815768302494,0.5141489535330261,0.596581923106489,episode,14,0.0,27
M1-GlobalNormalConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,0.9696287146697667,0.9196067796003473,0.9934736475107213,episode,208,0.0,27
M1-GlobalNormalConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,1.0,1.0,1.0,source,3,0.0,27
M2-CappedSourceConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.0016820025724745226,0.0007118088120007118,0.023229285492066785,source,5,0.0,27
M2-CappedSourceConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,0.0,0.0,0.0,episode,14,0.0,27
M2-CappedSourceConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,sealed_final_attack,110104,1,1,attack_hard_recall,0.0005812686187604447,0.0,0.0017210856536536757,episode,208,0.0,27
M2-CappedSourceConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,support_val,69,3,1,attack_hard_recall,1.0,1.0,1.0,source,3,0.0,27
A1-UnboundedSourceConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,future_query,131391,5,1,attack_hard_recall,0.0016820025724745226,0.0007118088120007118,0.023229285492066785,source,5,0.0,27
A1-UnboundedSourceConformal,attack_preservation,GLOBAL_ATTACK_PRESERVATION,same_file_query,2486,1,1,attack_hard_recall,0.0,0.0,0.0,episode,14,0.0,27
