source_group,scope,role,phase,extension_source_rows_used,required_zero,pass
processed/iotsim-air-quality-1.csv,tgn_ssl_and_verifier,support_train,fit,0,0.0,True
processed/iotsim-air-quality-1.csv,tgn_ssl_and_verifier,id_calib,fit,0,0.0,True
processed/iotsim-air-quality-1.csv,tgn_ssl_and_verifier,ood_val,fit,0,0.0,True
processed/iotsim-air-quality-1.csv,tgn_ssl_and_verifier,ood_stress,fit,0,0.0,True
processed/iotsim-air-quality-1.csv,c1_fit_and_standardize,support_train,fit,0,0.0,True
processed/iotsim-air-quality-1.csv,c1_fit_and_standardize,id_calib,fit,0,0.0,True
processed/iotsim-air-quality-1.csv,c1_fit_and_standardize,ood_val,fit,0,0.0,True
processed/iotsim-air-quality-1.csv,c1_fit_and_standardize,ood_stress,fit,0,0.0,True
processed/iotsim-air-quality-1.csv,gate_and_threshold_select,support_val,select,0,0.0,True
processed/iotsim-air-quality-1.csv,gate_and_threshold_select,id_calib,select,0,0.0,True
processed/iotsim-air-quality-1.csv,gate_and_threshold_select,ood_val,select,0,0.0,True
processed/iotsim-air-quality-1.csv,gate_and_threshold_select,ood_stress,select,0,0.0,True
processed/iotsim-air-quality-1.csv,report_only_extension,future_query,report_only,24109,,True
processed/iotsim-building-monitor-1.csv,tgn_ssl_and_verifier,support_train,fit,0,0.0,True
processed/iotsim-building-monitor-1.csv,tgn_ssl_and_verifier,id_calib,fit,0,0.0,True
processed/iotsim-building-monitor-1.csv,tgn_ssl_and_verifier,ood_val,fit,0,0.0,True
processed/iotsim-building-monitor-1.csv,tgn_ssl_and_verifier,ood_stress,fit,0,0.0,True
processed/iotsim-building-monitor-1.csv,c1_fit_and_standardize,support_train,fit,0,0.0,True
processed/iotsim-building-monitor-1.csv,c1_fit_and_standardize,id_calib,fit,0,0.0,True
processed/iotsim-building-monitor-1.csv,c1_fit_and_standardize,ood_val,fit,0,0.0,True
processed/iotsim-building-monitor-1.csv,c1_fit_and_standardize,ood_stress,fit,0,0.0,True
processed/iotsim-building-monitor-1.csv,gate_and_threshold_select,support_val,select,0,0.0,True
processed/iotsim-building-monitor-1.csv,gate_and_threshold_select,id_calib,select,0,0.0,True
processed/iotsim-building-monitor-1.csv,gate_and_threshold_select,ood_val,select,0,0.0,True
processed/iotsim-building-monitor-1.csv,gate_and_threshold_select,ood_stress,select,0,0.0,True
processed/iotsim-building-monitor-1.csv,report_only_extension,future_query,report_only,101282,,True
processed/iotsim-ip-camera-museum-2.csv,tgn_ssl_and_verifier,support_train,fit,0,0.0,True
processed/iotsim-ip-camera-museum-2.csv,tgn_ssl_and_verifier,id_calib,fit,0,0.0,True
processed/iotsim-ip-camera-museum-2.csv,tgn_ssl_and_verifier,ood_val,fit,0,0.0,True
processed/iotsim-ip-camera-museum-2.csv,tgn_ssl_and_verifier,ood_stress,fit,0,0.0,True
processed/iotsim-ip-camera-museum-2.csv,c1_fit_and_standardize,support_train,fit,0,0.0,True
processed/iotsim-ip-camera-museum-2.csv,c1_fit_and_standardize,id_calib,fit,0,0.0,True
processed/iotsim-ip-camera-museum-2.csv,c1_fit_and_standardize,ood_val,fit,0,0.0,True
processed/iotsim-ip-camera-museum-2.csv,c1_fit_and_standardize,ood_stress,fit,0,0.0,True
processed/iotsim-ip-camera-museum-2.csv,gate_and_threshold_select,support_val,select,0,0.0,True
processed/iotsim-ip-camera-museum-2.csv,gate_and_threshold_select,id_calib,select,0,0.0,True
processed/iotsim-ip-camera-museum-2.csv,gate_and_threshold_select,ood_val,select,0,0.0,True
processed/iotsim-ip-camera-museum-2.csv,gate_and_threshold_select,ood_stress,select,0,0.0,True
processed/iotsim-ip-camera-museum-2.csv,report_only_extension,sealed_final_ood,report_only,54950,,True
processed/iotsim-ip-camera-street-1.csv,tgn_ssl_and_verifier,support_train,fit,0,0.0,True
processed/iotsim-ip-camera-street-1.csv,tgn_ssl_and_verifier,id_calib,fit,0,0.0,True
processed/iotsim-ip-camera-street-1.csv,tgn_ssl_and_verifier,ood_val,fit,0,0.0,True
processed/iotsim-ip-camera-street-1.csv,tgn_ssl_and_verifier,ood_stress,fit,0,0.0,True
processed/iotsim-ip-camera-street-1.csv,c1_fit_and_standardize,support_train,fit,0,0.0,True
processed/iotsim-ip-camera-street-1.csv,c1_fit_and_standardize,id_calib,fit,0,0.0,True
processed/iotsim-ip-camera-street-1.csv,c1_fit_and_standardize,ood_val,fit,0,0.0,True
processed/iotsim-ip-camera-street-1.csv,c1_fit_and_standardize,ood_stress,fit,0,0.0,True
processed/iotsim-ip-camera-street-1.csv,gate_and_threshold_select,support_val,select,0,0.0,True
processed/iotsim-ip-camera-street-1.csv,gate_and_threshold_select,id_calib,select,0,0.0,True
processed/iotsim-ip-camera-street-1.csv,gate_and_threshold_select,ood_val,select,0,0.0,True
processed/iotsim-ip-camera-street-1.csv,gate_and_threshold_select,ood_stress,select,0,0.0,True
processed/iotsim-ip-camera-street-1.csv,report_only_extension,sealed_final_attack,report_only,110104,,True
