attack_family,rows,c1_hard,primary_hard,suppressed_c1_attack,hard_recall,c1_hard_recall,delta_vs_c1_pp,delta_ci_low_pp,delta_ci_high_pp,ci_clusters
Telnet Brute Force,39712,31442,23024,8418,0.5797743755036261,0.7917506043513296,-21.19762288477035,-34.11837748344371,-1.2922144882701727,5.0
Reporting,167,122,91,31,0.5449101796407185,0.7305389221556886,-18.562874251497007,-40.0,-0.4464285714285714,4.0
TCP Scan,39711,30404,25255,5149,0.6359698824003425,0.7656316889526832,-12.966180655234073,-29.641875473051027,-1.7853689977441185,5.0
Merlin C&C Communication,9926,9908,8985,923,0.9051984686681442,0.9981865806971588,-9.298811202901469,-9.516412964688827,0.0,3.0
Merlin UDP Flooding,10298,10298,9388,910,0.9116333268595844,1.0,-8.836667314041557,-17.669098797081443,-0.0364232380258605,6.0
Ingress Tool Transfer,10069,7619,7166,453,0.7116893435296454,0.7566789154831661,-4.498957195352071,-8.411929645679326,-0.7173601147776184,5.0
C&C Communication,179,100,93,7,0.5195530726256983,0.5586592178770949,-3.910614525139666,-8.235294117647058,0.0,4.0
Merlin TCP Flooding,27722,27705,26724,981,0.9639997114205324,0.9993867686314118,-3.5387057210879425,-8.03834808259587,0.0,6.0
File Download,2569,2569,2553,16,0.9937718956792526,1.0,-0.6228104320747385,-1.2628255722178374,0.0,4.0
Merlin ICMP Flooding,19730,19566,19516,50,0.9891535732387228,0.9916877850988344,-0.253421186011149,-2.240416040643733,-0.0294652065019889,6.0
Mirai UDP Flooding,27722,27720,27708,12,0.9994949859317508,0.9999278551331072,-0.0432869201356322,-0.0460405156537753,0.0,6.0
CoAP Amplification,320,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
Mirai C&C Communication,369,22,22,0,0.059620596205962,0.059620596205962,0.0,0.0,0.0,3.0
Mirai GRE Flooding,27722,27721,27721,0,0.9999639275665536,0.9999639275665536,0.0,0.0,0.0,6.0
Mirai TCP Flooding,27721,27621,27621,0,0.9963926265286244,0.9963926265286244,0.0,0.0,0.0,6.0
UDP Scan,113,0,0,0,0.0,0.0,0.0,0.0,0.0,60.0
