candidate,held_field,held_value,role,phase,label,rows_before_exclude,rows_after_exclude,held_rows_removed,feature_dim,train_classes,train_rows_total,protocol_run,seed,c1_candidate_threshold,threshold_origin,support_val_c1_recall,benign_select_rows_used_for_c1_threshold,report_rows_used_for_c1_threshold
C1_cicflow_style_only_histgb,device_family,__ckbo_global_no_hold__,support_train,fit,3.0,385,385,0,207.0,0|1|3,3798.0,GLOBAL_ATTACK_PRESERVATION,27,,,,,
C1_cicflow_style_only_histgb,device_family,__ckbo_global_no_hold__,id_calib,fit,0.0,809,809,0,207.0,0|1|3,3798.0,GLOBAL_ATTACK_PRESERVATION,27,,,,,
C1_cicflow_style_only_histgb,device_family,__ckbo_global_no_hold__,ood_val,fit,1.0,2604,2604,0,207.0,0|1|3,3798.0,GLOBAL_ATTACK_PRESERVATION,27,,,,,
C1_cicflow_style_only_histgb,device_family,__ckbo_global_no_hold__,ood_stress,fit,2.0,0,0,0,207.0,0|1|3,3798.0,GLOBAL_ATTACK_PRESERVATION,27,,,,,
C1_cicflow_style_only_histgb,device_family,GLOBAL,support_val,select,,69,69,0,,,,GLOBAL_ATTACK_PRESERVATION,27,0.9980851998991401,minimum_legal_support_val_attack_score_nextafter_negative_infinity,1.0,0.0,0.0
C1_cicflow_style_only_histgb,device_family,iotsim-ip-camera-street,support_train,fit,3.0,385,385,0,207.0,0|1|3,3798.0,iotsim-ip-camera-street,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-ip-camera-street,id_calib,fit,0.0,809,809,0,207.0,0|1|3,3798.0,iotsim-ip-camera-street,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-ip-camera-street,ood_val,fit,1.0,2604,2604,0,207.0,0|1|3,3798.0,iotsim-ip-camera-street,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-ip-camera-street,ood_stress,fit,2.0,0,0,0,207.0,0|1|3,3798.0,iotsim-ip-camera-street,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-ip-camera-street,support_val,select,,69,69,0,,,,iotsim-ip-camera-street,27,0.9980851998991401,minimum_legal_support_val_attack_score_nextafter_negative_infinity,1.0,0.0,0.0
C1_cicflow_style_only_histgb,device_family,iotsim-predictive-maintenance,support_train,fit,3.0,385,385,0,207.0,0|1|3,3798.0,iotsim-predictive-maintenance,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-predictive-maintenance,id_calib,fit,0.0,809,809,0,207.0,0|1|3,3798.0,iotsim-predictive-maintenance,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-predictive-maintenance,ood_val,fit,1.0,2604,2604,0,207.0,0|1|3,3798.0,iotsim-predictive-maintenance,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-predictive-maintenance,ood_stress,fit,2.0,0,0,0,207.0,0|1|3,3798.0,iotsim-predictive-maintenance,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-predictive-maintenance,support_val,select,,69,69,0,,,,iotsim-predictive-maintenance,27,0.9980851998991401,minimum_legal_support_val_attack_score_nextafter_negative_infinity,1.0,0.0,0.0
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,support_train,fit,3.0,385,385,0,207.0,0|1|3,3798.0,iotsim-stream-consumer,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,id_calib,fit,0.0,809,809,0,207.0,0|1|3,3798.0,iotsim-stream-consumer,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,ood_val,fit,1.0,2604,2604,0,207.0,0|1|3,3798.0,iotsim-stream-consumer,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,ood_stress,fit,2.0,0,0,0,207.0,0|1|3,3798.0,iotsim-stream-consumer,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,support_val,select,,69,69,0,,,,iotsim-stream-consumer,27,0.9980851998991401,minimum_legal_support_val_attack_score_nextafter_negative_infinity,1.0,0.0,0.0
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,support_train,fit,3.0,385,385,0,207.0,0|1|3,3798.0,iotsim-hydraulic-system,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,id_calib,fit,0.0,809,809,0,207.0,0|1|3,3798.0,iotsim-hydraulic-system,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,ood_val,fit,1.0,2604,2604,0,207.0,0|1|3,3798.0,iotsim-hydraulic-system,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,ood_stress,fit,2.0,0,0,0,207.0,0|1|3,3798.0,iotsim-hydraulic-system,27,,,,,
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,support_val,select,,69,69,0,,,,iotsim-hydraulic-system,27,0.9980851998991401,minimum_legal_support_val_attack_score_nextafter_negative_infinity,1.0,0.0,0.0
