source_group,records,fit_targets,select_targets,report_targets,frozen_target_positions,fit_max_event_position,select_min_event_position,select_max_event_position,report_min_event_position,source_phase_interleavings,phase_block_order_required,duplicate_position_cross_phase,collected_target_positions_missing_from_frozen_cache,fit_forbidden_frozen_targets,select_forbidden_frozen_targets,fit_prefix_contains_select_or_report_target,select_prefix_contains_report_target,target_scope_isolation_enforced,pass,seed
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,600,0,600,0,600,,500.0,1099.0,,0,False,0,0,600,0,False,False,True,True,27
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,600,600,0,0,600,1099.0,,,,0,False,0,0,0,0,False,False,True,True,27
