record_set,m1_scope,events,sources,attack_events,benign_events,report_only_sources,held_value,protocol_run,seed
fit_attack,training,385,3,385,0,0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
fit_benign,training,3413,5,0,3413,0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
select_attack,select,69,3,69,0,0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
select_benign,select,0,0,0,0,0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
report,report,243981,6,243981,0,3,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
fit_attack,training,385,3,385,0,0,iotsim-ip-camera-street,iotsim-ip-camera-street,27
fit_benign,training,3413,5,0,3413,0,iotsim-ip-camera-street,iotsim-ip-camera-street,27
select_attack,select,69,3,69,0,0,iotsim-ip-camera-street,iotsim-ip-camera-street,27
select_benign,select,0,0,0,0,0,iotsim-ip-camera-street,iotsim-ip-camera-street,27
report,report,3000,1,0,3000,0,iotsim-ip-camera-street,iotsim-ip-camera-street,27
fit_attack,training,385,3,385,0,0,iotsim-predictive-maintenance,iotsim-predictive-maintenance,27
fit_benign,training,3413,5,0,3413,0,iotsim-predictive-maintenance,iotsim-predictive-maintenance,27
select_attack,select,69,3,69,0,0,iotsim-predictive-maintenance,iotsim-predictive-maintenance,27
select_benign,select,0,0,0,0,0,iotsim-predictive-maintenance,iotsim-predictive-maintenance,27
report,report,9000,15,0,9000,0,iotsim-predictive-maintenance,iotsim-predictive-maintenance,27
fit_attack,training,385,3,385,0,0,iotsim-stream-consumer,iotsim-stream-consumer,27
fit_benign,training,3413,5,0,3413,0,iotsim-stream-consumer,iotsim-stream-consumer,27
select_attack,select,69,3,69,0,0,iotsim-stream-consumer,iotsim-stream-consumer,27
select_benign,select,0,0,0,0,0,iotsim-stream-consumer,iotsim-stream-consumer,27
report,report,3000,1,0,3000,0,iotsim-stream-consumer,iotsim-stream-consumer,27
fit_attack,training,385,3,385,0,0,iotsim-hydraulic-system,iotsim-hydraulic-system,27
fit_benign,training,3413,5,0,3413,0,iotsim-hydraulic-system,iotsim-hydraulic-system,27
select_attack,select,69,3,69,0,0,iotsim-hydraulic-system,iotsim-hydraulic-system,27
select_benign,select,0,0,0,0,0,iotsim-hydraulic-system,iotsim-hydraulic-system,27
report,report,3000,5,0,3000,0,iotsim-hydraulic-system,iotsim-hydraulic-system,27
