candidate,held_value,rows,sources,metric,hard_rate,c1_hard_rate,delta_vs_c1_pp,delta_ci_low_pp,delta_ci_high_pp,ci_cluster_unit,ci_clusters,review_rate,seed
M0-C1,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,1.0,1.0,0.0,0.0,0.0,episode,22,0.0,27
A0-GlobalNormalConformal,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,0.05466666666666667,1.0,-94.53333333333333,-96.39777708372084,-92.27058029689609,episode,22,0.0,27
M1-ShieldedStatic,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,0.081,1.0,-91.9,-94.01435012543452,-89.50361298314114,episode,22,0.0,27
M2-ShieldedTemporal,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,1.0,1.0,0.0,0.0,0.0,episode,22,0.0,27
M3-StaticTemporalConsensus,iotsim-ip-camera-street,3000,1,benign_ood_hard_rate,0.081,1.0,-91.9,-94.01435012543452,-89.50361298314114,episode,22,0.0,27
M0-C1,iotsim-predictive-maintenance,9000,15,benign_ood_hard_rate,1.0,1.0,0.0,0.0,0.0,source,15,0.0,27
A0-GlobalNormalConformal,iotsim-predictive-maintenance,9000,15,benign_ood_hard_rate,0.5548888888888889,1.0,-44.51111111111111,-53.28472222222222,-33.14861111111111,source,15,0.0,27
M1-ShieldedStatic,iotsim-predictive-maintenance,9000,15,benign_ood_hard_rate,0.5758888888888889,1.0,-42.41111111111111,-50.788888888888884,-31.63277777777778,source,15,0.0,27
M2-ShieldedTemporal,iotsim-predictive-maintenance,9000,15,benign_ood_hard_rate,0.4308888888888889,1.0,-56.91111111111111,-72.89527777777778,-35.511388888888895,source,15,0.0,27
M3-StaticTemporalConsensus,iotsim-predictive-maintenance,9000,15,benign_ood_hard_rate,0.5758888888888889,1.0,-42.41111111111111,-50.788888888888884,-31.63277777777778,source,15,0.0,27
M0-C1,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,1.0,1.0,0.0,0.0,0.0,episode,28,0.0,27
A0-GlobalNormalConformal,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,0.269,1.0,-73.1,-78.89003560928643,-66.837422284002,episode,28,0.0,27
M1-ShieldedStatic,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,0.297,1.0,-70.30000000000001,-76.59063875238394,-63.86712562937582,episode,28,0.0,27
M2-ShieldedTemporal,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,0.9996666666666667,1.0,-0.03333333333332966,-0.12263441731489484,0.0,episode,28,0.0,27
M3-StaticTemporalConsensus,iotsim-stream-consumer,3000,1,benign_ood_hard_rate,0.297,1.0,-70.30000000000001,-76.59063875238394,-63.86712562937582,episode,28,0.0,27
M0-C1,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,0.7236666666666667,0.7236666666666667,0.0,0.0,0.0,source,5,0.0,27
A0-GlobalNormalConformal,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,0.42833333333333334,0.7236666666666667,-29.533333333333335,-32.414480239123215,-27.237735206657003,source,5,0.0,27
M1-ShieldedStatic,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,0.43433333333333335,0.7236666666666667,-28.933333333333334,-31.750249086682164,-26.61911514818332,source,5,0.0,27
M2-ShieldedTemporal,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,0.7236666666666667,0.7236666666666667,0.0,0.0,0.0,source,5,0.0,27
M3-StaticTemporalConsensus,iotsim-hydraulic-system,3000,5,benign_ood_hard_rate,0.457,0.7236666666666667,-26.666666666666668,-28.490503165611464,-24.612101632276357,source,5,0.0,27
