job_index,weighting,seed,label
1,medium_mass_ratio_recalibrated,42,medium_ratio_seed42
2,medium_mass_ratio_recalibrated,43,medium_ratio_seed43
3,medium_mass_ratio_recalibrated,44,medium_ratio_seed44
4,medium_mass_ratio_recalibrated,45,medium_ratio_seed45
5,medium_mass_ratio_recalibrated,46,medium_ratio_seed46
6,strict_frozen_weight4,42,strict_weight4_seed42
7,strict_frozen_weight4,43,strict_weight4_seed43
8,strict_frozen_weight4,44,strict_weight4_seed44
9,strict_frozen_weight4,45,strict_weight4_seed45
10,strict_frozen_weight4,46,strict_weight4_seed46
