job_index,weighting,seed,label,smoke,support_weight,runtime_seconds,frozen_config_sha256
1,medium_mass_ratio_recalibrated,42,medium_ratio_seed42,False,31.00338899196042,62.33233070373535,5c8f9659dee98ee2c53b735a69b15f844039facac07d05df15cd0a82218d48eb
2,medium_mass_ratio_recalibrated,43,medium_ratio_seed43,False,31.00338899196042,61.141427755355835,cc08dd2837d361c97865ae80eacf889baad516af42740152e2c05e1fbd2a37f3
3,medium_mass_ratio_recalibrated,44,medium_ratio_seed44,False,31.00338899196042,60.929670095443726,c6713bf4f595d9d33ad34eae74685e9af36412343a6a876982bb800cb1b1807b
4,medium_mass_ratio_recalibrated,45,medium_ratio_seed45,False,31.00338899196042,58.78537440299988,4c22bccaec4c56d97f900deb701dd482151a91828194545bdb1f73b8b7dae2bf
5,medium_mass_ratio_recalibrated,46,medium_ratio_seed46,False,31.00338899196042,60.13969707489014,d45d8fd7bcab787b7d50f5f1408ef9019e388f742f13646e26e1ba8590b39bb4
6,strict_frozen_weight4,42,strict_weight4_seed42,False,4.0,47.410810708999634,822731e8d987f75fcc034be788fdf95250950e83e24bb24effb6879c689ca3ac
7,strict_frozen_weight4,43,strict_weight4_seed43,False,4.0,51.307496786117554,9a25576f2a0f0818c7b167e8f6d838391868b4a805d7677feb1771ad2008bda7
8,strict_frozen_weight4,44,strict_weight4_seed44,False,4.0,51.91632270812988,5e8c2601c5dc019db6dc9c6163967f8335993b52b65f8b74113aca6bcb5923e0
9,strict_frozen_weight4,45,strict_weight4_seed45,False,4.0,49.432945728302,d21f0eecc8f40d3357f7fceb4782c21adff8957bd45d96a45563e70efff82a6b
10,strict_frozen_weight4,46,strict_weight4_seed46,False,4.0,54.94273614883423,a90de40058d0291a19cc992ba1c0db624adbd199093e8ce7cfb5581052110902
