variant,exact_attack_label,prototype_rank,requested_prototypes,effective_prototypes,cluster_rows,sample_id,source_file,device_or_source_group,phase
V0_frozen512_single_medoid,File Download,0,1,1,15,support_000017,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
V0_frozen512_single_medoid,Ingress Tool Transfer,0,1,1,18,support_000038,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
V0_frozen512_single_medoid,Merlin C&C Communication,0,1,1,30,support_000080,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V0_frozen512_single_medoid,Merlin ICMP Flooding,0,1,1,43,support_000125,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V0_frozen512_single_medoid,Merlin TCP Flooding,0,1,1,60,support_000149,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
V0_frozen512_single_medoid,Merlin UDP Flooding,0,1,1,30,support_000221,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V0_frozen512_single_medoid,Mirai C&C Communication,0,1,1,9,support_000266,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V0_frozen512_single_medoid,Mirai GRE Flooding,0,1,1,60,support_000333,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V0_frozen512_single_medoid,Mirai TCP Flooding,0,1,1,60,support_000352,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
V0_frozen512_single_medoid,Mirai UDP Flooding,0,1,1,60,support_000496,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V1_frozen512_two_medoid,File Download,0,1,1,15,support_000017,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
V1_frozen512_two_medoid,Ingress Tool Transfer,0,2,2,9,support_000026,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
V1_frozen512_two_medoid,Ingress Tool Transfer,1,2,2,9,support_000036,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
V1_frozen512_two_medoid,Merlin C&C Communication,0,2,1,30,support_000080,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V1_frozen512_two_medoid,Merlin ICMP Flooding,0,2,2,22,support_000101,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V1_frozen512_two_medoid,Merlin ICMP Flooding,1,2,2,21,support_000103,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
V1_frozen512_two_medoid,Merlin TCP Flooding,0,2,1,60,support_000149,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
V1_frozen512_two_medoid,Merlin UDP Flooding,0,2,2,19,support_000221,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V1_frozen512_two_medoid,Merlin UDP Flooding,1,2,2,11,support_000241,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
V1_frozen512_two_medoid,Mirai C&C Communication,0,1,1,9,support_000266,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V1_frozen512_two_medoid,Mirai GRE Flooding,0,2,2,33,support_000333,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V1_frozen512_two_medoid,Mirai GRE Flooding,1,2,2,27,support_000306,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
V1_frozen512_two_medoid,Mirai TCP Flooding,0,2,2,35,support_000389,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V1_frozen512_two_medoid,Mirai TCP Flooding,1,2,2,25,support_000354,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
V1_frozen512_two_medoid,Mirai UDP Flooding,0,2,2,36,support_000496,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V1_frozen512_two_medoid,Mirai UDP Flooding,1,2,2,24,support_000458,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
V2_frozen512_adaptive_three_medoid,File Download,0,1,1,15,support_000017,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Ingress Tool Transfer,0,2,2,9,support_000026,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Ingress Tool Transfer,1,2,2,9,support_000036,processed/iotsim-combined-cycle-10.csv,combined-cycle,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Merlin C&C Communication,0,3,1,30,support_000080,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Merlin ICMP Flooding,0,3,2,22,support_000101,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Merlin ICMP Flooding,1,3,2,21,support_000103,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Merlin TCP Flooding,0,3,1,60,support_000149,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Merlin UDP Flooding,0,3,2,19,support_000221,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Merlin UDP Flooding,1,3,2,11,support_000241,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Mirai C&C Communication,0,1,1,9,support_000266,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Mirai GRE Flooding,0,3,2,33,support_000333,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Mirai GRE Flooding,1,3,2,27,support_000306,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Mirai TCP Flooding,0,3,2,35,support_000389,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Mirai TCP Flooding,1,3,2,25,support_000354,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Mirai UDP Flooding,0,3,2,36,support_000496,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,tail_gt_10000
V2_frozen512_adaptive_three_medoid,Mirai UDP Flooding,1,3,2,24,support_000458,processed/iotsim-city-power-1.csv,city-power,tail_gt_10000
