weighting,role,attack_label,device,support_coverage,rows_per_seed,parent_detection_mean,temporal_detection_mean,temporal_attack_mean,temporal_attack_p50_mean
medium_mass_ratio_recalibrated,same_file_query,Ingress Tool Transfer,combined-cycle,seen_in_support,2381.0,0.0,0.0,2.9398358920778954e-05,2.939835892077895e-05
medium_mass_ratio_recalibrated,future_query,Mirai C&C Communication,building-monitor,seen_in_support,358.0,0.017318435754189943,0.0,2.9398358920778944e-05,2.939835892077895e-05
medium_mass_ratio_recalibrated,future_query,Mirai C&C Communication,combined-cycle,seen_in_support,358.0,0.016201117318435754,0.0,2.9398358920778944e-05,2.939835892077895e-05
medium_mass_ratio_recalibrated,future_query,Reporting,domotic-monitor,unseen_in_support,72.0,0.0,0.0,2.939835892077895e-05,2.939835892077895e-05
strict_frozen_weight4,future_query,Reporting,domotic-monitor,unseen_in_support,72.0,0.0,0.0,2.939835892077895e-05,2.939835892077895e-05
medium_mass_ratio_recalibrated,future_query,Reporting,combined-cycle,unseen_in_support,64.0,0.0,0.0,2.939835892077895e-05,2.939835892077895e-05
strict_frozen_weight4,support_val,Mirai C&C Communication,ip-camera-museum,seen_in_support,2.0,0.0,0.0,2.939835892077895e-05,2.939835892077895e-05
medium_mass_ratio_recalibrated,support_val,Merlin ICMP Flooding,city-power,seen_in_support,1.0,1.0,0.0,2.939835892077895e-05,2.939835892077895e-05
medium_mass_ratio_recalibrated,future_query,Telnet Brute Force,domotic-monitor,unseen_in_support,12000.0,0.0798,0.002183333333333333,0.002212275967923598,2.939835892077895e-05
medium_mass_ratio_recalibrated,future_query,Telnet Brute Force,combined-cycle,unseen_in_support,12000.0,0.05511666666666667,0.00325,0.003278719990642532,2.939835892077895e-05
medium_mass_ratio_recalibrated,future_query,UDP Scan,combined-cycle,unseen_in_support,4242.0,0.022725129655822726,0.004667609618104668,0.004696033712933089,2.939835892077895e-05
