uid,role,source_group,attack_family,label_metric_only,score,p2_hard,m7_hard,tail_margin_score,tail_margin_tau_normal,tail_margin_tau_attack,quadrant
ton:ton_normal:normal_2:1000813,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,8.2416896475479e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1001290,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,8.144538151100278e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1001946,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,9.244312241207808e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1002020,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,8.881112444214523e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1002171,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,8.349672134499997e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1003292,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,8.841267845127732e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1005659,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,8.687358058523387e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1006639,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,7.376215944532305e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:100674,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,0.0008499158429913,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1007560,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,7.520068902522326e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1007877,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,9.136008156929164e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1008255,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,8.07599863037467e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1008480,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,7.201826520031318e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1008503,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,9.67300293268636e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1008632,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,7.591483881697059e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1009281,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,8.864785195328295e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1010409,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,8.594953396823257e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1010867,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,8.35057144286111e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1011470,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,9.03852196643129e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1011516,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,0.0002055735676549,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1012239,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,7.453747093677521e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1012293,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,7.738723797956482e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1012445,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,7.959488721098751e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1012614,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,6.95324270054698e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1012841,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,8.866887219483033e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1013733,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,0.0145016964524984,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:101382,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,0.000384000421036,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1014401,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,9.663218952482566e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1016002,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,7.038649346213788e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1017147,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,9.253296593669802e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1017670,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,6.67323765810579e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1017677,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,7.026612729532644e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1018468,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,7.091865700203925e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1018920,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,0.0001595778157934,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1019565,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,7.077853661030531e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1019724,aux_normal_select,normal_2.pcap,benign,0,0.504751980304718,True,False,0.0001053911546478,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1020648,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,7.407217344734818e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1020663,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,8.062581764534116e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1020948,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,7.05644124536775e-05,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:102113,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,0.000645751482807,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
ton:ton_normal:normal_2:1021348,aux_normal_select,normal_2.pcap,benign,0,0.065159872174263,True,False,0.0001242537982761,0.9713226556777954,1.0000000000000002,P2_HARD__M7_NORMAL
