device_key,legal_benign_prefix,later_benign_suffix,later_same_device_attack_population,paired_device_eligible
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,True,True,False,False
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,True,True,False,False
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,True,True,False,False
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,True,True,False,False
iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0,True,True,False,False
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,True,True,False,False
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,True,True,False,False
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,True,True,False,False
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,True,True,False,False
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,True,True,False,False
iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0,True,True,False,False
iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0,True,True,False,False
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,True,True,False,False
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,True,True,False,False
iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0,True,True,False,False
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,True,True,False,False
normal_1.pcap,True,True,False,False
normal_2.pcap,True,True,False,False
normal_scanning1.pcap,False,False,True,False
password_normal1.pcap,False,False,True,False
processed/iotsim-building-monitor-2.csv,True,True,False,False
processed/iotsim-building-monitor-3.csv,True,True,False,False
processed/iotsim-city-power-1.csv,False,False,True,False
processed/iotsim-combined-cycle-10.csv,False,False,True,False
processed/iotsim-combined-cycle-tls-3.csv,True,True,False,False
processed/iotsim-combined-cycle-tls-4.csv,True,True,False,False
processed/iotsim-combined-cycle-tls-5.csv,True,True,False,False
processed/iotsim-ip-camera-museum-1.csv,False,False,True,False
