device_key,arm,budget_type,budget,calibration_sessions,calibration_records,q_raw,requested_delta,accepted_delta,threshold,status
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,Z,SESSION,0,0,0,0.065159872174263,0.0,0.0,0.065159872174263,ZERO_SHOT_BASELINE
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,Q-S64,SESSION,64,64,98,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,Q-S128,SESSION,128,128,212,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,Q-S256,SESSION,256,0,0,0.065159872174263,0.0,0.0,0.065159872174263,INSUFFICIENT_SESSION_BUDGET_ZERO_SHOT
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,Q-R100,RECORD,100,65,99,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,Q-R500,RECORD,500,183,295,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0,Q-R1000,RECORD,1000,183,295,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,Z,SESSION,0,0,0,0.065159872174263,0.0,0.0,0.065159872174263,ZERO_SHOT_BASELINE
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,Q-S64,SESSION,64,64,97,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,Q-S128,SESSION,128,128,211,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,Q-S256,SESSION,256,0,0,0.065159872174263,0.0,0.0,0.065159872174263,INSUFFICIENT_SESSION_BUDGET_ZERO_SHOT
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,Q-R100,RECORD,100,65,99,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,Q-R500,RECORD,500,183,295,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,Q-R1000,RECORD,1000,183,295,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,Z,SESSION,0,0,0,0.065159872174263,0.0,0.0,0.065159872174263,ZERO_SHOT_BASELINE
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,Q-S64,SESSION,64,64,75,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,Q-S128,SESSION,128,128,150,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,Q-S256,SESSION,256,256,294,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,Q-R100,RECORD,100,84,100,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0,Q-R500,RECORD,500,261,300,0.06515988319416892,1.1019905918341344e-08,0.0,0.065159872174263,CAP_EXCEEDED_ZERO_SHOT
