attack_family,total_terminal_sessions,independent_sessions,missing_terminal_sessions,finite_rate,eligible,protection_status,gradient_norm,records,independent_sessions_all
File Download,4,1,3,0.25,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE,,15,4
Ingress Tool Transfer,1,1,0,1.0,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE,,18,1
Merlin C&C Communication,28,1,27,0.03571428571428571,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE,,30,28
Merlin ICMP Flooding,43,0,43,0.0,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE,,43,43
Merlin TCP Flooding,50,50,0,1.0,True,PROTECTED_BY_REPRESENTATION_EVIDENCE,,60,50
Merlin UDP Flooding,30,30,0,1.0,True,PROTECTED_BY_REPRESENTATION_EVIDENCE,,30,30
Mirai C&C Communication,1,1,0,1.0,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE,,9,1
Mirai GRE Flooding,60,0,60,0.0,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE,,60,60
Mirai TCP Flooding,51,51,0,1.0,True,PROTECTED_BY_REPRESENTATION_EVIDENCE,,60,51
Mirai UDP Flooding,8,2,6,0.25,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE,,60,8
ToN-credential_bruteforce,1986,1986,0,1.0,True,PROTECTED_BY_REPRESENTATION_EVIDENCE,,2000,1986
ToN-reconnaissance_scan,2000,2000,0,1.0,True,PROTECTED_BY_REPRESENTATION_EVIDENCE,,2000,2000
