held_out_device,normalized_projection_distance,largest_principal_angle_degrees,independent_sessions,records
iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0,0.5757291952002892,89.36350188154476,360,600
iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0,0.15668881344126773,18.2534256258955,512,600
iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0,0.15778612725952834,18.3912672254549,514,600
iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0,0.15790602550704347,18.408436442390002,515,600
iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0,0.1580800780735051,18.423238331263985,516,600
iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0,0.15653714549278153,18.23863399859085,516,600
iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0,0.15790749360620884,18.406227823332795,515,600
iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0,0.11686103562962206,12.753574101710916,366,600
iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0,0.08302700166320251,9.045257251411183,369,600
iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0,0.09919906519449218,10.652244356664715,367,600
processed/iotsim-combined-cycle-tls-3.csv,0.07912303483293621,9.082490785534008,134,270
processed/iotsim-combined-cycle-tls-4.csv,0.07809499761477284,8.967431589660873,139,270
processed/iotsim-combined-cycle-tls-5.csv,0.07779984727741694,8.943902233108954,137,269
