attack_family,total_terminal_sessions,finite_terminal_sessions,missing_terminal_sessions,finite_rate,finite_gradient_eligible,protection_status
File Download,4,1,3,0.25,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE
Ingress Tool Transfer,1,1,0,1.0,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE
Merlin C&C Communication,28,1,27,0.03571428571428571,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE
Merlin ICMP Flooding,43,0,43,0.0,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE
Merlin TCP Flooding,50,50,0,1.0,True,PROTECTED_BY_REPRESENTATION_EVIDENCE
Merlin UDP Flooding,30,30,0,1.0,True,PROTECTED_BY_REPRESENTATION_EVIDENCE
Mirai C&C Communication,1,1,0,1.0,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE
Mirai GRE Flooding,60,0,60,0.0,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE
Mirai TCP Flooding,51,51,0,1.0,True,PROTECTED_BY_REPRESENTATION_EVIDENCE
Mirai UDP Flooding,8,2,6,0.25,False,UNPROTECTED_BY_REPRESENTATION_EVIDENCE
ToN-credential_bruteforce,1986,1986,0,1.0,True,PROTECTED_BY_REPRESENTATION_EVIDENCE
ToN-reconnaissance_scan,2000,2000,0,1.0,True,PROTECTED_BY_REPRESENTATION_EVIDENCE
