stratum,device,session_id,attack_family,terminal_uid,terminal_event_position,records_in_frozen_session,finite_terminal_embedding
fit_attack,normal_scanning1.pcap,00391955680645c81530f46c36a0e51aeebca4d9c67b397c19ac9c43e9c69897,ToN-reconnaissance_scan,ton:ckbt_1143deb4a12bd8b479cd,3750,1,True
fit_attack,normal_scanning1.pcap,004ea10998d9f3bf01aa0e87c8c9f275bbc60aff6eefa40af55382cfe1b43545,ToN-reconnaissance_scan,ton:ckbt_08df5da23e474de0faad,2234,1,True
fit_attack,normal_scanning1.pcap,006ca9785375313103674c80d8cff111bc1181f07c9bab02b55776a562685567,ToN-reconnaissance_scan,ton:ckbt_349fb444b9364b468e86,459817,1,True
fit_attack,normal_scanning1.pcap,012463e8bd9441dfe1350a7d194e7f5aec552f27330bdf4cfa4a1a48f325ddf7,ToN-reconnaissance_scan,ton:ckbt_20cda5e2f540c9f59e0e,530101,1,True
fit_attack,normal_scanning1.pcap,0140d3dad162d31468dd36eb2d411716ca852c9c8a085819da8807be14a1fe81,ToN-reconnaissance_scan,ton:ckbt_06edff6ccab0a686ddd7,19495,1,True
fit_attack,normal_scanning1.pcap,01bc4ddb2b676f51f0b3a85b46e70428ae9c78eee10ede5b8d14ebdbbd203fd5,ToN-reconnaissance_scan,ton:ckbt_0b00246b43885d19aba1,546367,1,True
fit_attack,normal_scanning1.pcap,01de80922c338c13cb9fced7dba3ef387802530375a45fb5af7b10f8b644d512,ToN-reconnaissance_scan,ton:ckbt_0acdebfd4a0dedec48f4,23508,1,True
fit_attack,normal_scanning1.pcap,021e2d12d4a08df28de660c5271783523d5b1758c90ee394b3972cf971932205,ToN-reconnaissance_scan,ton:ckbt_0152db7fc3bb1361d875,14609,1,True
fit_attack,normal_scanning1.pcap,0243988965c09e4ab303e1db4c30ff891dce974ba0c0e42e670a09c16562d2aa,ToN-reconnaissance_scan,ton:ckbt_1b7031d14e182781c758,30206,1,True
fit_attack,normal_scanning1.pcap,025863590bd6ab790bfd70426b80a212264c77a6cf88091ea03c2c7134a85863,ToN-reconnaissance_scan,ton:ckbt_0cd9eff2962d199d37e5,453700,1,True
fit_attack,normal_scanning1.pcap,02a06d63abba6e46a67e4b809bd56ed4490a93feb29ce89c9e8cfa54510dbcb2,ToN-reconnaissance_scan,ton:ckbt_015f8a926e62a09d7461,538792,1,True
fit_attack,normal_scanning1.pcap,02c007fd23697c8d47c1e1e059966ee5eae0d1f6cd67052d00dfae74dcdd990e,ToN-reconnaissance_scan,ton:ckbt_22984933663f0739c793,504789,1,True
fit_attack,normal_scanning1.pcap,02d5c9a3048fe92b639a152740f23d12749ec38b161a7493dfc90c03d9251c62,ToN-reconnaissance_scan,ton:ckbt_0b3c9ee5b89d54e6d584,39469,1,True
fit_attack,normal_scanning1.pcap,02e7d0e7f94aa1d9c58fc16c2d813a29e120e241f272b51bb24d6d82ee464ee1,ToN-reconnaissance_scan,ton:ckbt_223602d9ef6607f62a96,462491,1,True
fit_attack,normal_scanning1.pcap,02f1a48b827942c60e0a8812ccedf7f0e3de43ecba57cf532ec74bca9334a599,ToN-reconnaissance_scan,ton:ckbt_305b5bac32b3217e9e7d,498174,1,True
fit_attack,normal_scanning1.pcap,030bbaf067b19d6f12a7d2528220acbbc622dd8f61beb5debb02ffea3a0822d3,ToN-reconnaissance_scan,ton:ckbt_00d1f474a05da8e5c3ff,711,1,True
fit_attack,normal_scanning1.pcap,030ed5b40096324b325e3bcc2c4fe00745c0bc1ecf81fa1f761f1b71db1aa29a,ToN-reconnaissance_scan,ton:ckbt_24b25c3b812f483b88a3,144069,1,True
fit_attack,normal_scanning1.pcap,0330eaec36294a0e6c5dc305a9933b87025ff0e03b048a597ee5b0aaf95b87b3,ToN-reconnaissance_scan,ton:ckbt_2a7fb20612e06b7f157e,469198,1,True
fit_attack,normal_scanning1.pcap,036c15762e7548d0ecc087ff097e578c4fa0d67d4770fbcc44519b3950f86d3a,ToN-reconnaissance_scan,ton:ckbt_1163543fcb1cbb289a0a,9199,1,True
fit_attack,normal_scanning1.pcap,03bf2bc6f8101dd3c677150a8cd2445985951508581248df605a9fd6ffb9d615,ToN-reconnaissance_scan,ton:ckbt_33656fe3d8073dc78363,16544,1,True
fit_attack,normal_scanning1.pcap,03f1b008a202c27f7ff872b9237fbe2baefa97472c3e3f1e7ab59ac7bc013098,ToN-reconnaissance_scan,ton:ckbt_06cf2e6631a78c3d6a14,12715,1,True
fit_attack,normal_scanning1.pcap,040558a2a7d209dcf19e4f9d38e1f5db978f76026e9c4178f1289f7f99f98ac3,ToN-reconnaissance_scan,ton:ckbt_2dec85f314618811f7df,544011,1,True
fit_attack,normal_scanning1.pcap,041d15119481800b29d668be05a5b4f91dd6f602382181557358363f1b0787ff,ToN-reconnaissance_scan,ton:ckbt_26a4c0f1be91e58ccd25,534187,1,True
fit_attack,normal_scanning1.pcap,042cedbfcbc30c06ee0877350fdb9f5caebde9a6f27980eb7ad31cff86d902e8,ToN-reconnaissance_scan,ton:ckbt_0f19a9da57ba9588651e,460967,1,True
fit_attack,normal_scanning1.pcap,04423db6e0e51b34aa7822606051c3f43e67a2c9f12ee7a7f52157a6e4f5cc06,ToN-reconnaissance_scan,ton:ckbt_16e56b9a954525752d2c,537754,1,True
fit_attack,normal_scanning1.pcap,046cf58d3d652387e2c78b888fcad124c7233625a0722f1825e36a76d186add0,ToN-reconnaissance_scan,ton:ckbt_0252147fcd95a5fa2f3f,458384,1,True
fit_attack,normal_scanning1.pcap,04a1239b21622c564e5cd88ddc920ae91ff2d0f1ad2081d0f27fd3dda409d056,ToN-reconnaissance_scan,ton:ckbt_04faec73c5c72f74d8d5,530994,1,True
fit_attack,normal_scanning1.pcap,04b343f0a92b2a8f83c323693507474591a0eec7c1f3ee1a24f9d56600fe4808,ToN-reconnaissance_scan,ton:ckbt_0317c847cd846cbda107,480528,1,True
fit_attack,normal_scanning1.pcap,04c32d568e65bcd095a7ca72031b9b3170289cd59dbbf454f58f892c574416a5,ToN-reconnaissance_scan,ton:ckbt_16658e62c3b212911595,541434,1,True
