variant,exact_attack_label,requested_prototypes,effective_prototypes,shell_scheme,core_radius,near_radius,uncertain_radius
B0_frozen512_two_medoid,File Download,1,1,tight,1.4168409223667935,1.5871917707218495,1.9150656864708446
B0_frozen512_two_medoid,File Download,1,1,medium,1.682701779676025,1.9150656864708446,2.0991793735561064
B0_frozen512_two_medoid,File Download,1,1,wide,1.9616015294002005,2.0991793735561064,2.1718130583727167
B0_frozen512_two_medoid,Ingress Tool Transfer,2,2,tight,1.970719546488381,2.142001923156668,2.3650400349583984
B0_frozen512_two_medoid,Ingress Tool Transfer,2,2,medium,2.155173404860662,2.3650400349583984,2.4501205300081477
B0_frozen512_two_medoid,Ingress Tool Transfer,2,2,wide,2.3861612876077305,2.4501205300081477,2.4775708667695144
B0_frozen512_two_medoid,Merlin C&C Communication,2,1,tight,2.300937176372791,2.4668165839230074,2.544765805002504
B0_frozen512_two_medoid,Merlin C&C Communication,2,1,medium,2.4699738205851016,2.544765805002504,2.6324230842159855
B0_frozen512_two_medoid,Merlin C&C Communication,2,1,wide,2.549370214063168,2.6324230842159855,2.6363510572258404
B0_frozen512_two_medoid,Merlin ICMP Flooding,2,2,tight,1.1831168028223111,1.3210538287447395,1.6066465727272181
B0_frozen512_two_medoid,Merlin ICMP Flooding,2,2,medium,1.3225819905720528,1.6066465727272181,1.669115014233629
B0_frozen512_two_medoid,Merlin ICMP Flooding,2,2,wide,1.5973424841485437,1.669115014233629,1.778520939060168
B0_frozen512_two_medoid,Merlin TCP Flooding,2,1,tight,2.258028143222262,2.4224773955719634,2.505473443470095
B0_frozen512_two_medoid,Merlin TCP Flooding,2,1,medium,2.4541293832518694,2.505473443470095,2.6177356925053985
B0_frozen512_two_medoid,Merlin TCP Flooding,2,1,wide,2.574767034280897,2.6177356925053985,2.7326571758694937
B0_frozen512_two_medoid,Merlin UDP Flooding,2,2,tight,2.0127282452632356,2.0862531564528597,2.175237540765547
B0_frozen512_two_medoid,Merlin UDP Flooding,2,2,medium,2.108074351072392,2.175237540765547,2.2060048189948778
B0_frozen512_two_medoid,Merlin UDP Flooding,2,2,wide,2.179165443800956,2.2060048189948778,2.2081050160605153
B0_frozen512_two_medoid,Mirai C&C Communication,1,1,tight,2.089673518147241,2.3070602205945927,2.321802327649997
B0_frozen512_two_medoid,Mirai C&C Communication,1,1,medium,2.2173437650156886,2.321802327649997,2.330909690768851
B0_frozen512_two_medoid,Mirai C&C Communication,1,1,wide,2.325322587027939,2.330909690768851,2.333250953288852
B0_frozen512_two_medoid,Mirai GRE Flooding,2,2,tight,1.8252322503608114,1.8364064271280838,1.953596092478147
B0_frozen512_two_medoid,Mirai GRE Flooding,2,2,medium,1.8364064271280838,1.953596092478147,2.0153996976030775
B0_frozen512_two_medoid,Mirai GRE Flooding,2,2,wide,1.921551474676769,2.0153996976030775,2.040552609631284
B0_frozen512_two_medoid,Mirai TCP Flooding,2,2,tight,2.031843018784258,2.1762066227322485,2.2548372274206123
B0_frozen512_two_medoid,Mirai TCP Flooding,2,2,medium,2.176173779660611,2.2548372274206123,2.287026007815103
B0_frozen512_two_medoid,Mirai TCP Flooding,2,2,wide,2.2665960548238115,2.287026007815103,2.318513477058973
B0_frozen512_two_medoid,Mirai UDP Flooding,2,2,tight,1.1571600743260246,1.2964561912914108,1.3302871191609411
B0_frozen512_two_medoid,Mirai UDP Flooding,2,2,medium,1.2964561912914108,1.3302871191609411,1.361931975529989
B0_frozen512_two_medoid,Mirai UDP Flooding,2,2,wide,1.3208548360888783,1.361931975529989,1.3778257530198383
E64_nested_source_time_balanced,File Download,2,1,tight,1.401441781955898,1.5169314260895734,1.8917066372284006
E64_nested_source_time_balanced,File Download,2,1,medium,1.487832000738134,1.8917066372284006,2.0800652459727886
