exact_attack_label,device_or_source_group,pcap_path,source_file,time_bin,unused_candidate_rows,timestamp_min,timestamp_max,selected_e64_rows,selected_e128_rows
File Download,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,0,147,1737236339.427406,1737236339.44969,1,2
File Download,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1,146,1737236339.449696,1737236339.463897,1,2
File Download,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,2,146,1737236339.465201,1737236339.48357,1,2
File Download,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,3,146,1737236339.483601,1737236339.502038,1,2
Ingress Tool Transfer,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,0,195,1737236337.460812,1737236360.257723,1,2
Ingress Tool Transfer,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,1,194,1737236360.257774,1737236400.31317,1,2
Ingress Tool Transfer,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,2,195,1737236400.343348,1737236424.886089,1,2
Ingress Tool Transfer,combined-cycle,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,3,194,1737236424.934185,1737236438.960205,1,2
Merlin C&C Communication,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,0,601,1737130030.778836,1737130592.268171,2,3
Merlin C&C Communication,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,1,600,1737130592.268175,1737130704.669778,2,3
Merlin C&C Communication,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,2,600,1737130704.669799,1737130704.725604,1,3
Merlin C&C Communication,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,3,600,1737130704.725614,1737130704.773901,1,3
Merlin ICMP Flooding,city-power,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,0,595,1737131854.014001,1737131854.037124,1,2
Merlin ICMP Flooding,city-power,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,1,595,1737131854.038034,1737131854.345389,1,2
Merlin ICMP Flooding,city-power,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,2,595,1737131854.345396,1737131854.652752,1,2
Merlin ICMP Flooding,city-power,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,3,594,1737131854.652773,1737131854.958162,1,2
Merlin ICMP Flooding,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,0,615,1737131655.603652,1737131655.933132,1,2
Merlin ICMP Flooding,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,1,615,1737131655.9333,1737131656.253926,1,2
Merlin ICMP Flooding,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,2,615,1737131656.254963,1737131656.574548,1,2
Merlin ICMP Flooding,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,3,614,1737131656.57527,1737131656.892029,1,2
Merlin TCP Flooding,city-power,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,0,1242,1737132980.792953,1737132981.445111,1,2
Merlin TCP Flooding,city-power,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,1,1241,1737132981.445132,1737132982.088005,1,2
Merlin TCP Flooding,city-power,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,2,1241,1737132982.089164,1737132982.730345,1,2
Merlin TCP Flooding,city-power,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,3,1241,1737132982.731799,1737132983.37343,1,2
Merlin TCP Flooding,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,0,1239,1737132809.55685,1737132810.208407,1,2
Merlin TCP Flooding,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,1,1239,1737132810.208459,1737132810.85124,1,2
Merlin TCP Flooding,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,2,1239,1737132810.852241,1737132811.491385,1,2
Merlin TCP Flooding,ip-camera-museum,raw/malicious/merlin/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,processed/iotsim-ip-camera-museum-1.csv,3,1238,1737132811.492414,1737132812.135674,1,2
Merlin UDP Flooding,city-power,raw/malicious/merlin/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,processed/iotsim-city-power-1.csv,0,309,1737132414.047222,1737132414.374329,1,2
