sample_id,global_candidate_id,max_abs_feature_delta,pass
support_000000,cand_00032917,0.0,True
support_000001,cand_00032649,0.0,True
support_000002,cand_00032645,0.0,True
support_000003,cand_00032653,0.0,True
support_000004,cand_00032644,0.0,True
support_000005,cand_00032662,0.0,True
support_000006,cand_00032650,0.0,True
support_000007,cand_00032648,0.0,True
support_000008,cand_00032647,0.0,True
support_000009,cand_00032671,0.0,True
support_000010,cand_00032652,0.0,True
support_000011,cand_00032722,0.0,True
support_000012,cand_00033246,0.0,True
support_000013,cand_00032643,0.0,True
support_000014,cand_00032705,0.0,True
support_000015,cand_00032651,0.0,True
support_000016,cand_00033247,0.0,True
support_000017,cand_00032655,0.0,True
support_000018,cand_00032659,0.0,True
support_000019,cand_00032646,0.0,True
support_000020,cand_00033637,0.0,True
support_000021,cand_00033352,0.0,True
support_000022,cand_00033604,0.0,True
support_000023,cand_00033356,0.0,True
support_000024,cand_00033380,0.0,True
support_000025,cand_00033317,0.0,True
support_000026,cand_00033359,0.0,True
support_000027,cand_00033354,0.0,True
support_000028,cand_00033286,0.0,True
support_000029,cand_00033357,0.0,True
support_000030,cand_00033368,0.0,True
support_000031,cand_00033377,0.0,True
support_000032,cand_00033315,0.0,True
support_000033,cand_00033378,0.0,True
support_000034,cand_00033371,0.0,True
support_000035,cand_00033327,0.0,True
support_000036,cand_00033379,0.0,True
support_000037,cand_00033518,0.0,True
support_000038,cand_00033360,0.0,True
support_000039,cand_00033307,0.0,True
support_000040,cand_00033389,0.0,True
support_000041,cand_00033324,0.0,True
support_000042,cand_00033284,0.0,True
support_000043,cand_00035319,0.0,True
support_000044,cand_00034150,0.0,True
support_000045,cand_00034720,0.0,True
support_000046,cand_00034054,0.0,True
support_000047,cand_00034166,0.0,True
support_000048,cand_00034596,0.0,True
support_000049,cand_00034413,0.0,True
support_000050,cand_00034053,0.0,True
support_000051,cand_00034165,0.0,True
support_000052,cand_00034076,0.0,True
support_000053,cand_00034734,0.0,True
support_000054,cand_00034064,0.0,True
support_000055,cand_00034753,0.0,True
support_000056,cand_00034791,0.0,True
support_000057,cand_00034160,0.0,True
support_000058,cand_00034718,0.0,True
support_000059,cand_00034149,0.0,True
support_000060,cand_00036488,0.0,True
support_000061,cand_00034719,0.0,True
support_000062,cand_00034084,0.0,True
support_000063,cand_00034118,0.0,True
support_000064,cand_00034208,0.0,True
support_000065,cand_00034736,0.0,True
support_000066,cand_00034489,0.0,True
support_000067,cand_00034760,0.0,True
support_000068,cand_00034837,0.0,True
support_000069,cand_00035037,0.0,True
support_000070,cand_00034056,0.0,True
support_000071,cand_00034078,0.0,True
support_000072,cand_00036489,0.0,True
support_000073,cand_00034050,0.0,True
support_000074,cand_00034049,0.0,True
support_000075,cand_00034660,0.0,True
support_000076,cand_00034784,0.0,True
support_000077,cand_00034748,0.0,True
support_000078,cand_00034412,0.0,True
support_000079,cand_00034298,0.0,True
support_000080,cand_00034459,0.0,True
support_000081,cand_00034198,0.0,True
support_000082,cand_00034209,0.0,True
support_000083,cand_00037644,0.0,True
support_000084,cand_00037329,0.0,True
support_000085,cand_00036490,0.0,True
support_000086,cand_00036628,0.0,True
support_000087,cand_00038918,0.0,True
support_000088,cand_00000000,0.0,True
support_000089,cand_00036511,0.0,True
support_000090,cand_00036812,0.0,True
support_000091,cand_00037284,0.0,True
support_000092,cand_00000463,0.0,True
support_000093,cand_00002392,0.0,True
support_000094,cand_00036494,0.0,True
support_000095,cand_00038991,0.0,True
support_000096,cand_00001089,0.0,True
support_000097,cand_00036543,0.0,True
support_000098,cand_00036677,0.0,True
support_000099,cand_00000218,0.0,True
support_000100,cand_00037072,0.0,True
support_000101,cand_00036925,0.0,True
support_000102,cand_00037933,0.0,True
support_000103,cand_00000698,0.0,True
support_000104,cand_00036501,0.0,True
support_000105,cand_00036569,0.0,True
support_000106,cand_00038234,0.0,True
support_000107,cand_00001653,0.0,True
support_000108,cand_00036524,0.0,True
support_000109,cand_00000086,0.0,True
support_000110,cand_00036491,0.0,True
support_000111,cand_00037645,0.0,True
support_000112,cand_00036744,0.0,True
support_000113,cand_00036894,0.0,True
support_000114,cand_00036676,0.0,True
support_000115,cand_00000345,0.0,True
support_000116,cand_00037333,0.0,True
support_000117,cand_00037118,0.0,True
support_000118,cand_00038274,0.0,True
support_000119,cand_00037592,0.0,True
support_000120,cand_00038584,0.0,True
support_000121,cand_00036609,0.0,True
support_000122,cand_00000002,0.0,True
support_000123,cand_00000534,0.0,True
support_000124,cand_00036588,0.0,True
support_000125,cand_00037036,0.0,True
support_000126,cand_00037959,0.0,True
support_000127,cand_00037961,0.0,True
support_000128,cand_00037331,0.0,True
support_000129,cand_00038588,0.0,True
support_000130,cand_00038236,0.0,True
support_000131,cand_00000869,0.0,True
support_000132,cand_00036555,0.0,True
support_000133,cand_00037454,0.0,True
support_000134,cand_00036497,0.0,True
support_000135,cand_00001347,0.0,True
support_000136,cand_00002002,0.0,True
support_000137,cand_00036517,0.0,True
support_000138,cand_00036506,0.0,True
support_000139,cand_00036700,0.0,True
support_000140,cand_00041481,0.0,True
support_000141,cand_00041792,0.0,True
support_000142,cand_00043959,0.0,True
support_000143,cand_00038998,0.0,True
support_000144,cand_00038993,0.0,True
support_000145,cand_00038992,0.0,True
support_000146,cand_00002397,0.0,True
support_000147,cand_00039008,0.0,True
support_000148,cand_00039005,0.0,True
support_000149,cand_00002393,0.0,True
support_000150,cand_00002395,0.0,True
support_000151,cand_00002407,0.0,True
support_000152,cand_00039223,0.0,True
support_000153,cand_00038995,0.0,True
support_000154,cand_00039001,0.0,True
support_000155,cand_00039035,0.0,True
support_000156,cand_00002400,0.0,True
support_000157,cand_00002399,0.0,True
support_000158,cand_00002394,0.0,True
support_000159,cand_00002409,0.0,True
support_000160,cand_00002458,0.0,True
support_000161,cand_00039000,0.0,True
support_000162,cand_00043960,0.0,True
support_000163,cand_00002422,0.0,True
support_000164,cand_00039040,0.0,True
support_000165,cand_00039228,0.0,True
support_000166,cand_00039014,0.0,True
support_000167,cand_00038997,0.0,True
support_000168,cand_00039002,0.0,True
support_000169,cand_00002398,0.0,True
support_000170,cand_00039830,0.0,True
support_000171,cand_00002396,0.0,True
support_000172,cand_00038994,0.0,True
support_000173,cand_00002920,0.0,True
support_000174,cand_00002417,0.0,True
support_000175,cand_00002405,0.0,True
support_000176,cand_00007391,0.0,True
support_000177,cand_00002401,0.0,True
support_000178,cand_00002445,0.0,True
support_000179,cand_00039101,0.0,True
support_000180,cand_00039739,0.0,True
support_000181,cand_00039073,0.0,True
support_000182,cand_00003872,0.0,True
support_000183,cand_00002578,0.0,True
support_000184,cand_00039017,0.0,True
support_000185,cand_00040873,0.0,True
support_000186,cand_00039006,0.0,True
support_000187,cand_00002402,0.0,True
support_000188,cand_00002414,0.0,True
support_000189,cand_00039450,0.0,True
support_000190,cand_00039010,0.0,True
support_000191,cand_00039023,0.0,True
support_000192,cand_00002403,0.0,True
support_000193,cand_00038996,0.0,True
support_000194,cand_00002428,0.0,True
support_000195,cand_00039003,0.0,True
support_000196,cand_00002411,0.0,True
support_000197,cand_00002480,0.0,True
support_000198,cand_00043982,0.0,True
support_000199,cand_00004790,0.0,True
support_000200,cand_00002633,0.0,True
support_000201,cand_00003106,0.0,True
support_000202,cand_00005978,0.0,True
support_000203,cand_00003444,0.0,True
support_000204,cand_00039009,0.0,True
support_000205,cand_00002406,0.0,True
support_000206,cand_00002769,0.0,True
support_000207,cand_00002430,0.0,True
support_000208,cand_00039150,0.0,True
support_000209,cand_00040336,0.0,True
support_000210,cand_00039065,0.0,True
support_000211,cand_00039429,0.0,True
support_000212,cand_00039123,0.0,True
support_000213,cand_00042417,0.0,True
support_000214,cand_00039050,0.0,True
support_000215,cand_00002513,0.0,True
support_000216,cand_00039025,0.0,True
support_000217,cand_00039011,0.0,True
support_000218,cand_00040300,0.0,True
support_000219,cand_00038999,0.0,True
support_000220,cand_00044533,0.0,True
support_000221,cand_00043992,0.0,True
support_000222,cand_00007394,0.0,True
