candidate,job_index,weighting,role,support_coverage,rows,candidate_hard_alarm_rate,candidate_veto_rate,candidate_review_rate
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,support_val,seen_in_support,69,0.8840579710144928,0.0,0.0
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,same_file_query,seen_in_support,125679,0.9406424303185098,0.0,0.0
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,future_query,seen_in_support,217423,0.8112619180123538,0.0,0.0
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,future_query,unseen_in_support,160722,0.24441582359602296,0.0,0.0
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,sealed_final_attack,seen_in_support,79940,0.962334250688016,0.0,0.0
C0_baseline_issue27ckc,1,medium_mass_ratio_recalibrated,sealed_final_attack,unseen_in_support,30164,0.335698183264819,0.0,0.0
V1_hard_ood_risk_existing_controller,1,medium_mass_ratio_recalibrated,support_val,seen_in_support,69,0.7101449275362319,0.0,0.0
V1_hard_ood_risk_existing_controller,1,medium_mass_ratio_recalibrated,same_file_query,seen_in_support,125679,0.41060956882215804,0.0,0.0
V1_hard_ood_risk_existing_controller,1,medium_mass_ratio_recalibrated,future_query,seen_in_support,217423,0.6316213096130584,0.0,0.0
V1_hard_ood_risk_existing_controller,1,medium_mass_ratio_recalibrated,future_query,unseen_in_support,160722,0.20083124898893742,3.733154141934521e-05,3.733154141934521e-05
V1_hard_ood_risk_existing_controller,1,medium_mass_ratio_recalibrated,sealed_final_attack,seen_in_support,79940,0.5330372779584689,0.0,0.0
V1_hard_ood_risk_existing_controller,1,medium_mass_ratio_recalibrated,sealed_final_attack,unseen_in_support,30164,0.19742076647659462,0.0,0.0
V2_hard_ood_conservative_veto,1,medium_mass_ratio_recalibrated,support_val,seen_in_support,69,0.6231884057971014,0.08695652173913043,0.08695652173913043
V2_hard_ood_conservative_veto,1,medium_mass_ratio_recalibrated,same_file_query,seen_in_support,125679,0.3795622180316521,0.03104735079050597,0.03104735079050597
V2_hard_ood_conservative_veto,1,medium_mass_ratio_recalibrated,future_query,seen_in_support,217423,0.6133987664598501,0.018222543153208263,0.018222543153208263
V2_hard_ood_conservative_veto,1,medium_mass_ratio_recalibrated,future_query,unseen_in_support,160722,0.14710493896292978,0.05376364156742699,0.05376364156742699
V2_hard_ood_conservative_veto,1,medium_mass_ratio_recalibrated,sealed_final_attack,seen_in_support,79940,0.5214786089567175,0.011558669001751313,0.011558669001751313
V2_hard_ood_conservative_veto,1,medium_mass_ratio_recalibrated,sealed_final_attack,unseen_in_support,30164,0.1221986473942448,0.07522211908234983,0.07522211908234983
V3_hard_ood_attack_preserving_veto,1,medium_mass_ratio_recalibrated,support_val,seen_in_support,69,0.6811594202898551,0.028985507246376812,0.028985507246376812
V3_hard_ood_attack_preserving_veto,1,medium_mass_ratio_recalibrated,same_file_query,seen_in_support,125679,0.40684601246031554,0.0037635563618424717,0.0037635563618424717
V3_hard_ood_attack_preserving_veto,1,medium_mass_ratio_recalibrated,future_query,seen_in_support,217423,0.6238668402146967,0.0077544693983617186,0.0077544693983617186
V3_hard_ood_attack_preserving_veto,1,medium_mass_ratio_recalibrated,future_query,unseen_in_support,160722,0.17221040056743944,0.028658179962917335,0.028658179962917335
V3_hard_ood_attack_preserving_veto,1,medium_mass_ratio_recalibrated,sealed_final_attack,seen_in_support,79940,0.524455841881411,0.008581436077057794,0.008581436077057794
V3_hard_ood_attack_preserving_veto,1,medium_mass_ratio_recalibrated,sealed_final_attack,unseen_in_support,30164,0.1697719135393184,0.027648852937276223,0.027648852937276223
V4_baseline_attack_hard_ood_risk_veto,1,medium_mass_ratio_recalibrated,support_val,seen_in_support,69,0.7681159420289855,0.11594202898550725,0.11594202898550725
V4_baseline_attack_hard_ood_risk_veto,1,medium_mass_ratio_recalibrated,same_file_query,seen_in_support,125679,0.9105419362025478,0.030100494115962093,0.030100494115962093
V4_baseline_attack_hard_ood_risk_veto,1,medium_mass_ratio_recalibrated,future_query,seen_in_support,217423,0.7661194997769325,0.045142418235421276,0.045142418235421276
V4_baseline_attack_hard_ood_risk_veto,1,medium_mass_ratio_recalibrated,future_query,unseen_in_support,160722,0.19665011634997076,0.04776570724605219,0.04776570724605219
V4_baseline_attack_hard_ood_risk_veto,1,medium_mass_ratio_recalibrated,sealed_final_attack,seen_in_support,79940,0.9203652739554666,0.041968976732549415,0.041968976732549415
V4_baseline_attack_hard_ood_risk_veto,1,medium_mass_ratio_recalibrated,sealed_final_attack,unseen_in_support,30164,0.2861689431109932,0.04952924015382575,0.04952924015382575
V5_baseline_attack_strict_hard_ood_veto,1,medium_mass_ratio_recalibrated,support_val,seen_in_support,69,0.6811594202898551,0.2028985507246377,0.2028985507246377
V5_baseline_attack_strict_hard_ood_veto,1,medium_mass_ratio_recalibrated,same_file_query,seen_in_support,125679,0.9028397743457539,0.03780265597275599,0.03780265597275599
