regime,feature_set,model,role,phase,source_group,device,rows,hard_alarm_rate,score_mean
support_only,raw115,histgb_shallow,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,0.0,0.9530829141913766
support_only,raw115,histgb_shallow,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,0.0,0.952761066006503
support_only,raw115,histgb_shallow,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.0,0.9531702246639099
support_only,raw115,histgb_shallow,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.0,0.9537555920162788
support_only,raw115,histgb_shallow,support_val,select,processed/iotsim-city-power-1.csv,city-power,23,0.8695652173913043,0.9891524782282
support_only,raw115,histgb_shallow,support_val,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,6,0.5,0.9652446007409322
support_only,raw115,histgb_shallow,support_val,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,40,0.75,0.985494862024605
support_only,raw115,histgb_shallow,same_file_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,2486,0.0,0.9671278613280491
support_only,raw115,histgb_shallow,same_file_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,65263,0.9030384750930849,0.9832324758692539
support_only,raw115,histgb_shallow,future_query,select,processed/iotsim-combined-cycle-1.csv,combined-cycle,46486,0.5938347029213097,0.972996673490653
support_only,raw115,histgb_shallow,future_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,12677,0.1835607793642029,0.9766817994831525
support_only,raw115,histgb_shallow,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,0.6297395455017122,0.98350115222922
support_only,raw115,histgb_shallow,future_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,12652,0.8854726525450521,0.9880417553801732
support_only,raw115,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12,2446,0.010220768601798855,0.8588640994569751
support_only,raw115,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13,2431,0.008638420403126285,0.8604746197785385
support_only,raw115,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14,2431,0.002879473467708762,0.8569084801337153
support_only,raw115,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15,2446,0.006950122649223222,0.8574828192335017
support_only,raw115,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2,2451,0.019991840065279477,0.8627915220350023
support_only,raw115,histgb_shallow,ood_stress,select,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2,79950,1.2507817385866166e-05,0.016884293613119362
support_only,raw115,histgb_shallow,sealed_final_attack,all,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,110104,0.5884890648841096,0.9732420179167259
support_only,raw115,histgb_shallow,sealed_final_ood,all,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2,42570,0.00011745360582569885,0.03937062933481649
support_only,raw115,histgb_shallow,sealed_final_ood,all,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2,77430,0.00012914890869172155,0.052019680531050945
support_only,evidence,histgb_shallow,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,0.0,0.9058012274161016
support_only,evidence,histgb_shallow,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,0.0,0.9058143712585305
support_only,evidence,histgb_shallow,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.0,0.9057656642099853
support_only,evidence,histgb_shallow,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.0,0.905259922068913
support_only,evidence,histgb_shallow,support_val,select,processed/iotsim-city-power-1.csv,city-power,23,0.8695652173913043,0.9756588920778293
support_only,evidence,histgb_shallow,support_val,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,6,0.0,0.8340343003933562
support_only,evidence,histgb_shallow,support_val,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,40,0.925,0.9801261581450987
support_only,evidence,histgb_shallow,same_file_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,2486,0.028962188254223652,0.9345533392004713
support_only,evidence,histgb_shallow,same_file_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,65263,0.9351240365904111,0.9726821536059203
support_only,evidence,histgb_shallow,future_query,select,processed/iotsim-combined-cycle-1.csv,combined-cycle,46486,0.6095813793400163,0.9523704398973533
support_only,evidence,histgb_shallow,future_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,12677,0.0016565433462175593,0.9070834749467818
support_only,evidence,histgb_shallow,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,0.46549756148178895,0.9458446556939016
support_only,evidence,histgb_shallow,future_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,12652,0.22779007271577617,0.876896021253982
support_only,evidence,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12,2446,0.0004088307440719542,0.9077655430952913
support_only,evidence,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13,2431,0.0,0.9082262713068052
support_only,evidence,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14,2431,0.0,0.9074704840153208
support_only,evidence,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15,2446,0.0,0.9084360422298678
support_only,evidence,histgb_shallow,ood_val,select,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2,2451,0.0,0.9069868130630763
support_only,evidence,histgb_shallow,ood_stress,select,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2,79950,0.0007129455909943715,0.03266359641860532
support_only,evidence,histgb_shallow,sealed_final_attack,all,processed/iotsim-ip-camera-street-1.csv,ip-camera-street,110104,0.6407941582503814,0.9457547384450833
support_only,evidence,histgb_shallow,sealed_final_ood,all,processed/iotsim-ip-camera-museum-2.csv,iotsim-ip-camera-museum-2,42570,0.0016913319238900633,0.029407769357985537
support_only,evidence,histgb_shallow,sealed_final_ood,all,processed/iotsim-ip-camera-street-2.csv,iotsim-ip-camera-street-2,77430,0.0026346377373111197,0.08241495578521099
support_only,raw_plus_evidence,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,0.0,0.9412075702440572
support_only,raw_plus_evidence,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,0.0,0.9407608649067813
support_only,raw_plus_evidence,histgb_stronger,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.0,0.9229514770196175
