view_version,view_role,view_row_id,sample_id,label_region_id,exact_attack_label,source_role,pcap_path,csv_path,pcap_packet_index,csv_row_index,packet_timestamp,provenance_hash,global_candidate_id,feature_asset_uri,feature_vector_sha256,origin,promotion_event_id,immutable
support_train_view_v1,support_train,view_row_42a523f965952ec0,support_000000,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48920,16887,1737236339.461976,b9985734e0e332380a904b876574a0236a5cbbb315cfaba560514319f6885bb8,cand_00032917,issue27cd://chunk/00007/row/274,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_1dbd74a7f482032b,support_000001,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48650,16617,1737236339.427354,6108bab05ea4615e02f5bba4ee8d358ef7cf87dafad13cd30ecd8f97864a0cfe,cand_00032649,issue27cd://chunk/00007/row/6,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_c6ff6ca227a6d285,support_000002,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48646,16613,1737236339.421646,5672a7234914a00eb932306a2a1b56d9b4db98d6654346d68ad56ba4ea21ee4e,cand_00032645,issue27cd://chunk/00007/row/2,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_64d159d8afea9665,support_000004,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48645,16612,1737236339.421586,b02006e25fe77f3cb80c75242df1220b409d0dd9c5cadb665bd130353acdf07e,cand_00032644,issue27cd://chunk/00007/row/1,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_49d642ac14aa6cf9,support_000005,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48663,16630,1737236339.428128,696f8287997ca903c3e9593b837daf9a0f517845ca4428c5f3cd4ce023e29174,cand_00032662,issue27cd://chunk/00007/row/19,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_2f0d994a3613e5fd,support_000006,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48651,16618,1737236339.427361,3cf8f754e2d81f19808585e421ead8e16be3819a5a7f03e5185080705512ac67,cand_00032650,issue27cd://chunk/00007/row/7,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_745e01cdb3de891d,support_000008,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48648,16615,1737236339.427315,d822fa019e149b8763d21c69d68b26e71ddcc52664c77ef4873ebd65807a494b,cand_00032647,issue27cd://chunk/00007/row/4,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_411eeba04fd37b26,support_000009,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48672,16639,1737236339.432877,7907307ea4a05eb6d35b52e15897d21b01f37fed1ddffd02e3c734934bae5ca4,cand_00032671,issue27cd://chunk/00007/row/28,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_b0c97157f5a408b8,support_000010,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48653,16620,1737236339.427379,bf2e0449620bfda1c7b0fcb1b45ff9400fc40f7638c0b9c7dcd0d9fc7fd38417,cand_00032652,issue27cd://chunk/00007/row/9,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_ce081d0462bf60b9,support_000012,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,49251,17217,1737236339.502050,a1ca0d956fbe98b0d0cdd3fc0f0898ed6d96ae3ca51eb92735730d234ee80161,cand_00033246,issue27cd://chunk/00007/row/603,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_0dec52653970121e,support_000013,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48644,16611,1737236339.414868,3f92c87ac2210f3d20bbc25c0979a19dcfe8018d4b78368e0a6784fb0600beba,cand_00032643,issue27cd://chunk/00007/row/0,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_05c6d0bf109a64d3,support_000014,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48706,16673,1737236339.438155,9828724489cba97316ae1b8bae0429e01d9bad2b13c45bec1c2a9cb7f437d65a,cand_00032705,issue27cd://chunk/00007/row/62,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_d7a70e504eb035d3,support_000016,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,49252,17218,1737236339.502064,665b1403bd4667accb5590e0950dc18222a6b5b7c5323c7d590c4f837f72dded,cand_00033247,issue27cd://chunk/00007/row/604,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_b6216af9f18b4593,support_000017,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48656,16623,1737236339.427416,8fda384f6cfd3a4572087c1751dd6fa3fd3c2dce4c61b11a6b99763ae8ca8b79,cand_00032655,issue27cd://chunk/00007/row/12,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_be4a8579de020971,support_000018,label_region_12d158d5d9fcf840,File Download,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48660,16627,1737236339.428106,bd122ac05aa94eccf9ea7df49bde0c587f65a66fa604f9f40b31ea28ebffb392,cand_00032659,issue27cd://chunk/00007/row/16,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_148bb1d428a08462,support_000020,label_region_3f94ccb61bacb425,Ingress Tool Transfer,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,70062,31678,1737236398.156407,3ff5511f4ecd4f4111fc683e8625bdef8ab5c6f40cf43758607b066c104fefa0,cand_00033637,issue27cd://chunk/00008/row/389,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
support_train_view_v1,support_train,view_row_c2d83ae696543f22,support_000021,label_region_3f94ccb61bacb425,Ingress Tool Transfer,attack_support_candidate_pool_targeted,raw/malicious/mirai-infection/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,processed/iotsim-combined-cycle-10.csv,48640,16607,1737236339.408750,6d36b7469530379b57edfbf74853adfdd3294d9138ab92ddd5f41e6f4e7d3c2d,cand_00033352,issue27cd://chunk/00008/row/104,inherited_from_certified_chunk_hash_and_row_reference,initial_support_bank_v1,,True
