candidate,role,phase,label,rows,head
C1_fewshot_binary_raw115,support_train,fit,1,385,
C1_fewshot_binary_raw115,id_calib,fit,0,1600,
C1_fewshot_binary_raw115,ood_val,fit,0,1600,
C1_fewshot_binary_raw115,ood_stress,fit,0,1600,
C2_fewshot_binary_evidence,support_train,fit,1,385,
C2_fewshot_binary_evidence,id_calib,fit,0,1600,
C2_fewshot_binary_evidence,ood_val,fit,0,1600,
C2_fewshot_binary_evidence,ood_stress,fit,0,1600,
C3_fewshot_binary_raw_plus_evidence,support_train,fit,1,385,
C3_fewshot_binary_raw_plus_evidence,id_calib,fit,0,1600,
C3_fewshot_binary_raw_plus_evidence,ood_val,fit,0,1600,
C3_fewshot_binary_raw_plus_evidence,ood_stress,fit,0,1600,
C4_fewshot_multiclass_raw115,support_train,fit,3,385,
C4_fewshot_multiclass_raw115,id_calib,fit,0,1600,
C4_fewshot_multiclass_raw115,ood_val,fit,1,1600,
C4_fewshot_multiclass_raw115,ood_stress,fit,2,1600,
C5_fewshot_multihead_raw_plus_evidence,support_train,fit,1,385,
C5_fewshot_multihead_raw_plus_evidence,id_calib,fit,0,1600,
C5_fewshot_multihead_raw_plus_evidence,ood_val,fit,0,1600,
C5_fewshot_multihead_raw_plus_evidence,ood_stress,fit,0,1600,
C5_fewshot_multihead_raw_plus_evidence,ood_stress,fit,1,1600,hard_ood
C5_fewshot_multihead_raw_plus_evidence,support_train,fit,0,385,hard_ood
C5_fewshot_multihead_raw_plus_evidence,id_calib,fit,0,1600,hard_ood
C5_fewshot_multihead_raw_plus_evidence,ood_val,fit,0,1600,hard_ood
U1_devlabel_binary_raw_plus_temporal_mlp,support_train,fit,1,385,
U1_devlabel_binary_raw_plus_temporal_mlp,support_val,fit,1,58,
U1_devlabel_binary_raw_plus_temporal_mlp,same_file_query,fit,1,20000,
U1_devlabel_binary_raw_plus_temporal_mlp,future_query,fit,1,20000,
U1_devlabel_binary_raw_plus_temporal_mlp,id_calib,fit,0,1600,
U1_devlabel_binary_raw_plus_temporal_mlp,ood_val,fit,0,1600,
U1_devlabel_binary_raw_plus_temporal_mlp,ood_stress,fit,0,1600,
U2_devlabel_multihead_raw_plus_temporal,support_train,fit,1,385,
U2_devlabel_multihead_raw_plus_temporal,support_val,fit,1,58,
U2_devlabel_multihead_raw_plus_temporal,same_file_query,fit,1,20000,
U2_devlabel_multihead_raw_plus_temporal,future_query,fit,1,20000,
U2_devlabel_multihead_raw_plus_temporal,id_calib,fit,0,1600,
U2_devlabel_multihead_raw_plus_temporal,ood_val,fit,0,1600,
U2_devlabel_multihead_raw_plus_temporal,ood_stress,fit,0,1600,
U2_devlabel_multihead_raw_plus_temporal,ood_stress,fit,1,1600,hard_ood
U2_devlabel_multihead_raw_plus_temporal,support_train,fit,0,385,hard_ood
U2_devlabel_multihead_raw_plus_temporal,id_calib,fit,0,1600,hard_ood
U2_devlabel_multihead_raw_plus_temporal,ood_val,fit,0,1600,hard_ood
U2_devlabel_multihead_raw_plus_temporal,same_file_query,fit,0,20000,hard_ood
U2_devlabel_multihead_raw_plus_temporal,future_query,fit,0,20000,hard_ood
