role,phase,rows
id_calib,fit,28103
id_calib,select,51497
id_calib,all,79600
ood_val,fit,11295
ood_val,select,12205
ood_val,all,23500
ood_stress,fit,149950
ood_stress,select,79950
ood_stress,all,229900
support_train,fit,385
support_train,all,385
support_val,fit,58
support_val,select,69
support_val,all,127
same_file_query,fit,57930
same_file_query,select,67749
same_file_query,all,125679
future_query,fit,149496
future_query,select,228649
future_query,all,378145
sealed_final_ood,report_only,154900
sealed_final_ood,all,154900
sealed_final_attack,report_only,110104
sealed_final_attack,all,110104
