candidate,train_cap,comparison,positive_rows,negative_rows,auc,ap
C4_fewshot_multiclass_raw115_cap1600,1600,support_vs_hard_ood,69,79950,0.9999940180003807,0.9936374107868677
C4_fewshot_multiclass_raw115_cap1600,1600,same_file_vs_hard_ood,67749,79950,0.9999961783669148,0.9999954031335707
C4_fewshot_multiclass_raw115_cap1600,1600,future_vs_hard_ood,228649,79950,0.9999583063089584,0.9999837239178768
C4_fewshot_multiclass_raw115_cap1600,1600,sealed_attack_vs_sealed_ood,110104,154900,0.9989975970016632,0.9990480042953856
C4_fewshot_multiclass_raw115_cap5000,5000,support_vs_hard_ood,69,79950,0.9999871296371827,0.987988486766289
C4_fewshot_multiclass_raw115_cap5000,5000,same_file_vs_hard_ood,67749,79950,0.9999930424123455,0.9999915256393229
C4_fewshot_multiclass_raw115_cap5000,5000,future_vs_hard_ood,228649,79950,0.9999300066808121,0.999972810620722
C4_fewshot_multiclass_raw115_cap5000,5000,sealed_attack_vs_sealed_ood,110104,154900,0.9984557217386631,0.9985829551983239
C4_fewshot_multiclass_raw115_cap20000,20000,support_vs_hard_ood,69,79950,0.9999860420008883,0.9868943512581647
C4_fewshot_multiclass_raw115_cap20000,20000,same_file_vs_hard_ood,67749,79950,0.9999886294415419,0.9999861666582609
C4_fewshot_multiclass_raw115_cap20000,20000,future_vs_hard_ood,228649,79950,0.9999042288672436,0.9999619304981258
C4_fewshot_multiclass_raw115_cap20000,20000,sealed_attack_vs_sealed_ood,110104,154900,0.9990347984922948,0.999033846943747
C4_fewshot_multiclass_raw115_capfull,full,support_vs_hard_ood,69,79950,0.999989667455203,0.9894929684762708
C4_fewshot_multiclass_raw115_capfull,full,same_file_vs_hard_ood,67749,79950,0.9999898534718489,0.9999877251216801
C4_fewshot_multiclass_raw115_capfull,full,future_vs_hard_ood,228649,79950,0.9999346364807431,0.9999738668969984
C4_fewshot_multiclass_raw115_capfull,full,sealed_attack_vs_sealed_ood,110104,154900,0.9987850574704016,0.9988848702429237
