scope,group_field,group_value,rows,eligible,exclude_field,exclude_value,split,role,phase,purpose,held_field,held_value
global,,ALL_LEGAL_BENIGN_FIT,189348,True,,,main,,,,,
,,,28103,,,,main,id_calib,fit,feature_stats,,
,,,11295,,,,main,ood_val,fit,feature_stats,,
,,,149950,,,,main,ood_stress,fit,feature_stats,,
group,device_family,iotsim-building-monitor,2604,True,,,main,,,,,
group,device_family,iotsim-combined-cycle-tls,5682,True,,,main,,,,,
group,device_family,iotsim-cooler-motor,22421,True,,,main,,,,,
group,device_family,iotsim-hydraulic-system,8691,True,,,main,,,,,
group,device_family,iotsim-stream-consumer,149950,True,,,main,,,,,
group,source_family,iotsim-building-monitor,2604,True,,,main,,,,,
group,source_family,iotsim-combined-cycle-tls,5682,True,,,main,,,,,
group,source_family,iotsim-cooler-motor,22421,True,,,main,,,,,
group,source_family,iotsim-hydraulic-system,8691,True,,,main,,,,,
group,source_family,iotsim-stream-consumer,149950,True,,,main,,,,,
group,source_group,processed/iotsim-building-monitor-2.csv,1690,True,,,main,,,,,
group,source_group,processed/iotsim-building-monitor-3.csv,914,True,,,main,,,,,
group,source_group,processed/iotsim-combined-cycle-tls-3.csv,1894,True,,,main,,,,,
group,source_group,processed/iotsim-combined-cycle-tls-4.csv,1894,True,,,main,,,,,
group,source_group,processed/iotsim-combined-cycle-tls-5.csv,1894,True,,,main,,,,,
group,source_group,processed/iotsim-cooler-motor-5.csv,22421,True,,,main,,,,,
group,source_group,processed/iotsim-hydraulic-system-1.csv,3819,True,,,main,,,,,
group,source_group,processed/iotsim-hydraulic-system-10.csv,2456,True,,,main,,,,,
group,source_group,processed/iotsim-hydraulic-system-11.csv,2416,True,,,main,,,,,
group,source_group,processed/iotsim-stream-consumer-1.csv,149950,True,,,main,,,,,
global,,ALL_LEGAL_BENIGN_FIT,189348,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
,,,28103,,,,leave_device_family,id_calib,fit,feature_stats,device_family,iotsim-ip-camera-street
,,,11295,,,,leave_device_family,ood_val,fit,feature_stats,device_family,iotsim-ip-camera-street
,,,149950,,,,leave_device_family,ood_stress,fit,feature_stats,device_family,iotsim-ip-camera-street
group,device_family,iotsim-building-monitor,2604,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,device_family,iotsim-combined-cycle-tls,5682,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,device_family,iotsim-cooler-motor,22421,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,device_family,iotsim-hydraulic-system,8691,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,device_family,iotsim-stream-consumer,149950,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_family,iotsim-building-monitor,2604,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_family,iotsim-combined-cycle-tls,5682,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_family,iotsim-cooler-motor,22421,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_family,iotsim-hydraulic-system,8691,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_family,iotsim-stream-consumer,149950,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_group,processed/iotsim-building-monitor-2.csv,1690,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_group,processed/iotsim-building-monitor-3.csv,914,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_group,processed/iotsim-combined-cycle-tls-3.csv,1894,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_group,processed/iotsim-combined-cycle-tls-4.csv,1894,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_group,processed/iotsim-combined-cycle-tls-5.csv,1894,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_group,processed/iotsim-cooler-motor-5.csv,22421,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_group,processed/iotsim-hydraulic-system-1.csv,3819,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_group,processed/iotsim-hydraulic-system-10.csv,2456,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_group,processed/iotsim-hydraulic-system-11.csv,2416,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
group,source_group,processed/iotsim-stream-consumer-1.csv,149950,True,device_family,iotsim-ip-camera-street,leave_device_family,,,,device_family,iotsim-ip-camera-street
global,,ALL_LEGAL_BENIGN_FIT,189348,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
,,,28103,,,,leave_device_family,id_calib,fit,feature_stats,device_family,iotsim-ip-camera-museum
,,,11295,,,,leave_device_family,ood_val,fit,feature_stats,device_family,iotsim-ip-camera-museum
,,,149950,,,,leave_device_family,ood_stress,fit,feature_stats,device_family,iotsim-ip-camera-museum
group,device_family,iotsim-building-monitor,2604,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,device_family,iotsim-combined-cycle-tls,5682,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,device_family,iotsim-cooler-motor,22421,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
group,device_family,iotsim-hydraulic-system,8691,True,device_family,iotsim-ip-camera-museum,leave_device_family,,,,device_family,iotsim-ip-camera-museum
