candidate,feature_set,seed,role,phase,label,rows,feature_dim,group_fallback_rate,split,held_field,held_value
CKL_F0_raw115_seed42,F0_raw115,42,support_train,fit,3,385,115,nan,main,,
CKL_F0_raw115_seed42,F0_raw115,42,id_calib,fit,0,20000,115,nan,main,,
CKL_F0_raw115_seed42,F0_raw115,42,ood_val,fit,1,11295,115,nan,main,,
CKL_F0_raw115_seed42,F0_raw115,42,ood_stress,fit,2,20000,115,nan,main,,
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,support_train,fit,3,385,460,nan,main,,
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,id_calib,fit,0,20000,460,nan,main,,
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,ood_val,fit,1,11295,460,nan,main,,
CKL_F1_global_robust_tail_seed42,F1_global_robust_tail,42,ood_stress,fit,2,20000,460,nan,main,,
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,support_train,fit,3,385,345,nan,main,,
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,id_calib,fit,0,20000,345,nan,main,,
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,ood_val,fit,1,11295,345,nan,main,,
CKL_F1_global_robust_only_seed42,F1_global_robust_only,42,ood_stress,fit,2,20000,345,nan,main,,
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,support_train,fit,3,385,805,1.0,main,,
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,id_calib,fit,0,20000,805,0.0,main,,
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,ood_val,fit,1,11295,805,0.0,main,,
CKL_F1_device_family_robust_tail_seed42,F1_device_family_robust_tail,42,ood_stress,fit,2,20000,805,0.0,main,,
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,support_train,fit,3,385,690,nan,main,,
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,id_calib,fit,0,20000,690,nan,main,,
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,ood_val,fit,1,11295,690,nan,main,,
CKL_F1_device_family_robust_only_seed42,F1_device_family_robust_only,42,ood_stress,fit,2,20000,690,nan,main,,
CKL_F0_raw115_seed43,F0_raw115,43,support_train,fit,3,385,115,nan,main,,
CKL_F0_raw115_seed43,F0_raw115,43,id_calib,fit,0,20000,115,nan,main,,
CKL_F0_raw115_seed43,F0_raw115,43,ood_val,fit,1,11295,115,nan,main,,
CKL_F0_raw115_seed43,F0_raw115,43,ood_stress,fit,2,20000,115,nan,main,,
CKL_F1_global_robust_tail_seed43,F1_global_robust_tail,43,support_train,fit,3,385,460,nan,main,,
CKL_F1_global_robust_tail_seed43,F1_global_robust_tail,43,id_calib,fit,0,20000,460,nan,main,,
CKL_F1_global_robust_tail_seed43,F1_global_robust_tail,43,ood_val,fit,1,11295,460,nan,main,,
CKL_F1_global_robust_tail_seed43,F1_global_robust_tail,43,ood_stress,fit,2,20000,460,nan,main,,
CKL_F1_global_robust_only_seed43,F1_global_robust_only,43,support_train,fit,3,385,345,nan,main,,
CKL_F1_global_robust_only_seed43,F1_global_robust_only,43,id_calib,fit,0,20000,345,nan,main,,
CKL_F1_global_robust_only_seed43,F1_global_robust_only,43,ood_val,fit,1,11295,345,nan,main,,
CKL_F1_global_robust_only_seed43,F1_global_robust_only,43,ood_stress,fit,2,20000,345,nan,main,,
CKL_F1_device_family_robust_tail_seed43,F1_device_family_robust_tail,43,support_train,fit,3,385,805,1.0,main,,
CKL_F1_device_family_robust_tail_seed43,F1_device_family_robust_tail,43,id_calib,fit,0,20000,805,0.0,main,,
CKL_F1_device_family_robust_tail_seed43,F1_device_family_robust_tail,43,ood_val,fit,1,11295,805,0.0,main,,
CKL_F1_device_family_robust_tail_seed43,F1_device_family_robust_tail,43,ood_stress,fit,2,20000,805,0.0,main,,
CKL_F1_device_family_robust_only_seed43,F1_device_family_robust_only,43,support_train,fit,3,385,690,nan,main,,
