candidate,variant,env_field,weight_mode,role,phase,label,rows,unique_envs,split,seed,held_field,held_value
CKM_M0_c4_baseline_seed42,M0_c4_baseline,,class_balanced,support_train,fit,3,385,1,main,42,,
CKM_M0_c4_baseline_seed42,M0_c4_baseline,,class_balanced,id_calib,fit,0,20000,1,main,42,,
CKM_M0_c4_baseline_seed42,M0_c4_baseline,,class_balanced,ood_val,fit,1,11295,1,main,42,,
CKM_M0_c4_baseline_seed42,M0_c4_baseline,,class_balanced,ood_stress,fit,2,20000,1,main,42,,
CKM_M1_device_family_env_balanced_seed42,M1_device_family_env_balanced,device_family,class_env_balanced,support_train,fit,3,385,3,main,42,,
CKM_M1_device_family_env_balanced_seed42,M1_device_family_env_balanced,device_family,class_env_balanced,id_calib,fit,0,20000,2,main,42,,
CKM_M1_device_family_env_balanced_seed42,M1_device_family_env_balanced,device_family,class_env_balanced,ood_val,fit,1,11295,2,main,42,,
CKM_M1_device_family_env_balanced_seed42,M1_device_family_env_balanced,device_family,class_env_balanced,ood_stress,fit,2,20000,1,main,42,,
CKM_M2_source_family_env_balanced_seed42,M2_source_family_env_balanced,source_family,class_env_balanced,support_train,fit,3,385,3,main,42,,
CKM_M2_source_family_env_balanced_seed42,M2_source_family_env_balanced,source_family,class_env_balanced,id_calib,fit,0,20000,2,main,42,,
CKM_M2_source_family_env_balanced_seed42,M2_source_family_env_balanced,source_family,class_env_balanced,ood_val,fit,1,11295,2,main,42,,
CKM_M2_source_family_env_balanced_seed42,M2_source_family_env_balanced,source_family,class_env_balanced,ood_stress,fit,2,20000,1,main,42,,
CKM_M3_device_family_dro_seed42,M3_device_family_dro,device_family,class_env_dro,support_train,fit,3,385,3,main,42,,
CKM_M3_device_family_dro_seed42,M3_device_family_dro,device_family,class_env_dro,id_calib,fit,0,20000,2,main,42,,
CKM_M3_device_family_dro_seed42,M3_device_family_dro,device_family,class_env_dro,ood_val,fit,1,11295,2,main,42,,
CKM_M3_device_family_dro_seed42,M3_device_family_dro,device_family,class_env_dro,ood_stress,fit,2,20000,1,main,42,,
CKM_M4_source_family_dro_seed42,M4_source_family_dro,source_family,class_env_dro,support_train,fit,3,385,3,main,42,,
CKM_M4_source_family_dro_seed42,M4_source_family_dro,source_family,class_env_dro,id_calib,fit,0,20000,2,main,42,,
CKM_M4_source_family_dro_seed42,M4_source_family_dro,source_family,class_env_dro,ood_val,fit,1,11295,2,main,42,,
