head_id,representation,holdout,seed,x_id_train_shape,x_ood_train_shape,x_support_attack_shape,x_id_calib_shape,x_ood_val_shape,x_final_ood_eval_shape,x_attack_eval_shape,support_overlaps_attack_eval,ood_val_used_for_training,final_ood_eval_used_for_training,attack_eval_used_for_training,final_eval_used_for_selection
LOW_GUARD_LR,source_rich_top64,holdout_bin_5,42,"(8000, 64)","(8000, 64)","(32, 64)","(5000, 64)","(2000, 64)","(10000, 64)","(877, 64)",False,False,False,False,False
LOW_GUARD_DevNetScore,source_rich_top64,holdout_bin_5,42,"(8000, 64)","(8000, 64)","(32, 64)","(5000, 64)","(2000, 64)","(10000, 64)","(877, 64)",False,False,False,False,False
LOW_GUARD_DeepSADLite,source_rich_top64,holdout_bin_5,42,"(8000, 64)","(8000, 64)","(32, 64)","(5000, 64)","(2000, 64)","(10000, 64)","(877, 64)",False,False,False,False,False
LOW_GUARD_HistGB_Conservative,source_rich_top64,holdout_bin_5,42,"(8000, 64)","(8000, 64)","(32, 64)","(5000, 64)","(2000, 64)","(10000, 64)","(877, 64)",False,False,False,False,False
LOW_GUARD_PrototypeMargin,source_rich_top64,holdout_bin_5,42,"(8000, 64)","(8000, 64)","(32, 64)","(5000, 64)","(2000, 64)","(10000, 64)","(877, 64)",False,False,False,False,False
LOW_GUARD_LR,original100,holdout_bin_5,42,"(8000, 100)","(8000, 100)","(32, 100)","(5000, 100)","(2000, 100)","(10000, 100)","(877, 100)",False,False,False,False,False
LOW_GUARD_DevNetScore,original100,holdout_bin_5,42,"(8000, 100)","(8000, 100)","(32, 100)","(5000, 100)","(2000, 100)","(10000, 100)","(877, 100)",False,False,False,False,False
LOW_GUARD_DeepSADLite,original100,holdout_bin_5,42,"(8000, 100)","(8000, 100)","(32, 100)","(5000, 100)","(2000, 100)","(10000, 100)","(877, 100)",False,False,False,False,False
LOW_GUARD_HistGB_Conservative,original100,holdout_bin_5,42,"(8000, 100)","(8000, 100)","(32, 100)","(5000, 100)","(2000, 100)","(10000, 100)","(877, 100)",False,False,False,False,False
LOW_GUARD_PrototypeMargin,original100,holdout_bin_5,42,"(8000, 100)","(8000, 100)","(32, 100)","(5000, 100)","(2000, 100)","(10000, 100)","(877, 100)",False,False,False,False,False
LOW_GUARD_LR,source_rich_top64,holdout_bin_5,43,"(8000, 64)","(8000, 64)","(32, 64)","(5000, 64)","(2000, 64)","(10000, 64)","(877, 64)",False,False,False,False,False
LOW_GUARD_DevNetScore,source_rich_top64,holdout_bin_5,43,"(8000, 64)","(8000, 64)","(32, 64)","(5000, 64)","(2000, 64)","(10000, 64)","(877, 64)",False,False,False,False,False
