head_id,representation,dataset,holdout,seed,seed_group,config_id,validation_target,support_train_size,support_validation_size,support_val_detection,support_val_margin_median,ood_val_alarm_at_selection,id_calib_alarm_at_selection,ood_val_q99,selection_feasible_on_ood_val,config_param_count,score_direction_fixed,score_direction_or_objective_warning,selection_used_final_eval,selected,selection_rule,rejection_reason
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_5,42,main_42_46,devscore_h8_m1_lamO2_lamS2_t0100,0.01,24,8,0.5,-0.0026799857600559697,0.004,0.01,0.010368980586785335,True,529,False,False,False,True,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,selected
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_5,42,main_42_46,devscore_h16_m1_lamO2_lamS4_t0100,0.01,24,8,0.375,-0.005509458764818776,0.0045,0.0098,0.029482636440508733,True,1057,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_5,42,main_42_46,devscore_h8_m2_lamO4_lamS2_t0075,0.0075,24,8,0.5,-0.005758943810608788,0.0025,0.0074,0.01527963318284064,True,529,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_5,42,main_42_46,devscore_h16_m2_lamO4_lamS4_t0050,0.005,24,8,0.0,-0.011370327244052705,0.001,0.005,0.03809603527788254,True,1057,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_5,42,main_42_46,devscore_h8_m1_lamO2_lamS2_t0100,0.01,24,8,0.125,-0.014762580552232599,0.005,0.01,0.00912130343370767,True,817,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_5,42,main_42_46,devscore_h16_m1_lamO2_lamS4_t0100,0.01,24,8,0.5,-0.0001751254866290755,0.01,0.0094,0.04183377988338671,True,1633,False,False,False,True,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,selected
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_5,42,main_42_46,devscore_h8_m2_lamO4_lamS2_t0075,0.0075,24,8,0.125,-0.023537700501833687,0.0035,0.0074,0.012227987945319306,True,817,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_5,42,main_42_46,devscore_h16_m2_lamO4_lamS4_t0050,0.005,24,8,0.375,-0.01766931484911679,0.0015,0.005,0.0543759879251744,True,1633,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_5,43,main_42_46,devscore_h8_m1_lamO2_lamS2_t0100,0.01,24,8,0.125,-0.008180668879484404,0.0,0.0098,0.006429909895830714,True,529,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_5,43,main_42_46,devscore_h16_m1_lamO2_lamS4_t0100,0.01,24,8,0.375,-0.007455652797383517,0.0055,0.0098,0.03954528152724353,True,1057,False,False,False,True,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,selected
