head_id,representation,n_runs,any_support_attack_eval_overlap,any_final_eval_selection,any_attack_eval_training,interface_preflight_pass
LOW_GUARD_DeepSADLite,original100,12,False,False,False,True
LOW_GUARD_DeepSADLite,source_rich_top64,12,False,False,False,True
LOW_GUARD_DevNetScore,original100,12,False,False,False,True
LOW_GUARD_DevNetScore,source_rich_top64,12,False,False,False,True
LOW_GUARD_HistGB_Conservative,original100,12,False,False,False,True
LOW_GUARD_HistGB_Conservative,source_rich_top64,12,False,False,False,True
LOW_GUARD_LR,original100,12,False,False,False,True
LOW_GUARD_LR,source_rich_top64,12,False,False,False,True
LOW_GUARD_PrototypeMargin,original100,12,False,False,False,True
LOW_GUARD_PrototypeMargin,source_rich_top64,12,False,False,False,True
