holdout,attack_train_pool_size,attack_eval_size,attack_val_size,support_count,attack_train_pool_overlaps_attack_eval_count,attack_val_overlaps_attack_eval_count,support_idx_overlaps_attack_eval_count,original100_source_rich_id_rows_match,original100_source_rich_ood_rows_match,original100_source_rich_attack_rows_match,support_vs_attack_eval_feature_fingerprint_overlap,id_train_vs_ood_eval_feature_fingerprint_overlap,ood_train_vs_ood_eval_feature_fingerprint_overlap,id_calib_vs_ood_eval_feature_fingerprint_overlap,ood_val_vs_ood_eval_feature_fingerprint_overlap,support_to_attack_eval_min_l2_min,support_to_attack_eval_min_l2_median,support_to_attack_eval_exact_or_near_count_1e_9,support_to_attack_eval_near_count_1e_6,identity_audit_status,notes,locked_eval_bin_overlap_count
holdout_bin_5,5994.0,877.0,0.0,32.0,0.0,0.0,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,861.5418701171875,1215060.125,0.0,0.0,pass,"Index-level attack support/eval disjointness is checkable; benign splits lack global raw row ids, so feature fingerprint overlap is a near-duplicate signal, not proof of identity.",
holdout_bin_6,5870.0,1001.0,0.0,32.0,0.0,0.0,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,257.54547119140625,1215152.6875,0.0,0.0,pass,"Index-level attack support/eval disjointness is checkable; benign splits lack global raw row ids, so feature fingerprint overlap is a near-duplicate signal, not proof of identity.",
holdout_bin_7,5730.0,1141.0,0.0,32.0,0.0,0.0,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,309.2484130859375,1049790.03125,0.0,0.0,pass,"Index-level attack support/eval disjointness is checkable; benign splits lack global raw row ids, so feature fingerprint overlap is a near-duplicate signal, not proof of identity.",
holdout_bin_8,6445.0,426.0,0.0,32.0,0.0,0.0,0.0,True,True,True,0.0,0.0,0.0,0.0,0.0,381.1505126953125,1215062.5,0.0,0.0,pass,"Index-level attack support/eval disjointness is checkable; benign splits lack global raw row ids, so feature fingerprint overlap is a near-duplicate signal, not proof of identity.",
holdout_bin_5_vs_holdout_bin_6,,,,,,,,True,True,True,,,,,,,,,,pass,Pairwise locked attack_eval index overlap across held-out bins.,0.0
holdout_bin_5_vs_holdout_bin_7,,,,,,,,True,True,True,,,,,,,,,,pass,Pairwise locked attack_eval index overlap across held-out bins.,0.0
holdout_bin_5_vs_holdout_bin_8,,,,,,,,True,True,True,,,,,,,,,,pass,Pairwise locked attack_eval index overlap across held-out bins.,0.0
holdout_bin_6_vs_holdout_bin_7,,,,,,,,True,True,True,,,,,,,,,,pass,Pairwise locked attack_eval index overlap across held-out bins.,0.0
holdout_bin_6_vs_holdout_bin_8,,,,,,,,True,True,True,,,,,,,,,,pass,Pairwise locked attack_eval index overlap across held-out bins.,0.0
holdout_bin_7_vs_holdout_bin_8,,,,,,,,True,True,True,,,,,,,,,,pass,Pairwise locked attack_eval index overlap across held-out bins.,0.0
