ablation_variant,holdout,seed,feature_count,removed_features,diagnostic_only,attack_detection,final_ood_alarm,id_calib_alarm,ood_val_alarm,threshold,feasible_under_1pct,roc_auc_attack_vs_ood,pr_auc_attack_vs_ood,tpr_at_fpr_1pct,pauc_fpr_1pct,train_time,inference_time,param_count,frozen_config_id,final_eval_used_for_selection,threshold_uses_final_eval,notes
full_original100_reference,holdout_bin_5,42,100,,False,1.0,0.0001,0.0046,0.0,0.002742447041334866,True,1.0,1.0,1.0,1.0,3.052429999981541,0.01916589995380491,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,full frozen candidate rerun
remove_top1_separator,holdout_bin_5,42,99,46,False,1.0,0.0,0.0046,0.0,0.00470224149075629,True,1.0,1.0,1.0,1.0,0.22311160003300756,0.021336900012101978,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-1 separator removed
remove_top2_separators,holdout_bin_5,42,98,46;47,False,0.9931584948688712,0.0098,0.0028,0.005,0.0002880122113166272,True,0.9997507411630558,0.9976249700362426,0.9931584948688712,0.9927344819880473,0.21842410002136603,0.021306100010406226,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-2 separators removed
remove_top3_separators,holdout_bin_5,42,97,46;47;39,False,1.0,0.0061,0.005,0.0045,0.000468413914327543,True,0.9998192702394526,0.9978581880603788,1.0,0.9909181024850593,0.22161209996556863,0.021555299987085164,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-3 separators removed
remove_all_high_risk_separator_candidates,holdout_bin_5,42,97,46;47;39,False,1.0,0.0061,0.005,0.0045,0.000468413914327543,True,0.9998192702394526,0.9978581880603788,1.0,0.9909181024850593,0.2291378999943845,0.019851400051265955,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,all issue27g high-cardinality near-perfect separators removed
keep_only_non_separator_features,holdout_bin_5,42,97,46;47;39,False,1.0,0.0061,0.005,0.0045,0.000468413914327543,True,0.9998192702394526,0.9978581880603788,1.0,0.9909181024850593,0.22490889998152852,0.02192609995836392,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,same feature set as remove_all_high_risk_separator_candidates; included for explicit protocol coverage
train_using_only_top3_separators,holdout_bin_5,42,3,all_except_46;47;39,True,1.0,0.0011,0.0,0.0,0.035053724473240025,True,0.999944811858609,0.9993785119212714,1.0,0.9972267265632611,0.10049250000156462,0.014051900012418628,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,diagnostic only; not a candidate method
full_original100_reference,holdout_bin_5,43,100,,False,1.0,0.0001,0.0048,0.0,0.0031812949371056217,True,1.0,1.0,1.0,1.0,0.24343169998610392,0.02113359997747466,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,full frozen candidate rerun
remove_top1_separator,holdout_bin_5,43,99,46,False,1.0,0.0,0.005,0.0,0.0053795137720456755,True,1.0,0.9999999999999999,1.0,0.9999999999999999,0.2428245999617502,0.018344200041610748,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-1 separator removed
remove_top2_separators,holdout_bin_5,43,98,46;47,False,0.9942987457240593,0.0105,0.0028,0.005,0.0002623125358538006,False,0.9997371721778792,0.9976485965978927,0.9942987457240593,0.9936111572686696,0.21468949998961762,0.019922000006772578,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-2 separators removed
remove_top3_separators,holdout_bin_5,43,97,46;47;39,False,1.0,0.0055,0.0046,0.004,0.0005177522202286331,True,0.9998314709236032,0.9979669963351298,1.0,0.9915312021911151,0.2250213999650441,0.020925700024235994,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-3 separators removed
remove_all_high_risk_separator_candidates,holdout_bin_5,43,97,46;47;39,False,1.0,0.0055,0.0046,0.004,0.0005177522202286331,True,0.9998314709236032,0.9979669963351298,1.0,0.9915312021911151,0.24140279996208847,0.019600700004957616,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,all issue27g high-cardinality near-perfect separators removed
keep_only_non_separator_features,holdout_bin_5,43,97,46;47;39,False,1.0,0.0055,0.0046,0.004,0.0005177522202286331,True,0.9998314709236032,0.9979669963351298,1.0,0.9915312021911151,0.22548470000037923,0.017985899990890175,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,same feature set as remove_all_high_risk_separator_candidates; included for explicit protocol coverage
train_using_only_top3_separators,holdout_bin_5,43,3,all_except_46;47;39,True,1.0,0.0011,0.0,0.0,0.028793639754467575,True,0.999961117445838,0.9995621333990775,1.0,0.9980461028059339,0.09098599996650591,0.014596200024243444,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,diagnostic only; not a candidate method
full_original100_reference,holdout_bin_5,44,100,,False,1.0,0.0001,0.0038,0.0,0.0022446100629677683,True,1.0,1.0,1.0,1.0,0.2235272999969311,0.019951700000092387,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,full frozen candidate rerun
remove_top1_separator,holdout_bin_5,44,99,46,False,1.0,0.0,0.0046,0.0,0.0031253702854978985,True,1.0,1.0,1.0,0.9999999999999999,0.2354983999975957,0.02309989999048412,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-1 separator removed
remove_top2_separators,holdout_bin_5,44,98,46;47,False,0.9942987457240593,0.0051,0.0016,0.004,0.0008027070808490437,True,0.9970446978335233,0.9940278650781382,0.9942987457240593,0.9939950608229287,0.20659850002266467,0.01546939997933805,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-2 separators removed
remove_top3_separators,holdout_bin_5,44,97,46;47;39,False,0.7787913340935005,0.0028,0.0022,0.0035,0.0010709270414668082,True,0.9111756556442416,0.8414313694816831,0.8095781071835804,0.8884158534978198,0.22570220002671704,0.018689400050789118,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-3 separators removed
remove_all_high_risk_separator_candidates,holdout_bin_5,44,97,46;47;39,False,0.7787913340935005,0.0028,0.0022,0.0035,0.0010709270414668082,True,0.9111756556442416,0.8414313694816831,0.8095781071835804,0.8884158534978198,0.2394893000018783,0.019672100024763495,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,all issue27g high-cardinality near-perfect separators removed
keep_only_non_separator_features,holdout_bin_5,44,97,46;47;39,False,0.7787913340935005,0.0028,0.0022,0.0035,0.0010709270414668082,True,0.9111756556442416,0.8414313694816831,0.8095781071835804,0.8884158534978198,0.22616679995553568,0.021316700032912195,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,same feature set as remove_all_high_risk_separator_candidates; included for explicit protocol coverage
train_using_only_top3_separators,holdout_bin_5,44,3,all_except_46;47;39,True,1.0,0.0011,0.0,0.0,0.03512844102345045,True,0.9999661345496009,0.9996186323153256,1.0,0.9982982185729101,0.10107769997557625,0.014966899994760752,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,diagnostic only; not a candidate method
full_original100_reference,holdout_bin_5,45,100,,False,1.0,0.0001,0.005,0.0,0.002373266194002607,True,1.0,1.0,1.0,1.0,0.23382180003682151,0.021100499958265573,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,full frozen candidate rerun
remove_top1_separator,holdout_bin_5,45,99,46,False,1.0,0.0,0.005,0.0,0.0032766922107740925,True,1.0,1.0,1.0,1.0,0.2228703000000678,0.021286599978338927,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-1 separator removed
remove_top2_separators,holdout_bin_5,45,98,46;47,False,0.9942987457240593,0.0088,0.0042,0.005,0.0006054292408375738,True,0.9970572976054731,0.9940772023837002,0.9942987457240593,0.9942127971671355,0.19724419998237863,0.016179399972315878,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-2 separators removed
remove_top3_separators,holdout_bin_5,45,97,46;47;39,False,0.790193842645382,0.004,0.005,0.005,0.000874745750432161,True,0.910537913340935,0.8345540972079422,0.7947548460661346,0.8844278404565588,0.23445839999476448,0.020703300018794835,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-3 separators removed
remove_all_high_risk_separator_candidates,holdout_bin_5,45,97,46;47;39,False,0.790193842645382,0.004,0.005,0.005,0.000874745750432161,True,0.910537913340935,0.8345540972079422,0.7947548460661346,0.8844278404565588,0.22816410002997145,0.020220000005792826,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,all issue27g high-cardinality near-perfect separators removed
keep_only_non_separator_features,holdout_bin_5,45,97,46;47;39,False,0.790193842645382,0.004,0.005,0.005,0.000874745750432161,True,0.910537913340935,0.8345540972079422,0.7947548460661346,0.8844278404565588,0.260225799982436,0.01893349998863414,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,same feature set as remove_all_high_risk_separator_candidates; included for explicit protocol coverage
train_using_only_top3_separators,holdout_bin_5,45,3,all_except_46;47;39,True,1.0,0.0011,0.0,0.0,0.028722170766080038,True,0.999961117445838,0.9995621333990775,1.0,0.9980461028059339,0.09253199998056516,0.01574669999536127,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,diagnostic only; not a candidate method
full_original100_reference,holdout_bin_5,46,100,,False,1.0,0.0001,0.005,0.0,0.0019564629161505,True,1.0,0.9999999999999999,1.0,1.0,0.23092900001211092,0.018058500019833446,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,full frozen candidate rerun
remove_top1_separator,holdout_bin_5,46,99,46,False,1.0,0.0,0.005,0.0,0.003268438145802931,True,1.0,0.9999999999999998,1.0,1.0,0.22684990003472194,0.020652499981224537,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-1 separator removed
remove_top2_separators,holdout_bin_5,46,98,46;47,False,0.9828962371721779,0.0034,0.0,0.005,0.002139382898181459,True,0.9913324401368301,0.9840585707783759,0.9828962371721779,0.9905341989307999,0.22699070000089705,0.017769199970643967,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-2 separators removed
remove_top3_separators,holdout_bin_5,46,97,46;47;39,False,0.661345496009122,0.0041,0.002,0.005,0.001568449911590996,True,0.9103081527936147,0.8285726613033824,0.766248574686431,0.8346252356422936,0.22007169999415055,0.01944320002803579,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-3 separators removed
remove_all_high_risk_separator_candidates,holdout_bin_5,46,97,46;47;39,False,0.661345496009122,0.0041,0.002,0.005,0.001568449911590996,True,0.9103081527936147,0.8285726613033824,0.766248574686431,0.8346252356422936,0.21925979998195544,0.016715799982193857,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,all issue27g high-cardinality near-perfect separators removed
keep_only_non_separator_features,holdout_bin_5,46,97,46;47;39,False,0.661345496009122,0.0041,0.002,0.005,0.001568449911590996,True,0.9103081527936147,0.8285726613033824,0.766248574686431,0.8346252356422936,0.22797829995397478,0.020716400002129376,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,same feature set as remove_all_high_risk_separator_candidates; included for explicit protocol coverage
train_using_only_top3_separators,holdout_bin_5,46,3,all_except_46;47;39,True,1.0,0.0011,0.0,0.0,0.03620358870092875,True,0.9999598631698974,0.9995480086700155,1.0,0.9979830738641897,0.08950930001446977,0.015724600001703948,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,diagnostic only; not a candidate method
full_original100_reference,holdout_bin_5,47,100,,False,1.0,0.0001,0.001,0.0,0.002931208700896876,True,1.0,1.0,1.0,1.0,0.23834370000986382,0.02366150001762435,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,full frozen candidate rerun
remove_top1_separator,holdout_bin_5,47,99,46,False,1.0,0.0,0.0048,0.0,0.004730739010798762,True,1.0,1.0000000000000002,1.0,1.0,0.23329250002279878,0.021740199998021126,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-1 separator removed
remove_top2_separators,holdout_bin_5,47,98,46;47,False,0.9942987457240593,0.0089,0.0028,0.005,0.0003038852542430017,True,0.999441448118586,0.9960395412664999,0.9942987457240593,0.9935968325091822,0.23966550000477582,0.020000900025479496,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-2 separators removed
remove_top3_separators,holdout_bin_5,47,97,46;47;39,False,0.9771949828962372,0.0024,0.004,0.0015,0.0012033013753508493,True,0.9997752565564424,0.9971872130695211,1.0,0.9887063596202219,0.2492997000226751,0.016291200008708984,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-3 separators removed
remove_all_high_risk_separator_candidates,holdout_bin_5,47,97,46;47;39,False,0.9771949828962372,0.0024,0.004,0.0015,0.0012033013753508493,True,0.9997752565564424,0.9971872130695211,1.0,0.9887063596202219,0.24180139997042716,0.02077520004240796,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,all issue27g high-cardinality near-perfect separators removed
keep_only_non_separator_features,holdout_bin_5,47,97,46;47;39,False,0.9771949828962372,0.0024,0.004,0.0015,0.0012033013753508493,True,0.9997752565564424,0.9971872130695211,1.0,0.9887063596202219,0.24614139995537698,0.019135299953632057,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,same feature set as remove_all_high_risk_separator_candidates; included for explicit protocol coverage
train_using_only_top3_separators,holdout_bin_5,47,3,all_except_46;47;39,True,1.0,0.0011,0.0,0.0,0.03665292197061979,True,0.999961117445838,0.9995621333990775,1.0,0.9980461028059339,0.10177439998369664,0.01650069997413084,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,diagnostic only; not a candidate method
full_original100_reference,holdout_bin_5,48,100,,False,1.0,0.0001,0.0048,0.0,0.0022684978550211762,True,1.0,1.0,1.0,1.0,0.23297010001260787,0.021657600009348243,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,full frozen candidate rerun
remove_top1_separator,holdout_bin_5,48,99,46,False,1.0,0.0,0.005,0.0,0.0037703742150252033,True,1.0,1.0,1.0,1.0,0.23151190002681687,0.021171799977310002,60,histgb_d2_lr005_l2p1_ood4_sup4_t0050,False,False,predefined top-1 separator removed
