holdout,seed,feature_index,mapped_kitnet_family,lambda,mapped_statistic_type,feature_name_if_available,source_code_location_if_recoverable,is_separator_top3,base_final_auc,permuted_final_auc,final_auc_drop,base_validation_auc,permuted_validation_auc,validation_auc_drop,base_attack_detection,permuted_attack_detection,attack_detection_drop,threshold_fixed_for_explanation,final_eval_used_for_selection,importance_scope
holdout_bin_7,42,12,MI_dir,0.01,weight,MI_dir_weight_lambda_0.01,repo/kitsune_frontend_original/netStat.py:84-87; repo/kitsune_frontend_original/AfterImage.py:80-86,False,1.0,0.919470815074496,0.08052918492550398,1.0,0.9924955357142857,0.007504464285714274,1.0,1.0,0.0,0.004060287446035465,False,report_only_permutation_on_validation_and_final_views
holdout_bin_6,42,12,MI_dir,0.01,weight,MI_dir_weight_lambda_0.01,repo/kitsune_frontend_original/netStat.py:84-87; repo/kitsune_frontend_original/AfterImage.py:80-86,False,1.0,0.9481562437562437,0.051843756243756256,1.0,0.9957321428571428,0.0042678571428571566,1.0,1.0,0.0,0.0027425230893707965,False,report_only_permutation_on_validation_and_final_views
holdout_bin_5,42,12,MI_dir,0.01,weight,MI_dir_weight_lambda_0.01,repo/kitsune_frontend_original/netStat.py:84-87; repo/kitsune_frontend_original/AfterImage.py:80-86,False,1.0,0.9551356898517673,0.04486431014823267,1.0,0.99578125,0.004218750000000049,1.0,1.0,0.0,0.002742447041334866,False,report_only_permutation_on_validation_and_final_views
holdout_bin_8,42,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,True,1.0,0.9949532863849765,0.005046713615023513,1.0,1.0,0.0,1.0,0.9577464788732394,0.04225352112676062,0.0016210777571729795,False,report_only_permutation_on_validation_and_final_views
holdout_bin_5,42,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,True,1.0,0.9983945267958952,0.001605473204104757,1.0,1.0,0.0,1.0,0.9828962371721779,0.01710376282782211,0.002742447041334866,False,report_only_permutation_on_validation_and_final_views
holdout_bin_6,42,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,True,1.0,0.9986954045954046,0.0013045954045953767,1.0,1.0,0.0,1.0,0.988011988011988,0.011988011988012026,0.0027425230893707965,False,report_only_permutation_on_validation_and_final_views
holdout_bin_7,42,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,True,1.0,0.9992744084136722,0.0007255915863277895,1.0,1.0,0.0,1.0,0.992988606485539,0.007011393514461006,0.004060287446035465,False,report_only_permutation_on_validation_and_final_views
holdout_bin_7,42,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,True,1.0,0.9998833479404031,0.00011665205959687786,1.0,0.9999776785714286,2.232142857139241e-05,1.0,0.9973707274320771,0.002629272567922891,0.004060287446035465,False,report_only_permutation_on_validation_and_final_views
holdout_bin_8,42,12,MI_dir,0.01,weight,MI_dir_weight_lambda_0.01,repo/kitsune_frontend_original/netStat.py:84-87; repo/kitsune_frontend_original/AfterImage.py:80-86,False,1.0,0.9999,9.999999999998899e-05,1.0,0.9934642857142858,0.0065357142857142,1.0,1.0,0.0,0.0016210777571729795,False,report_only_permutation_on_validation_and_final_views
holdout_bin_6,42,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,True,1.0,0.999978021978022,2.1978021978008577e-05,1.0,1.0,0.0,1.0,1.0,0.0,0.0027425230893707965,False,report_only_permutation_on_validation_and_final_views
holdout_bin_5,42,0,MI_dir,5.0,weight,MI_dir_weight_lambda_5,repo/kitsune_frontend_original/netStat.py:84-87; repo/kitsune_frontend_original/AfterImage.py:80-86,False,1.0,0.9999999999999999,1.1102230246251565e-16,1.0,1.0,0.0,1.0,1.0,0.0,0.002742447041334866,False,report_only_permutation_on_validation_and_final_views
holdout_bin_6,42,48,HH,0.01,covariance,HH_covariance_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,False,1.0,0.9999999999999999,1.1102230246251565e-16,1.0,1.0,0.0,1.0,1.0,0.0,0.0027425230893707965,False,report_only_permutation_on_validation_and_final_views
