holdout,feature_index,mapped_kitnet_family,lambda,mapped_statistic_type,feature_name_if_available,source_code_location_if_recoverable,split,n,min,max,mean,median,std,q01,q05,q50,q95,q99,missing_rate,unique_count,ks_distance_vs_final_ood_eval,ks_distance_vs_attack_eval,attack_vs_ood_best_single_feature_auc,support_vs_attack_eval_ks,support_vs_attack_eval_median_abs_delta
holdout_bin_5,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_train,8000,0.0,497159.1875,136646.52241796875,140907.640625,43190.80110936678,27119.74853515625,28929.146484375,140907.640625,153286.5257812499,294652.875,0.0,7833,0.8934249999999999,0.9995,1.0,0.6875,408785.21875
holdout_bin_5,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_train,8000,0.0,445534.5625,27246.806919813873,20838.673828125,26390.48733248436,18784.03373046875,19438.70302734375,20838.673828125,63817.552539062475,124733.25312500077,0.0,7842,0.05017499999999997,0.99925,1.0,0.6875,408785.21875
holdout_bin_5,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_calib,5000,24510.9296875,143586.703125,131691.1830828125,140396.2421875,29797.628571462086,27203.701171875,29434.84296875,140396.2421875,142181.14140625,143081.59109375,0.0,4906,0.8985,1.0,1.0,0.6875,408785.21875
holdout_bin_5,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_val,2000,18321.919921875,336423.4375,26870.917158203127,20848.2744140625,25308.555427768115,19000.07099609375,19499.1650390625,20848.2744140625,60421.9587890625,121465.93499999992,0.0,1972,0.040100000000000025,1.0,1.0,0.6875,408785.21875
holdout_bin_5,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_eval,10000,18225.912109375,846673.5,31771.094971875,20870.3193359375,43146.886966022976,18976.27826171875,19470.86181640625,20870.3193359375,80788.24179687495,254457.28890625015,0.0,9831,0.0,1.0,1.0,0.6875,408785.21875
holdout_bin_5,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,support,32,99.44450378417969,511267.09375,278623.28170728683,411395.03125,217187.31271748425,148.79262405395508,261.54028472900393,411395.03125,506995.225,510114.571875,0.0,28,0.6225,0.6875,1.0,0.6875,408785.21875
holdout_bin_5,46,HH,0.01,radius,HH_radius_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,attack_eval,877,165.3289794921875,2708.16748046875,2422.1981844059283,2609.82666015625,626.4291923603298,187.50477600097656,242.9989959716797,2609.82666015625,2692.833935546875,2703.799638671875,0.0,861,1.0,0.0,1.0,0.6875,408785.21875
holdout_bin_5,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_train,8000,165.68162536621094,926.5728149414062,384.20066787338254,396.37493896484375,65.14288622141838,183.82336502075196,189.9267318725586,396.37493896484375,410.4891906738281,523.3588531494141,0.0,7901,0.908675,1.0,1.0,0.65625,923.0093994140625
holdout_bin_5,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,ood_train,8000,191.05288696289062,516.7665405273438,244.81271438598634,243.65838623046875,20.03669767714532,209.2815692138672,221.59700622558594,243.65838623046875,264.7716781616211,337.6491918945314,0.0,7903,0.06284999999999996,1.0,1.0,0.65625,923.0093994140625
holdout_bin_5,47,HH,0.01,magnitude,HH_magnitude_lambda_0.01,repo/kitsune_frontend_original/netStat.py:89-92; repo/kitsune_frontend_original/AfterImage.py:80-86,id_calib,5000,175.09266662597656,407.0069274902344,380.2897307739258,396.2749328613281,55.22255344786055,183.08471008300782,192.02120132446288,396.2749328613281,402.04584045410155,404.5951528930664,0.0,4922,0.9126,1.0,1.0,0.65625,923.0093994140625
