csv_file_id,csv_archive_path,pcap_counterpart_candidate,pcap_pairing_confidence,pcap_pairing_candidate_count,future_feature_extraction_status,notes
1,processed/iotsim-cooler-motor-15.csv,raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
2,processed/iotsim-cooler-motor-14.csv,raw/benign/iotsim-cooler-motor-14_0-0_to_OpenvSwitch-20_4-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
3,processed/iotsim-cooler-motor-13.csv,raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
4,processed/iotsim-cooler-motor-8.csv,raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
5,processed/iotsim-cooler-motor-9.csv,raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
6,processed/iotsim-cooler-motor-12.csv,raw/benign/iotsim-cooler-motor-12_0-0_to_OpenvSwitch-20_2-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
7,processed/iotsim-cooler-motor-10.csv,raw/benign/iotsim-cooler-motor-10_0-0_to_OpenvSwitch-18_10-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
8,processed/iotsim-hydraulic-system-8.csv,raw/benign/iotsim-hydraulic-system-8_0-0_to_OpenvSwitch-15_8-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
9,processed/iotsim-hydraulic-system-9.csv,raw/benign/iotsim-hydraulic-system-9_0-0_to_OpenvSwitch-15_9-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
10,processed/iotsim-cooler-motor-11.csv,raw/benign/iotsim-cooler-motor-11_0-0_to_OpenvSwitch-20_1-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
11,processed/iotsim-hydraulic-system-12.csv,raw/benign/iotsim-hydraulic-system-12_0-0_to_OpenvSwitch-16_2-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
12,processed/iotsim-predictive-maintenance-8.csv,raw/benign/iotsim-predictive-maintenance-8_0-0_to_OpenvSwitch-19_8-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
13,processed/iotsim-ip-camera-museum-1.csv,raw/benign/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,medium_filename_path_match,5,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
14,processed/iotsim-building-monitor-3.csv,raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
15,processed/iotsim-building-monitor-2.csv,raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
16,processed/iotsim-predictive-maintenance-9.csv,raw/benign/iotsim-predictive-maintenance-9_0-0_to_OpenvSwitch-19_9-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
17,processed/iotsim-hydraulic-system-13.csv,raw/benign/iotsim-hydraulic-system-13_0-0_to_OpenvSwitch-16_3-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
18,processed/iotsim-hydraulic-system-11.csv,raw/benign/iotsim-hydraulic-system-11_0-0_to_OpenvSwitch-16_1-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
19,processed/iotsim-ip-camera-museum-2.csv,raw/benign/iotsim-ip-camera-museum-2_0-0_to_OpenvSwitch-29_2-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
20,processed/iotsim-building-monitor-1.csv,raw/benign/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,medium_filename_path_match,5,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
21,processed/iotsim-hydraulic-system-10.csv,raw/benign/iotsim-hydraulic-system-10_0-0_to_OpenvSwitch-15_10-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
22,processed/iotsim-combined-cycle-9.csv,raw/benign/iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
23,processed/iotsim-hydraulic-system-14.csv,raw/benign/iotsim-hydraulic-system-14_0-0_to_OpenvSwitch-16_4-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
24,processed/iotsim-ip-camera-street-2.csv,raw/benign/iotsim-ip-camera-street-2_0-0_to_OpenvSwitch-24_2-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
25,processed/iotsim-building-monitor-5.csv,raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
26,processed/iotsim-combined-cycle-10.csv,raw/benign/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,medium_filename_path_match,5,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
27,processed/iotsim-building-monitor-4.csv,raw/benign/iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
28,processed/iotsim-hydraulic-system-15.csv,raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
29,processed/iotsim-combined-cycle-8.csv,raw/benign/iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
30,processed/iotsim-ip-camera-street-1.csv,raw/benign/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,medium_filename_path_match,5,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
31,processed/iotsim-combined-cycle-6.csv,raw/benign/iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
32,processed/iotsim-stream-consumer-1.csv,raw/benign/iotsim-stream-consumer-1_0-0_to_OpenvSwitch-30_1-0.pcap,medium_filename_path_match,1,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
33,processed/iotsim-predictive-maintenance-1.csv,raw/benign/iotsim-predictive-maintenance-10_0-0_to_OpenvSwitch-19_10-0.pcap,medium_filename_path_match,7,needs_packet_count_or_sampled_pcap_validation,filename/path token pairing only; no PCAP extraction in issue27y
