group,delta,c1_score_at_delta,L1_final_hard_rate,L1_veto_fire_rate,L1_newly_fired_rate,L2_final_hard_rate,L2_newly_fired_rate,n_rows,n_c1_covered,m7_hard_rate,frozen_ckbq_hard_rate
support_val_69,-0.99,0.008085199899140028,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.980010101010101,0.01807509888903902,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.970020202020202,0.028064997878938014,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.960030303030303,0.03805489686883701,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.950040404040404,0.048044795858736,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.940050505050505,0.05803469484863499,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.930060606060606,0.06802459383853399,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.920070707070707,0.07801449282843298,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.910080808080808,0.08800439181833197,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.900090909090909,0.09799429080823097,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.8901010101010101,0.10798418979812996,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.8801111111111111,0.11797408878802895,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.8701212121212121,0.12796398777792795,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.8601313131313131,0.13795388676782694,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.8501414141414141,0.14794378575772593,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.8401515151515151,0.15793368474762493,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.8301616161616161,0.16792358373752392,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.8201717171717171,0.1779134827274229,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.8101818181818181,0.1879033817173219,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.8001919191919191,0.1978932807072209,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.7902020202020201,0.2078831796971199,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.7802121212121212,0.21787307868701877,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.7702222222222223,0.22786297767691777,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.7602323232323233,0.23785287666681676,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.7502424242424243,0.24784277565671575,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.7402525252525253,0.25783267464661475,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.7302626262626263,0.26782257363651374,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.7202727272727273,0.27781247262641273,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.7102828282828283,0.2878023716163117,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.7002929292929293,0.2977922706062107,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.6903030303030303,0.3077821695961097,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.6803131313131313,0.3177720685860087,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.6703232323232323,0.3277619675759077,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.6603333333333333,0.3377518665658067,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.6503434343434343,0.3477417655557057,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.6403535353535353,0.3577316645456047,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.6303636363636363,0.36772156353550367,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.6203737373737374,0.37771146252540266,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.6103838383838384,0.38770136151530166,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.6003939393939394,0.39769126050520065,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.5904040404040404,0.40768115949509964,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.5804141414141415,0.4176710584849985,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.5704242424242425,0.4276609574748975,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.5604343434343435,0.4376508564647965,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
support_val_69,-0.5504444444444445,0.4476407554546955,1.0,1.0,0.0,1.0,0.0,69,69,1.0,1.0
