group,n,distinct_margins,share_at_group_max,margin_max
support_val_69,69,16,0.37681159420289856,0.001572571694504754
aux_select_3000,3000,1,1.0,0.0019148001008599813
aux_normal_select_ton_4000,0,0,,
ood_hydraulic_3000,3000,60,0.004,0.0013639425777629555
ood_ip_camera_street_3000,3000,31,0.311,0.001572571694504754
ood_predictive_maintenance_9000,9000,1,1.0,0.0019148001008599813
ood_stream_consumer_3000,3000,20,0.23066666666666666,0.001572571694504754
same_file_query_2486,2486,221,0.04947707160096541,0.0015691872863947687
sealed_final_attack_110104,110104,648,0.2930774540434498,0.001572571694504754
attack_Merlin C&C Communication,9921,43,0.0034270738836810807,0.001572571694504754
attack_Telnet Brute Force,24712,977,0.0011735189381676919,0.001572571694504754
attack_Ingress Tool Transfer,3983,270,0.04820487070047703,0.0015691872863947687
attack_Reporting,93,39,0.053763440860215055,0.001572571694504754
attack_TCP Scan,24711,1280,0.0006474849257415726,0.001572571694504754
attack_Mirai C&C Communication,367,77,0.0027247956403269754,0.0012846734605987953
attack_CoAP Amplification,320,10,0.003125,-0.009878629511956616
attack_UDP Scan,113,16,0.008849557522123894,-0.01104723736312585
