index,object_label,detector_family,score_label,policy_name,id_alarm_ratio_mean,id_alarm_ratio_std,id_alarm_ratio_count,ood_alarm_ratio_eval_mean,ood_alarm_ratio_eval_std,ood_alarm_ratio_eval_count,attack_detection_high_purity_mean,attack_detection_high_purity_std,attack_detection_high_purity_count,attack_detection_boundary_mean,attack_detection_boundary_std,attack_detection_boundary_count,roc_auc_attack_high_vs_ood_eval_mean,roc_auc_attack_high_vs_ood_eval_std,roc_auc_attack_high_vs_ood_eval_count,row_type,baseline_category,training_mode,uses_attack_labels,source_mode
0,da__default_score,da,default_score,det_floor_50pct_min_alarm,0.0004,0.0,3,0.07537777777777772,0.0008146801235476927,3,0.5016737010624364,0.0010187745597438624,3,0.9100488306347984,0.004647427735807057,3,0.8096224971296432,0.012824341755154806,3,aggregate,existing_reference,existing_reference,False,reused_existing_transformer_da_reference
1,da__default_score,da,default_score,fixed_id_q99,0.01,0.0,3,0.1321555555555555,0.005097421279794673,3,0.8013874739242226,0.016665565007143435,3,0.9974299665895657,0.0004451428444022457,3,0.8096224971296432,0.012824341755154806,3,aggregate,existing_reference,existing_reference,False,reused_existing_transformer_da_reference
2,da__default_score,da,default_score,naive_calibrated_budget5000_target1pct,0.0,0.0,3,0.015155555555555533,3.8490017945993845e-05,3,0.0011643137825644,0.0,3,0.0023130300693909,0.0,3,0.8096224971296432,0.012824341755154806,3,aggregate,existing_reference,existing_reference,False,reused_existing_transformer_da_reference
3,isolation_forest,isolation_forest,default_score,det_floor_50pct_min_alarm,0.0061333333333333335,0.002500666577801473,3,0.27024444444444445,0.16301656811956716,3,0.50089749187406,0.0003662656787110439,3,0.781290156772038,0.04632053001657493,3,0.6013582949271495,0.10636908889446559,3,aggregate,external_unsupervised,unsupervised_id_only,False,computed_now
4,isolation_forest,isolation_forest,default_score,fixed_id_q99,0.01,0.0,3,0.4068666666666667,0.13432557463119227,3,0.5749769562897201,0.05325549106120232,3,0.8301207915702905,0.0362484057497409,3,0.6013582949271495,0.10636908889446559,3,aggregate,external_unsupervised,unsupervised_id_only,False,computed_now
5,isolation_forest,isolation_forest,default_score,naive_calibrated_budget5000_target1pct,0.0,0.0,3,0.014311111111111113,0.00027755546659548433,3,0.03056323679231553,0.009718489899459495,3,0.27807761500899514,0.06024412680595361,3,0.6013582949271495,0.10636908889446559,3,aggregate,external_unsupervised,unsupervised_id_only,False,computed_now
6,latent_swap_spike_mix__log_weighted_z_rmse0.5_cos1.0,latent_swap_spike_mix,log_weighted_z_rmse0.5_cos1.0,det_floor_50pct_min_alarm,0.0037333333333333333,0.005460158727851539,3,0.1319333333333333,0.07489996291350512,3,0.5009945180226071,0.0008527820225705248,3,0.781804163454125,0.025664328414947233,3,0.7327391063891718,0.035614521908845176,3,aggregate,existing_reference,existing_reference,False,reused_existing_transformer_da_reference
7,latent_swap_spike_mix__log_weighted_z_rmse0.5_cos1.0,latent_swap_spike_mix,log_weighted_z_rmse0.5_cos1.0,fixed_id_q99,0.01,0.0,3,0.2161333333333333,0.05494546791541996,3,0.6353272206859749,0.11752689502551233,3,0.8876895399640196,0.11034425802541577,3,0.7327391063891718,0.035614521908845176,3,aggregate,existing_reference,existing_reference,False,reused_existing_transformer_da_reference
8,latent_swap_spike_mix__log_weighted_z_rmse0.5_cos1.0,latent_swap_spike_mix,log_weighted_z_rmse0.5_cos1.0,naive_calibrated_budget5000_target1pct,0.0,0.0,3,0.014022222222222167,0.0003355481971231603,3,0.0009702614854703332,0.00016805421894618692,3,0.0017990233873040335,0.00044514284440217816,3,0.7327391063891718,0.035614521908845176,3,aggregate,existing_reference,existing_reference,False,reused_existing_transformer_da_reference
9,lof_novelty,lof_novelty,default_score,det_floor_50pct_min_alarm,0.0014,0.0,3,0.6296666666666667,0.0,3,0.5003638480570514,0.0,3,0.9699306090979182,0.0,3,0.4487711541260369,0.0,3,aggregate,external_unsupervised,unsupervised_id_only,False,computed_now
10,lof_novelty,lof_novelty,default_score,fixed_id_q99,0.01,0.0,3,0.9741333333333332,0.0,3,0.8758550429340707,0.0,3,0.9969159599074788,0.0,3,0.4487711541260369,0.0,3,aggregate,external_unsupervised,unsupervised_id_only,False,computed_now
11,lof_novelty,lof_novelty,default_score,naive_calibrated_budget5000_target1pct,0.0,0.0,3,0.015533333333333335,0.0,3,0.0005821568912822005,0.0,3,0.0,0.0,3,0.4487711541260369,0.0,3,aggregate,external_unsupervised,unsupervised_id_only,False,computed_now
12,oneclass_svm,oneclass_svm,default_score,det_floor_50pct_min_alarm,0.0,0.0,3,0.0754,0.0,3,0.5019647795080774,0.0,3,0.9421742482652274,0.0,3,0.7826527046038908,0.0,3,aggregate,external_unsupervised,unsupervised_id_only,False,computed_now
13,oneclass_svm,oneclass_svm,default_score,fixed_id_q99,0.01,0.0,3,0.8978666666666667,0.0,3,0.9706010769902488,0.0,3,0.9992289899768697,0.0,3,0.7826527046038908,0.0,3,aggregate,external_unsupervised,unsupervised_id_only,False,computed_now
14,oneclass_svm,oneclass_svm,default_score,naive_calibrated_budget5000_target1pct,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.0,0.0,3,0.7826527046038908,0.0,3,aggregate,external_unsupervised,unsupervised_id_only,False,computed_now
15,random_forest_mixed_attack_upper,random_forest_mixed_attack_upper,default_score,det_floor_50pct_min_alarm,0.0,0.0,3,0.0,0.0,3,0.5042448939989327,0.002766521598871246,3,0.9992289899768697,0.0,3,0.9998072898979609,9.993856751948668e-05,3,aggregate,supervised_upper_bound,supervised_upper_bound_mixed_attack_train_high_attack_eval,True,computed_now
16,random_forest_mixed_attack_upper,random_forest_mixed_attack_upper,default_score,fixed_id_q99,0.0096,0.0004000000000000006,3,0.9996444444444444,0.0006158402871356131,3,1.0,0.0,3,1.0,0.0,3,0.9998072898979609,9.993856751948668e-05,3,aggregate,supervised_upper_bound,supervised_upper_bound_mixed_attack_train_high_attack_eval,True,computed_now
17,random_forest_mixed_attack_upper,random_forest_mixed_attack_upper,default_score,naive_calibrated_budget5000_target1pct,0.0,0.0,3,0.005177777777777778,0.0007343427396381473,3,0.9955367971668364,0.0028606263984486614,3,1.0,0.0,3,0.9998072898979609,9.993856751948668e-05,3,aggregate,supervised_upper_bound,supervised_upper_bound_mixed_attack_train_high_attack_eval,True,computed_now
18,transformer__default_score,transformer,default_score,det_floor_50pct_min_alarm,0.0412,0.036871126915243586,3,0.6584666666666666,0.505250885974263,3,0.5025469363993597,0.0010987970361330968,3,0.8560781290156773,0.05281465556654233,3,0.45494819288798327,0.14786815759674954,3,aggregate,existing_reference,existing_reference,False,reused_existing_transformer_da_reference
19,transformer__default_score,transformer,default_score,fixed_id_q99,0.01,0.0,3,0.45822222222222225,0.33978186684553524,3,0.4691699412991801,0.19558599877995902,3,0.8285787715240298,0.12864859244147114,3,0.45494819288798327,0.14786815759674954,3,aggregate,existing_reference,existing_reference,False,reused_existing_transformer_da_reference
20,transformer__default_score,transformer,default_score,naive_calibrated_budget5000_target1pct,0.0,0.0,3,0.015488888888888835,0.0008335555259338065,3,0.0012128268568379,0.0003662656787110172,3,0.0023130300693909,0.0007710100231303,3,0.45494819288798327,0.14786815759674954,3,aggregate,existing_reference,existing_reference,False,reused_existing_transformer_da_reference
