policy_name,threshold_source,selection_feasible,roc_auc_attack_high_vs_ood_eval,threshold,id_alarm_ratio,ood_alarm_ratio_full,ood_alarm_ratio_eval,attack_detection_all,attack_detection_high_purity,attack_detection_boundary,object_label,score_label,id_q,raw_q
fixed_id_q0p9995,id_only_q0p9995,True,0.8769834667442876,1.1618370888829086,0.0006,0.0765,0.0796,0.6512,0.5550865958375782,0.9013107170393215,mean_gate_rawq0p9995,mean_gate_rawq0p9995,0.9995,0.9995
fixed_id_q0p9995,id_only_q0p9995,True,0.829746509484306,1.1618186417398302,0.0006,0.077,0.0802,0.6013,0.4906127201280745,0.8843484965304549,median_gate_rawq0p9995,median_gate_rawq0p9995,0.9995,0.9995
fixed_id_q0p9995,id_only_q0p9995,True,0.8780930189686121,1.1618370888829086,0.0006,0.07825,0.08126666666666667,0.667,0.5758987047009169,0.9059367771781033,mean_gate_rawq0p999,mean_gate_rawq0p999,0.9995,0.999
fixed_id_q0p9995,id_only_q0p9995,True,0.830458962790472,1.1618186417398302,0.0006,0.07975,0.08286666666666667,0.6128,0.5051666424101295,0.8943716268311488,median_gate_rawq0p999,median_gate_rawq0p999,0.9995,0.999
fixed_id_q0p999,id_only_q0p999,True,0.829746509484306,1.1510037891052256,0.001,0.081,0.0842,0.6185,0.5133168388880803,0.8951426368542791,median_gate_rawq0p9995,median_gate_rawq0p9995,0.999,0.9995
fixed_id_q0p999,id_only_q0p999,True,0.8769834667442876,1.1425142728392035,0.001,0.0829,0.08546666666666666,0.6838,0.598166205792461,0.9113338473400154,mean_gate_rawq0p9995,mean_gate_rawq0p9995,0.999,0.9995
fixed_id_q0p999,id_only_q0p999,True,0.830458962790472,1.1510037891052256,0.001,0.08385,0.08713333333333333,0.6303,0.5284529180614176,0.9020817270624518,median_gate_rawq0p999,median_gate_rawq0p999,0.999,0.999
fixed_id_q0p999,id_only_q0p999,True,0.8780930189686121,1.1425142728392035,0.001,0.08535,0.08773333333333333,0.7004,0.6194149323242614,0.9159599074787972,mean_gate_rawq0p999,mean_gate_rawq0p999,0.999,0.999
fixed_id_q0p9995,id_only_q0p9995,True,0.8779940814049385,1.1618370888829086,0.0006,0.0898,0.0924,0.7366,0.6681705719691456,0.9244410177332305,mean_gate_rawq0p998,mean_gate_rawq0p998,0.9995,0.998
fixed_id_q0p9995,id_only_q0p9995,True,0.8485090185805074,1.1618186417398302,0.0006,0.09215,0.09533333333333334,0.6699,0.5776451753747635,0.9290670778720124,median_gate_rawq0p998,median_gate_rawq0p998,0.9995,0.998
fixed_id_q0p999,id_only_q0p999,True,0.8485090185805074,1.1510037891052256,0.001,0.09625,0.09946666666666666,0.6868,0.5999126764663076,0.9336931380107941,median_gate_rawq0p998,median_gate_rawq0p998,0.999,0.998
fixed_id_q0p997,id_only_q0p997,True,0.8769834667442876,1.1005933975215991,0.003,0.09835,0.10066666666666667,0.7583,0.6956774850822297,0.9313801079414032,mean_gate_rawq0p9995,mean_gate_rawq0p9995,0.997,0.9995
fixed_id_q0p999,id_only_q0p999,True,0.8779940814049385,1.1425142728392035,0.001,0.1003,0.1026,0.7747,0.7173628292824916,0.9390902081727063,mean_gate_rawq0p998,mean_gate_rawq0p998,0.999,0.998
fixed_id_q0p997,id_only_q0p997,True,0.829746509484306,1.0995018212771883,0.003,0.10095,0.10346666666666667,0.6958,0.612720128074516,0.930609097918273,median_gate_rawq0p9995,median_gate_rawq0p9995,0.997,0.9995
fixed_id_q0p997,id_only_q0p997,True,0.8780930189686121,1.1005933975215991,0.003,0.1023,0.10433333333333333,0.7796,0.7230388589724931,0.9406322282189669,mean_gate_rawq0p999,mean_gate_rawq0p999,0.997,0.999
fixed_id_q0p997,id_only_q0p997,True,0.830458962790472,1.0995018212771883,0.003,0.1047,0.10733333333333334,0.7102,0.6307669917042643,0.9375481881264457,median_gate_rawq0p999,median_gate_rawq0p999,0.997,0.999
fixed_id_q0p997,id_only_q0p997,True,0.8779940814049385,1.1005933975215991,0.003,0.11855,0.11993333333333334,0.8526,0.818803667588415,0.9575944487278335,mean_gate_rawq0p998,mean_gate_rawq0p998,0.997,0.998
