evidence_group,method_or_case,role,input_mode,training_mode,uses_attack_labels,positive_budget,threshold_rule,runs,auc_mean,auc_min,auc_max,ood_alarm_mean,ood_alarm_max,det_mean,det_min,feasible_rate,source_run,paper_use,boundary
unsupervised_reference,"dA score, fixed q99",unsupervised reference,original_frontend_flat100,unsupervised_id_only_original_KitNET_dA,false,N/A,fixed_id_calib_q99,1,0.8064,0.8064,0.8064,0.1286,0.1286,0.6865,0.6865,0.0000,original100_fewshot_official_control_2026-04-22,"Reference baseline only","Not same label-information setting as few-shot."
unsupervised_reference,"dA score, guarded",unsupervised reference,original_frontend_flat100,unsupervised_id_only_original_KitNET_dA,false,N/A,guarded_id_calib_and_ood_val_target1pct,1,0.8064,0.8064,0.8064,0.0108,0.0108,0.0029,0.0029,0.0000,original100_fewshot_official_control_2026-04-22,"Low-OOD-alarm collapse reference","Not same label-information setting as few-shot."
official_control,original100 few-shot,target-aligned official control,original_frontend_flat100,fewshot_target_aligned_high_purity_attack,true,16,guarded_id_calib_and_ood_val_target1pct,5,0.9907,0.9580,1.0000,0.0044,0.0092,0.9676,0.9142,1.0000,original100_fewshot_official_control_2026-04-22,"Shows target alignment is primary lever","Official control; not source-rich-specific."
official_control,original100 few-shot,target-aligned official control,original_frontend_flat100,fewshot_target_aligned_high_purity_attack,true,32,guarded_id_calib_and_ood_val_target1pct,5,0.9846,0.9676,0.9999,0.0065,0.0098,0.9407,0.9207,1.0000,original100_fewshot_official_control_2026-04-22,"Confirms label-efficient target alignment","Official control; not source-rich-specific."
source_rich_current_split,source_rich v7.2 few-shot,target-aligned evidence,source_rich_v1_flat260,fewshot_target_aligned_high_purity_attack,true,16,guarded_id_calib_and_ood_val_target1pct,5,0.9776,0.9646,N/A,0.0056,0.0088,0.9487,0.9273,1.0000,frontend_f2_v7_2_fairness_validation_2026-04-22,"Positive source-rich current-split evidence","Does not prove average superiority over original100."
source_rich_current_split,source_rich v7.2 few-shot,target-aligned evidence,source_rich_v1_flat260,fewshot_target_aligned_high_purity_attack,true,32,guarded_id_calib_and_ood_val_target1pct,5,0.9776,0.9682,N/A,0.0074,0.0109,0.9587,0.9476,0.8000,frontend_f2_v7_2_fairness_validation_2026-04-22,"High detection current-split evidence","Some seeds exceed strict 1% alarm."
source_rich_comparison,source_rich v7.3 few-shot,DA comparison evidence,source_rich_v1_flat260,fewshot_target_aligned_high_purity_attack,true,16,guarded_id_calib_and_ood_val_target1pct,5,0.9776,0.9646,N/A,0.0056,0.0088,0.9487,0.9273,1.0000,frontend_f2_v7_3_da_fairness_comparison_2026-04-22,"Shows few-shot beats DA reference under low-alarm protocol","Compare to DA only as different label-information setting."
v7_4_hard_case,"chrono_late_train_early_eval, source_rich",hard-holdout robustness,source_rich_v1_flat260,fewshot_target_aligned_high_purity_attack,true,32,guarded_id_calib_and_ood_val_target1pct,5,0.9644,0.9494,N/A,0.0071,0.0099,0.8966,0.8549,1.0000,frontend_f2_v7_4_paired_holdout_fairness_2026-04-22,"Cleanest main-text source_rich hard-holdout case","Narrow case evidence only."
v7_4_paired_control,"chrono_late_train_early_eval, original100",paired hard-holdout control,original_frontend_flat100,fewshot_target_aligned_high_purity_attack,true,32,guarded_id_calib_and_ood_val_target1pct,5,0.7178,0.7030,N/A,0.0023,0.0029,0.6913,0.6824,1.0000,frontend_f2_v7_4_paired_holdout_fairness_2026-04-22,"Shows original100 miss-prone tail under reverse chronology","Original100 remains official control overall."
v7_4_appendix_case,"holdout_bin_2, source_rich 16-shot",hard-holdout robustness near target,source_rich_v1_flat260,fewshot_target_aligned_high_purity_attack,true,16,guarded_id_calib_and_ood_val_target1pct,5,0.9342,0.8490,N/A,0.0071,0.0109,0.8586,0.7129,0.8000,frontend_f2_v7_4_paired_holdout_fairness_2026-04-22,"Appendix source_rich robustness case","Alarm is near-target, not fully stable."
v7_4_paired_control,"holdout_bin_2, original100 16-shot",paired collapse case,original_frontend_flat100,fewshot_target_aligned_high_purity_attack,true,16,guarded_id_calib_and_ood_val_target1pct,5,0.3450,0.2404,N/A,0.0022,0.0029,0.2838,0.1736,1.0000,frontend_f2_v7_4_paired_holdout_fairness_2026-04-22,"Severe original100 segment collapse despite low alarm","Case-specific evidence."
v7_4_appendix_case,"holdout_bin_2, source_rich 32-shot",hard-holdout robustness near target,source_rich_v1_flat260,fewshot_target_aligned_high_purity_attack,true,32,guarded_id_calib_and_ood_val_target1pct,5,0.9631,0.9079,N/A,0.0090,0.0123,0.8680,0.7530,0.6000,frontend_f2_v7_4_paired_holdout_fairness_2026-04-22,"Appendix source_rich robustness case","Alarm is near-target, not fully stable."
v7_4_paired_control,"holdout_bin_2, original100 32-shot",paired collapse case,original_frontend_flat100,fewshot_target_aligned_high_purity_attack,true,32,guarded_id_calib_and_ood_val_target1pct,5,0.3971,0.3158,N/A,0.0022,0.0035,0.3231,0.2329,1.0000,frontend_f2_v7_4_paired_holdout_fairness_2026-04-22,"More positives do not rescue original100 on bin 2","Case-specific evidence."
