member,packets,target_hits,compressed_size,zip_crc32,parse_status,exact_home_hits,foreign_hits
raw/benign/iotsim-air-quality-1_0-0_to_OpenvSwitch-25_1-0.pcap,2391,0,231885,a537a336,ok,0,0
raw/benign/iotsim-building-monitor-1_0-0_to_OpenvSwitch-28_1-0.pcap,2376,0,241668,cd91e721,ok,0,0
raw/benign/iotsim-building-monitor-2_0-0_to_OpenvSwitch-28_2-0.pcap,2392,1690,242979,9d96e05a,ok,1690,0
raw/benign/iotsim-building-monitor-3_0-0_to_OpenvSwitch-28_3-0.pcap,2383,914,242429,615f59b4,ok,914,0
raw/benign/iotsim-building-monitor-4_0-0_to_OpenvSwitch-28_4-0.pcap,2389,0,242777,c15b823c,ok,0,0
raw/benign/iotsim-building-monitor-5_0-0_to_OpenvSwitch-28_5-0.pcap,2379,0,242197,0c748e66,ok,0,0
raw/benign/iotsim-city-power-1_0-0_to_OpenvSwitch-26_1-0.pcap,748,0,61208,c2f8ce93,ok,0,0
raw/benign/iotsim-combined-cycle-10_0-0_to_OpenvSwitch-13_10-0.pcap,1146,0,90229,3cd30111,ok,0,0
raw/benign/iotsim-combined-cycle-1_0-0_to_OpenvSwitch-13_1-0.pcap,1129,0,88898,0e4a5bf5,ok,0,0
raw/benign/iotsim-combined-cycle-2_0-0_to_OpenvSwitch-13_2-0.pcap,1132,0,89153,59fef680,ok,0,0
raw/benign/iotsim-combined-cycle-3_0-0_to_OpenvSwitch-13_3-0.pcap,1128,1,88840,aea54a45,ok,0,1
raw/benign/iotsim-combined-cycle-4_0-0_to_OpenvSwitch-13_4-0.pcap,1131,0,89102,257ba48e,ok,0,0
raw/benign/iotsim-combined-cycle-5_0-0_to_OpenvSwitch-13_5-0.pcap,1128,0,88847,717e1048,ok,0,0
raw/benign/iotsim-combined-cycle-6_0-0_to_OpenvSwitch-13_6-0.pcap,1131,0,89157,a567ea79,ok,0,0
raw/benign/iotsim-combined-cycle-7_0-0_to_OpenvSwitch-13_7-0.pcap,1129,0,88982,15e976da,ok,0,0
raw/benign/iotsim-combined-cycle-8_0-0_to_OpenvSwitch-13_8-0.pcap,1136,0,89472,ba574abd,ok,0,0
raw/benign/iotsim-combined-cycle-9_0-0_to_OpenvSwitch-13_9-0.pcap,1137,0,89568,4e76cb87,ok,0,0
raw/benign/iotsim-combined-cycle-tls-1_0-0_to_OpenvSwitch-14_1-0.pcap,2818,0,270551,8864099a,ok,0,0
raw/benign/iotsim-combined-cycle-tls-2_0-0_to_OpenvSwitch-14_2-0.pcap,2819,0,270738,30933f63,ok,0,0
raw/benign/iotsim-combined-cycle-tls-3_0-0_to_OpenvSwitch-14_3-0.pcap,2818,256,270607,1a46b097,ok,256,0
raw/benign/iotsim-combined-cycle-tls-4_0-0_to_OpenvSwitch-14_4-0.pcap,2819,252,270637,0dc01bf7,ok,252,0
raw/benign/iotsim-combined-cycle-tls-5_0-0_to_OpenvSwitch-14_5-0.pcap,2818,252,270534,4aece4f4,ok,252,0
raw/benign/iotsim-cooler-motor-10_0-0_to_OpenvSwitch-18_10-0.pcap,23230,0,2943004,73006db5,ok,0,0
raw/benign/iotsim-cooler-motor-11_0-0_to_OpenvSwitch-20_1-0.pcap,23232,0,3260784,f7e04d5f,ok,0,0
raw/benign/iotsim-cooler-motor-12_0-0_to_OpenvSwitch-20_2-0.pcap,23196,0,3258536,9592b639,ok,0,0
raw/benign/iotsim-cooler-motor-13_0-0_to_OpenvSwitch-20_3-0.pcap,23217,0,3259762,3b35d394,ok,0,0
raw/benign/iotsim-cooler-motor-14_0-0_to_OpenvSwitch-20_4-0.pcap,23229,0,3260822,b4c7654f,ok,0,0
raw/benign/iotsim-cooler-motor-15_0-0_to_OpenvSwitch-20_5-0.pcap,23225,0,3260054,2385f757,ok,0,0
raw/benign/iotsim-cooler-motor-1_0-0_to_OpenvSwitch-18_1-0.pcap,23225,0,2932418,373a9df5,ok,0,0
raw/benign/iotsim-cooler-motor-2_0-0_to_OpenvSwitch-18_2-0.pcap,23222,0,2931490,64a47396,ok,0,0
raw/benign/iotsim-cooler-motor-3_0-0_to_OpenvSwitch-18_3-0.pcap,23217,0,2931914,f73d7374,ok,0,0
raw/benign/iotsim-cooler-motor-4_0-0_to_OpenvSwitch-18_4-0.pcap,23229,0,2932722,70ca882d,ok,0,0
raw/benign/iotsim-cooler-motor-5_0-0_to_OpenvSwitch-18_5-0.pcap,23206,3191,2930704,01380227,ok,3191,0
raw/benign/iotsim-cooler-motor-6_0-0_to_OpenvSwitch-18_6-0.pcap,23213,1306,2930996,95ff1e77,ok,1306,0
raw/benign/iotsim-cooler-motor-7_0-0_to_OpenvSwitch-18_7-0.pcap,23242,1306,2933084,cb069afe,ok,1306,0
raw/benign/iotsim-cooler-motor-8_0-0_to_OpenvSwitch-18_8-0.pcap,23194,292,2930024,4fe8ebef,ok,292,0
raw/benign/iotsim-cooler-motor-9_0-0_to_OpenvSwitch-18_9-0.pcap,23212,96,2931258,ce30c423,ok,96,0
raw/benign/iotsim-domotic-monitor-1_0-0_to_OpenvSwitch-23_1-0.pcap,2327,0,225603,5f80840a,ok,0,0
raw/benign/iotsim-domotic-monitor-2_0-0_to_OpenvSwitch-23_2-0.pcap,2332,0,225803,c04c6023,ok,0,0
raw/benign/iotsim-domotic-monitor-3_0-0_to_OpenvSwitch-23_3-0.pcap,2331,0,226151,997ac621,ok,0,0
raw/benign/iotsim-domotic-monitor-4_0-0_to_OpenvSwitch-23_4-0.pcap,2322,0,225285,3c69eb3b,ok,0,0
raw/benign/iotsim-domotic-monitor-5_0-0_to_OpenvSwitch-23_5-0.pcap,2337,0,226499,33246150,ok,0,0
raw/benign/iotsim-hydraulic-system-10_0-0_to_OpenvSwitch-15_10-0.pcap,3868,1355,1293344,c620f9e7,ok,869,486
raw/benign/iotsim-hydraulic-system-11_0-0_to_OpenvSwitch-16_1-0.pcap,3853,856,1311490,ba92e5c8,ok,856,0
raw/benign/iotsim-hydraulic-system-12_0-0_to_OpenvSwitch-16_2-0.pcap,3867,601,1312004,cc267f58,ok,601,0
raw/benign/iotsim-hydraulic-system-13_0-0_to_OpenvSwitch-16_3-0.pcap,3710,597,1303556,8331d45c,ok,597,0
raw/benign/iotsim-hydraulic-system-14_0-0_to_OpenvSwitch-16_4-0.pcap,3735,598,1304494,88b6efb5,ok,598,0
raw/benign/iotsim-hydraulic-system-15_0-0_to_OpenvSwitch-16_5-0.pcap,3869,1468,1313678,4ceaa32e,ok,601,867
raw/benign/iotsim-hydraulic-system-1_0-0_to_OpenvSwitch-15_1-0.pcap,3802,0,1289388,5d5c296e,ok,0,0
raw/benign/iotsim-hydraulic-system-2_0-0_to_OpenvSwitch-15_2-0.pcap,3765,603,1287122,eb5c28d0,ok,603,0
raw/benign/iotsim-hydraulic-system-3_0-0_to_OpenvSwitch-15_3-0.pcap,3863,0,1293268,d9bade3c,ok,0,0
raw/benign/iotsim-hydraulic-system-4_0-0_to_OpenvSwitch-15_4-0.pcap,3849,0,1293254,273ac7f5,ok,0,0
raw/benign/iotsim-hydraulic-system-5_0-0_to_OpenvSwitch-15_5-0.pcap,3873,0,1294454,50395da4,ok,0,0
raw/benign/iotsim-hydraulic-system-6_0-0_to_OpenvSwitch-15_6-0.pcap,3806,0,1291054,cc13e6c5,ok,0,0
raw/benign/iotsim-hydraulic-system-7_0-0_to_OpenvSwitch-15_7-0.pcap,3808,0,1290154,e1e0f61a,ok,0,0
raw/benign/iotsim-hydraulic-system-8_0-0_to_OpenvSwitch-15_8-0.pcap,3874,0,1295478,40c67ef8,ok,0,0
raw/benign/iotsim-hydraulic-system-9_0-0_to_OpenvSwitch-15_9-0.pcap,3839,0,1292116,039bcebb,ok,0,0
raw/benign/iotsim-ip-camera-museum-1_0-0_to_OpenvSwitch-29_1-0.pcap,1233571,0,1746905091,b00ce701,ok,0,0
raw/benign/iotsim-ip-camera-museum-2_0-0_to_OpenvSwitch-29_2-0.pcap,1233584,54950,1746915900,7bb8f429,ok,54950,0
raw/benign/iotsim-ip-camera-street-1_0-0_to_OpenvSwitch-24_1-0.pcap,784222,0,1111275647,eb309d9a,ok,0,0
raw/benign/iotsim-ip-camera-street-2_0-0_to_OpenvSwitch-24_2-0.pcap,784331,3000,1111294927,23702e53,ok,3000,0
